ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779299761280995,MAS,btc-updown-5m-1779299700,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779299700,1,30.00,30.00,30.00,0,,0,0,,,sim_mas_mint_synthetic
1779299761280995,MAS,btc-updown-5m-1779299700,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,,0,0,,,mint_initial
1779299761447103,MAS,btc-updown-15m-1779299100,BTC,15m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-15m-1779299100,1,30.00,30.00,30.00,0,,0,0,,,sim_mas_mint_synthetic
1779299761447103,MAS,btc-updown-15m-1779299100,BTC,15m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,,0,0,,,mint_initial
1779299761421502,MAS,btc-updown-5m-1779299700,BTC,5m,POST_ASK,up,0.45,10,4.50,MAS-00000001,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779299761489922,MAS,btc-updown-5m-1779299700,BTC,5m,POST_ASK,dn,0.56,10,5.60,MAS-00000002,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779299761523605,MAS,btc-updown-15m-1779299100,BTC,15m,POST_ASK,up,0.06,10,0.60,MAS-00000001,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779299761523918,MAS,btc-updown-15m-1779299100,BTC,15m,POST_ASK,dn,0.95,10,9.50,MAS-00000002,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779299762937525,MAS,btc-updown-5m-1779299700,BTC,5m,POST_ASK,dn,0.56,10,5.60,MAS-00000002,1,30.00,20.00,30.00,5.60,,0.03449600,0,,,sim_fill_q0_initq=50
1779299762953007,MAS,btc-updown-5m-1779299700,BTC,5m,POST_ASK,dn,0.57,10,5.70,MAS-00000003,0,30.00,20.00,30.00,5.60,,0.03449600,0,,,post_ask_inventory
1779300002263698,MAS,btc-updown-5m-1779300000,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779300000,1,30.00,30.00,30.00,0,,0,0,,,sim_mas_mint_synthetic
1779300002263698,MAS,btc-updown-5m-1779300000,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,,0,0,,,mint_initial
1779300002274993,MAS,btc-updown-15m-1779300000,BTC,15m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-15m-1779300000,1,30.00,30.00,30.00,0,,0,0,,,sim_mas_mint_synthetic
1779300002274993,MAS,btc-updown-15m-1779300000,BTC,15m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,,0,0,,,mint_initial
1779300002308464,MAS,btc-updown-5m-1779300000,BTC,5m,POST_ASK,up,0.53,10,5.30,MAS-00000004,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779300002310976,MAS,btc-updown-5m-1779300000,BTC,5m,POST_ASK,dn,0.49,10,4.90,MAS-00000005,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779300002311736,MAS,btc-updown-15m-1779300000,BTC,15m,POST_ASK,up,0.50,10,5.00,MAS-00000003,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779300002312025,MAS,btc-updown-15m-1779300000,BTC,15m,POST_ASK,dn,0.51,10,5.10,MAS-00000004,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779300064776600,MAS,btc-updown-5m-1779299700,BTC,5m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779299700-up,1,0,20.00,30.00,35.6000,,0.03449600,0,,,sim_redeem_winner=up_size=30.00
1779300064776494,MAS,btc-updown-5m-1779299700,BTC,5m,REDEEM,up,,30.00,,,0,0,20.00,30.00,35.6000,,0.03449600,0,,,redeem_winner_residual
1779300065659762,MAS,btc-updown-15m-1779299100,BTC,15m,REDEEM,dn,1.00,30.00,30.0000,REDEEM-btc-updown-15m-1779299100-dn,1,30.00,0,30.00,30.0000,,0,0,,,sim_redeem_winner=dn_size=30.00
1779300065659660,MAS,btc-updown-15m-1779299100,BTC,15m,REDEEM,dn,,30.00,,,0,30.00,0,30.00,30.0000,,0,0,,,redeem_winner_residual
1779300303487064,MAS,btc-updown-5m-1779300300,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779300300,1,30.00,30.00,30.00,0,,0,0,,,sim_mas_mint_synthetic
1779300303487064,MAS,btc-updown-5m-1779300300,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,,0,0,,,mint_initial
1779300303560050,MAS,btc-updown-5m-1779300300,BTC,5m,POST_ASK,up,0.51,10,5.10,MAS-00000006,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779300303560561,MAS,btc-updown-5m-1779300300,BTC,5m,POST_ASK,dn,0.50,10,5.00,MAS-00000007,0,30.00,30.00,30.00,0,,0,0,,,post_ask_inventory
1779300316188071,MAS,btc-updown-5m-1779300300,BTC,5m,POST_ASK,dn,0.50,10,5.00,MAS-00000007,1,30.00,20.00,30.00,5.00,,0.03500000,0,,,sim_fill_q0_initq=186
1779300316201818,MAS,btc-updown-5m-1779300300,BTC,5m,POST_ASK,dn,0.51,10,5.10,MAS-00000008,0,30.00,20.00,30.00,5.00,,0.03500000,0,,,post_ask_inventory
1779300369769452,MAS,btc-updown-5m-1779300000,BTC,5m,REDEEM,dn,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779300000-dn,1,30.00,0,30.00,30.0000,,0,0,,,sim_redeem_winner=dn_size=30.00
1779300369769397,MAS,btc-updown-5m-1779300000,BTC,5m,REDEEM,dn,,30.00,,,0,30.00,0,30.00,30.0000,,0,0,,,redeem_winner_residual
1779300604624826,MAS,btc-updown-5m-1779300600,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779300600,1,30.00,30.00,30.00,0,,0,0,,,sim_mas_mint_synthetic
