ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779312664140676,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.63,20,12.60,ACC-PC-00000632,0,0,0,0,0,,0,0,,,post_initial_bid
1779312664960322,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.36,20,7.20,ACC-PC-00000631,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312664960780,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.63,20,12.60,ACC-PC-00000632,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312664960780,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.39,20,7.80,ACC-PC-00000633,0,0,0,0,0,,0,0,,,post_initial_bid
1779312664960780,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.59,20,11.80,ACC-PC-00000634,0,0,0,0,0,,0,0,,,post_initial_bid
1779312665987015,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.39,20,7.80,ACC-PC-00000633,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312665987015,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.42,20,8.40,ACC-PC-00000635,0,0,0,0,0,,0,0,,,post_initial_bid
1779312665987643,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.59,20,11.80,ACC-PC-00000634,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312665987643,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.56,20,11.20,ACC-PC-00000636,0,0,0,0,0,,0,0,,,post_initial_bid
1779312673693745,ACC-PC,btc-updown-15m-1779311700,BTC,15m,REDEEM,dn,1.00,20,20.00,REDEEM-btc-updown-15m-1779311700-dn,1,0,0,18.446000,20.00,,0,0,,,sim_redeem_winner=dn_size=20
1779312673693690,ACC-PC,btc-updown-15m-1779311700,BTC,15m,REDEEM,dn,,20,,,0,0,0,18.446000,20.00,,0,0,,,redeem_winner
1779312673703175,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.42,20,8.40,ACC-PC-00000635,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312673708985,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.45,20,9.00,ACC-PC-00000637,0,0,0,0,0,,0,0,,,post_initial_bid
1779312683839321,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.56,20,11.20,ACC-PC-00000636,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312683839321,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.52,20,10.40,ACC-PC-00000638,0,0,0,0,0,,0,0,,,post_initial_bid
1779312684654595,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.45,20,9.00,ACC-PC-00000637,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312684654821,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.48,20,9.60,ACC-PC-00000639,0,0,0,0,0,,0,0,,,post_initial_bid
1779312703919553,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.52,20,10.40,ACC-PC-00000638,0,0,0,0,0,,0,0,,,cancel_age_20s
1779312703919553,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.50,20,10.00,ACC-PC-00000640,0,0,0,0,0,,0,0,,,post_initial_bid
1779312704737950,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.48,20,9.60,ACC-PC-00000639,0,0,0,0,0,,0,0,,,cancel_age_20s
1779312704737950,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.46,20,9.20,ACC-PC-00000641,0,0,0,0,0,,0,0,,,post_initial_bid
1779312705454140,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.50,20,10.00,ACC-PC-00000640,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312705454140,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.53,20,10.60,ACC-PC-00000642,0,0,0,0,0,,0,0,,,post_initial_bid
1779312715083832,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.53,20,10.60,ACC-PC-00000642,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312715083832,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.49,20,9.80,ACC-PC-00000643,0,0,0,0,0,,0,0,,,post_initial_bid
1779312716519939,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.46,20,9.20,ACC-PC-00000641,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312716519939,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.49,20,9.80,ACC-PC-00000644,0,0,0,0,0,,0,0,,,post_initial_bid
1779312722199604,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.49,20,9.80,ACC-PC-00000643,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312722607382,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,dn,0.47,20,9.40,ACC-PC-00000645,0,0,0,0,0,,0,0,,,post_initial_bid
1779312723326644,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.49,20,9.80,ACC-PC-00000644,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312723326644,ACC-PC,btc-updown-15m-1779312600,BTC,15m,POST_BID,up,0.52,20,10.40,ACC-PC-00000646,0,0,0,0,0,,0,0,,,post_initial_bid
1779312738829789,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,dn,0.47,20,9.40,ACC-PC-00000645,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779312739243408,ACC-PC,btc-updown-15m-1779312600,BTC,15m,CANCEL,up,0.52,20,10.40,ACC-PC-00000646,0,0,0,0,0,,0,0,,,cancel_displaced_3c
