ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779230701413684,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.50,5,2.50,ACC-M-00000001,0,0,0,0,0,,0,0,,,post_initial_bid
1779230701413684,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.49,5,2.45,ACC-M-00000002,0,0,0,0,0,,0,0,,,post_initial_bid
1779230705950888,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.50,5,2.50,ACC-M-00000001,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230705950888,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.46,5,2.30,ACC-M-00000003,0,0,0,0,0,,0,0,,,post_initial_bid
1779230705951402,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.49,5,2.45,ACC-M-00000002,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230705951402,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.52,5,2.60,ACC-M-00000004,0,0,0,0,0,,0,0,,,post_initial_bid
1779230711735176,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.52,5,2.60,ACC-M-00000004,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230711735176,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.49,5,2.45,ACC-M-00000005,0,0,0,0,0,,0,0,,,post_initial_bid
1779230711838971,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.46,5,2.30,ACC-M-00000003,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230711838971,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.49,5,2.45,ACC-M-00000006,0,0,0,0,0,,0,0,,,post_initial_bid
1779230713802931,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.49,5,2.45,ACC-M-00000006,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230713802931,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.52,5,2.60,ACC-M-00000007,0,0,0,0,0,,0,0,,,post_initial_bid
1779230719366970,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.52,5,2.60,ACC-M-00000007,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230719366970,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.49,5,2.45,ACC-M-00000008,0,0,0,0,0,,0,0,,,post_initial_bid
1779230722669437,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.49,5,2.45,ACC-M-00000005,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230722669437,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.52,5,2.60,ACC-M-00000009,0,0,0,0,0,,0,0,,,post_initial_bid
1779230726172996,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.52,5,2.60,ACC-M-00000009,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230726172996,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.49,5,2.45,ACC-M-00000010,0,0,0,0,0,,0,0,,,post_initial_bid
1779230739453819,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.49,5,2.45,ACC-M-00000008,0,0,0,0,0,,0,0,,,cancel_age_20s
1779230739453819,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.51,5,2.55,ACC-M-00000011,0,0,0,0,0,,0,0,,,post_initial_bid
1779230746233723,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.49,5,2.45,ACC-M-00000010,0,0,0,0,0,,0,0,,,cancel_age_20s
1779230746233723,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.48,5,2.40,ACC-M-00000012,0,0,0,0,0,,0,0,,,post_initial_bid
1779230752808198,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.51,5,2.55,ACC-M-00000011,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230752808198,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.48,5,2.40,ACC-M-00000013,0,0,0,0,0,,0,0,,,post_initial_bid
1779230753836791,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.48,5,2.40,ACC-M-00000012,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230753836791,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.51,5,2.55,ACC-M-00000014,0,0,0,0,0,,0,0,,,post_initial_bid
1779230754560400,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.48,5,2.40,ACC-M-00000013,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230754560400,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,up,0.45,5,2.25,ACC-M-00000015,0,0,0,0,0,,0,0,,,post_initial_bid
1779230756534814,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.51,5,2.55,ACC-M-00000014,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230756534814,ACC-M,btc-updown-15m-1779230700,BTC,15m,POST_BID,dn,0.54,5,2.70,ACC-M-00000016,0,0,0,0,0,,0,0,,,post_initial_bid
1779230761017910,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,up,0.45,5,2.25,ACC-M-00000015,0,0,0,0,0,,0,0,,,cancel_displaced_3c
1779230761018314,ACC-M,btc-updown-15m-1779230700,BTC,15m,CANCEL,dn,0.54,5,2.70,ACC-M-00000016,0,0,0,0,0,,0,0,,,cancel_displaced_3c
