ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason
1779299761251682,ACC-H,btc-updown-5m-1779299700,BTC,5m,POST_BID,up,0.44,20,8.80,ACC-H-00000001,0,0,0,0,0,,0,0,,,post_initial_bid
1779299761251682,ACC-H,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.55,20,11.00,ACC-H-00000002,0,0,0,0,0,,0,0,,,post_initial_bid
1779299761252149,ACC-H,btc-updown-15m-1779299100,BTC,15m,POST_BID,up,0.05,20,1.00,ACC-H-00000001,0,0,0,0,0,,0,0,,,post_initial_bid
1779299761252149,ACC-H,btc-updown-15m-1779299100,BTC,15m,POST_BID,dn,0.94,20,18.80,ACC-H-00000002,0,0,0,0,0,,0,0,,,post_initial_bid
1779299761441481,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.56,5,2.80,TAKE-ACC-H-1779299761441481,1,0,5,2.80,0,,0,0,,,sim_take_vwap_filled=5
1779299761312000,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.56,5,2.80,,0,0,5,2.80,0,,0,0,,,rule_c_early_slot
1779299761996260,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,dn,0.95,5,4.75,TAKE-ACC-H-1779299761996260,1,0,5,4.75,0,,0,0,,,sim_take_vwap_filled=5
1779299761985000,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,dn,0.95,5,4.75,,0,0,5,4.75,0,,0,0,,,rule_c_early_slot
1779299763009170,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,up,0.44,5,2.20,TAKE-ACC-H-1779299763009170,1,0,0,5.00,0,,0,0,,,sim_take_vwap_filled=5
1779299762984000,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,up,0.44,5,2.20,,0,0,0,5.00,0,,0,0,,,rule_d_buy_pressure_dip
1779299766386198,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.55,5,2.75,TAKE-ACC-H-1779299766386198,1,0,5,7.75,0,,0,0,,,sim_take_vwap_filled=5
1779299766355000,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.55,5,2.75,,0,0,5,7.75,0,,0,0,,,rule_b_sharp_drop
1779299768312692,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,dn,0.96,5,4.80,TAKE-ACC-H-1779299768312692,1,0,10,9.55,0,,0,0,,,sim_take_vwap_filled=5
1779299768300000,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,dn,0.96,5,4.80,,0,0,10,9.55,0,,0,0,,,rule_d_buy_pressure_dip
1779299769584817,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,up,0.47,5,2.35,TAKE-ACC-H-1779299769584817,1,0,0,10.10,0,,0,0,,,sim_take_vwap_filled=5
1779299769569000,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,up,0.47,5,2.35,,0,0,0,10.10,0,,0,0,,,rule_d_buy_pressure_dip
1779299770193415,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,up,0.07,5,0.35,TAKE-ACC-H-1779299770193415,1,0,5,9.90,0,,0,0,,,sim_take_vwap_filled=5
1779299770181000,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,up,0.06,5,0.30,,0,0,5,9.90,0,,0,0,,,rule_d_buy_pressure_dip
1779299771398693,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.55,5,2.75,TAKE-ACC-H-1779299771398693,1,0,5,12.85,0,,0,0,,,sim_take_vwap_filled=5
1779299771381000,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.55,5,2.75,,0,0,5,12.85,0,,0,0,,,rule_b_sharp_drop
1779299774781500,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,up,0.46,5,2.30,TAKE-ACC-H-1779299774781500,1,0,0,15.15,0,,0,0,,,sim_take_vwap_filled=5
1779299774757000,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,up,0.46,5,2.30,,0,0,0,15.15,0,,0,0,,,rule_d_buy_pressure_dip
1779299776402004,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.55,5,2.75,TAKE-ACC-H-1779299776402004,1,0,5,17.90,0,,0,0,,,sim_take_vwap_filled=5
1779299776391000,ACC-H,btc-updown-5m-1779299700,BTC,5m,TAKE,dn,0.55,5,2.75,,0,0,5,17.90,0,,0,0,,,rule_b_sharp_drop
1779299776747195,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,dn,0.96,5,4.80,TAKE-ACC-H-1779299776747195,1,0,10,14.70,0,,0,0,,,sim_take_vwap_filled=5
1779299776727000,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,dn,0.96,5,4.80,,0,0,10,14.70,0,,0,0,,,rule_d_buy_pressure_dip
1779299777006700,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,up,0.06,5,0.30,TAKE-ACC-H-1779299777006700,1,0,5,15.00,0,,0,0,,,sim_take_vwap_filled=5
1779299776990000,ACC-H,btc-updown-15m-1779299100,BTC,15m,TAKE,up,0.05,5,0.25,,0,0,5,15.00,0,,0,0,,,rule_d_buy_pressure_dip
1779299778709174,ACC-H,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.55,20,11.00,ACC-H-00000002,0,0,5,17.90,0,,0,0,,,cancel_displaced_3c
1779299778709174,ACC-H,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.52,20,10.40,ACC-H-00000003,0,0,5,17.90,0,,0,0,,,post_initial_bid
1779299779424314,ACC-H,btc-updown-5m-1779299700,BTC,5m,CANCEL,up,0.44,20,8.80,ACC-H-00000001,0,0,5,17.90,0,,0,0,,,cancel_displaced_3c
1779299779424314,ACC-H,btc-updown-5m-1779299700,BTC,5m,POST_BID,up,0.48,20,9.60,ACC-H-00000004,0,0,5,17.90,0,,0,0,,,post_initial_bid
1779299779628609,ACC-H,btc-updown-5m-1779299700,BTC,5m,CANCEL,dn,0.52,20,10.40,ACC-H-00000003,0,0,5,17.90,0,,0,0,,,cancel_displaced_3c
1779299779628609,ACC-H,btc-updown-5m-1779299700,BTC,5m,POST_BID,dn,0.49,20,9.80,ACC-H-00000005,0,0,5,17.90,0,,0,0,,,post_initial_bid
1779299779731013,ACC-H,btc-updown-5m-1779299700,BTC,5m,CANCEL,up,0.48,20,9.60,ACC-H-00000004,0,0,5,17.90,0,,0,0,,,cancel_displaced_3c
