ts_us,strategy,slug,asset,tf,action,side,price,size,notional,order_id,fill_simulated,inv_up,inv_dn,cash_spent,cash_received,cash_recovered,rebates,taker_fees,slug_pnl_so_far,slug_offset_s,trigger_reason,sleeve_id
1779354619613616,MAS,btc-updown-5m-1779354300,BTC,5m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779354300-up,1,0,0,30.00,5.90,30.0000,0.03386600,0,5.93386600,304.130753,sim_redeem_winner=up_size=30.00,poly_mas_btc_5m_shadow
1779354619613595,MAS,btc-updown-5m-1779354300,BTC,5m,REDEEM,up,,30.00,,,0,0,0,30.00,5.90,30.0000,0.03386600,0,5.93386600,304.130732,redeem_winner_residual,poly_mas_btc_5m_shadow
1779354917454491,MAS,btc-updown-5m-1779354900,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779354900,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779354917454491,MAS,btc-updown-5m-1779354900,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779354917465758,MAS,btc-updown-15m-1779354900,BTC,15m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-15m-1779354900,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_15m_shadow
1779354917465758,MAS,btc-updown-15m-1779354900,BTC,15m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_15m_shadow
1779354917495069,MAS,btc-updown-5m-1779354900,BTC,5m,POST_ASK,up,0.55,10,5.50,MAS-00000227,0,30.00,30.00,30.00,0,0,0,0,0.000,0.040578,post_ask_inventory,poly_mas_btc_5m_shadow
1779354917498098,MAS,btc-updown-5m-1779354900,BTC,5m,POST_ASK,dn,0.46,10,4.60,MAS-00000228,0,30.00,30.00,30.00,0,0,0,0,0.000,0.043607,post_ask_inventory,poly_mas_btc_5m_shadow
1779354917499031,MAS,btc-updown-15m-1779354900,BTC,15m,POST_ASK,up,0.49,10,4.90,MAS-00000053,0,30.00,30.00,30.00,0,0,0,0,0.000,0.033273,post_ask_inventory,poly_mas_btc_15m_shadow
1779354917499339,MAS,btc-updown-15m-1779354900,BTC,15m,POST_ASK,dn,0.52,10,5.20,MAS-00000054,0,30.00,30.00,30.00,0,0,0,0,0.000,0.033581,post_ask_inventory,poly_mas_btc_15m_shadow
1779354922781302,MAS,btc-updown-15m-1779354000,BTC,15m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-15m-1779354000-up,1,0,0,30.00,0,30.0000,0,0,0.0000,908.352258,sim_redeem_winner=up_size=30.00,poly_mas_btc_15m_shadow
1779354922781241,MAS,btc-updown-15m-1779354000,BTC,15m,REDEEM,up,,30.00,,,0,0,0,30.00,0,30.0000,0,0,0.0000,908.352197,redeem_winner_residual,poly_mas_btc_15m_shadow
1779354923578600,MAS,btc-updown-5m-1779354600,BTC,5m,REDEEM,dn,1.00,20.00,20.0000,REDEEM-btc-updown-5m-1779354600-dn,1,0,0,30.00,5.40,20.0000,0.03477600,0,-4.56522400,307.120208,sim_redeem_winner=dn_size=20.00,poly_mas_btc_5m_shadow
1779354923578544,MAS,btc-updown-5m-1779354600,BTC,5m,REDEEM,dn,,20.00,,,0,0,0,30.00,5.40,20.0000,0.03477600,0,-4.56522400,307.120152,redeem_winner_residual,poly_mas_btc_5m_shadow
1779355218480603,MAS,btc-updown-5m-1779355200,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779355200,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779355218480603,MAS,btc-updown-5m-1779355200,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779355218509872,MAS,btc-updown-5m-1779355200,BTC,5m,POST_ASK,up,0.61,10,6.10,MAS-00000229,0,30.00,30.00,30.00,0,0,0,0,0.000,0.029269,post_ask_inventory,poly_mas_btc_5m_shadow
1779355218512150,MAS,btc-updown-5m-1779355200,BTC,5m,POST_ASK,dn,0.40,10,4.00,MAS-00000230,0,30.00,30.00,30.00,0,0,0,0,0.000,0.031547,post_ask_inventory,poly_mas_btc_5m_shadow
1779355220788546,MAS,btc-updown-5m-1779355200,BTC,5m,FILL,up,0.61,10,6.10,MAS-00000229,1,20.00,30.00,30.00,6.10,0,0.03330600,0,1.13330600,2.307943,sim_fill_q0_initq=177_via=POST_ASK,poly_mas_btc_5m_shadow
1779355220883602,MAS,btc-updown-5m-1779355200,BTC,5m,POST_ASK,up,0.63,10,6.30,MAS-00000231,0,20.00,30.00,30.00,6.10,0,0.03330600,0,1.13330600,2.402999,post_ask_inventory,poly_mas_btc_5m_shadow
1779355227257689,MAS,btc-updown-5m-1779354900,BTC,5m,REDEEM,dn,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779354900-dn,1,0,0,30.00,0,30.0000,0,0,0.0000,309.803198,sim_redeem_winner=dn_size=30.00,poly_mas_btc_5m_shadow
1779355227257656,MAS,btc-updown-5m-1779354900,BTC,5m,REDEEM,dn,,30.00,,,0,0,0,30.00,0,30.0000,0,0,0.0000,309.803165,redeem_winner_residual,poly_mas_btc_5m_shadow
1779355519523142,MAS,btc-updown-5m-1779355500,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779355500,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779355519523142,MAS,btc-updown-5m-1779355500,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779355519596581,MAS,btc-updown-5m-1779355500,BTC,5m,POST_ASK,up,0.71,10,7.10,MAS-00000232,0,30.00,30.00,30.00,0,0,0,0,0.000,0.073439,post_ask_inventory,poly_mas_btc_5m_shadow
1779355519601040,MAS,btc-updown-5m-1779355500,BTC,5m,POST_ASK,dn,0.30,10,3.00,MAS-00000233,0,30.00,30.00,30.00,0,0,0,0,0.000,0.077898,post_ask_inventory,poly_mas_btc_5m_shadow
1779355520723222,MAS,btc-updown-5m-1779355500,BTC,5m,FILL,dn,0.30,10,3.00,MAS-00000233,1,30.00,20.00,30.00,3.00,0,0.02940000,0,-1.97060000,1.20008,sim_fill_q0_initq=218_via=POST_ASK,poly_mas_btc_5m_shadow
1779355520730391,MAS,btc-updown-5m-1779355500,BTC,5m,POST_ASK,dn,0.32,10,3.20,MAS-00000234,0,30.00,20.00,30.00,3.00,0,0.02940000,0,-1.97060000,1.207249,post_ask_inventory,poly_mas_btc_5m_shadow
1779355530931219,MAS,btc-updown-5m-1779355200,BTC,5m,REDEEM,up,1.00,20.00,20.0000,REDEEM-btc-updown-5m-1779355200-up,1,0,0,30.00,6.10,20.0000,0.03330600,0,-3.86669400,312.450616,sim_redeem_winner=up_size=20.00,poly_mas_btc_5m_shadow
1779355530931198,MAS,btc-updown-5m-1779355200,BTC,5m,REDEEM,up,,20.00,,,0,0,0,30.00,6.10,20.0000,0.03330600,0,-3.86669400,312.450595,redeem_winner_residual,poly_mas_btc_5m_shadow
1779355820626472,MAS,btc-updown-5m-1779355800,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779355800,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779355820626472,MAS,btc-updown-5m-1779355800,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779355820638789,MAS,btc-updown-15m-1779355800,BTC,15m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-15m-1779355800,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_15m_shadow
1779355820638789,MAS,btc-updown-15m-1779355800,BTC,15m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_15m_shadow
1779355820703920,MAS,btc-updown-5m-1779355800,BTC,5m,POST_ASK,up,0.38,10,3.80,MAS-00000235,0,30.00,30.00,30.00,0,0,0,0,0.000,0.077448,post_ask_inventory,poly_mas_btc_5m_shadow
1779355820705402,MAS,btc-updown-5m-1779355800,BTC,5m,POST_ASK,dn,0.63,10,6.30,MAS-00000236,0,30.00,30.00,30.00,0,0,0,0,0.000,0.07893,post_ask_inventory,poly_mas_btc_5m_shadow
1779355820705839,MAS,btc-updown-15m-1779355800,BTC,15m,POST_ASK,up,0.42,10,4.20,MAS-00000055,0,30.00,30.00,30.00,0,0,0,0,0.000,0.06705,post_ask_inventory,poly_mas_btc_15m_shadow
1779355820706101,MAS,btc-updown-15m-1779355800,BTC,15m,POST_ASK,dn,0.59,10,5.90,MAS-00000056,0,30.00,30.00,30.00,0,0,0,0,0.000,0.067312,post_ask_inventory,poly_mas_btc_15m_shadow
1779355822296492,MAS,btc-updown-5m-1779355800,BTC,5m,FILL,up,0.38,10,3.80,MAS-00000235,1,20.00,30.00,30.00,3.80,0,0.03298400,0,-1.16701600,1.67002,sim_fill_q0_initq=82_via=POST_ASK,poly_mas_btc_5m_shadow
1779355822345508,MAS,btc-updown-5m-1779355800,BTC,5m,POST_ASK,up,0.39,10,3.90,MAS-00000237,0,20.00,30.00,30.00,3.80,0,0.03298400,0,-1.16701600,1.719036,post_ask_inventory,poly_mas_btc_5m_shadow
1779355822923786,MAS,btc-updown-5m-1779355800,BTC,5m,FILL,up,0.39,10,3.90,MAS-00000237,1,10.00,30.00,30.00,7.70,0,0.06629000,0,-2.23371000,2.297314,sim_fill_q0_initq=41_via=POST_ASK,poly_mas_btc_5m_shadow
1779355822959515,MAS,btc-updown-5m-1779355800,BTC,5m,POST_ASK,up,0.40,10.00,4.0000,MAS-00000238,0,10.00,30.00,30.00,7.70,0,0.06629000,0,-2.23371000,2.333043,post_ask_inventory,poly_mas_btc_5m_shadow
1779355834392543,MAS,btc-updown-15m-1779354900,BTC,15m,REDEEM,dn,1.00,30.00,30.0000,REDEEM-btc-updown-15m-1779354900-dn,1,0,0,30.00,0,30.0000,0,0,0.0000,916.926785,sim_redeem_winner=dn_size=30.00,poly_mas_btc_15m_shadow
1779355834392437,MAS,btc-updown-15m-1779354900,BTC,15m,REDEEM,dn,,30.00,,,0,0,0,30.00,0,30.0000,0,0,0.0000,916.926679,redeem_winner_residual,poly_mas_btc_15m_shadow
1779355834962457,MAS,btc-updown-5m-1779355500,BTC,5m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779355500-up,1,0,0,30.00,3.00,30.0000,0.02940000,0,3.02940000,315.439315,sim_redeem_winner=up_size=30.00,poly_mas_btc_5m_shadow
1779355834962423,MAS,btc-updown-5m-1779355500,BTC,5m,REDEEM,up,,30.00,,,0,0,0,30.00,3.00,30.0000,0.02940000,0,3.02940000,315.439281,redeem_winner_residual,poly_mas_btc_5m_shadow
1779356121677462,MAS,btc-updown-5m-1779356100,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779356100,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779356121677462,MAS,btc-updown-5m-1779356100,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779356121729047,MAS,btc-updown-5m-1779356100,BTC,5m,POST_ASK,up,0.52,10,5.20,MAS-00000239,0,30.00,30.00,30.00,0,0,0,0,0.000,0.051585,post_ask_inventory,poly_mas_btc_5m_shadow
1779356121731932,MAS,btc-updown-5m-1779356100,BTC,5m,POST_ASK,dn,0.49,10,4.90,MAS-00000240,0,30.00,30.00,30.00,0,0,0,0,0.000,0.05447,post_ask_inventory,poly_mas_btc_5m_shadow
1779356130852799,MAS,btc-updown-5m-1779356100,BTC,5m,FILL,dn,0.49,10,4.90,MAS-00000240,1,30.00,20.00,30.00,4.90,0,0.03498600,0,-0.06501400,9.175337,sim_fill_q0_initq=374_via=POST_ASK,poly_mas_btc_5m_shadow
1779356130951922,MAS,btc-updown-5m-1779356100,BTC,5m,POST_ASK,dn,0.49,10,4.90,MAS-00000241,0,30.00,20.00,30.00,4.90,0,0.03498600,0,-0.06501400,9.27446,post_ask_inventory,poly_mas_btc_5m_shadow
1779356131193004,MAS,btc-updown-5m-1779356100,BTC,5m,FILL,up,0.52,10,5.20,MAS-00000239,1,20.00,20.00,30.00,10.10,0,0.06993000,0,0.16993000,9.515542,sim_fill_q0_initq=94_via=POST_ASK,poly_mas_btc_5m_shadow
1779356131260960,MAS,btc-updown-5m-1779356100,BTC,5m,POST_ASK,up,0.54,10,5.40,MAS-00000242,0,20.00,20.00,30.00,10.10,0,0.06993000,0,0.16993000,9.583498,post_ask_inventory,poly_mas_btc_5m_shadow
1779356138573191,MAS,btc-updown-5m-1779355800,BTC,5m,REDEEM,dn,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779355800-dn,1,0,0,30.00,7.70,30.0000,0.06629000,0,7.76629000,317.946719,sim_redeem_winner=dn_size=30.00,poly_mas_btc_5m_shadow
1779356138573157,MAS,btc-updown-5m-1779355800,BTC,5m,REDEEM,dn,,30.00,,,0,0,0,30.00,7.70,30.0000,0.06629000,0,7.76629000,317.946685,redeem_winner_residual,poly_mas_btc_5m_shadow
1779356422648107,MAS,btc-updown-5m-1779356400,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779356400,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779356422648107,MAS,btc-updown-5m-1779356400,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779356422675327,MAS,btc-updown-5m-1779356400,BTC,5m,POST_ASK,up,0.72,10,7.20,MAS-00000243,0,30.00,30.00,30.00,0,0,0,0,0.000,0.02722,post_ask_inventory,poly_mas_btc_5m_shadow
1779356422686011,MAS,btc-updown-5m-1779356400,BTC,5m,POST_ASK,dn,0.29,10,2.90,MAS-00000244,0,30.00,30.00,30.00,0,0,0,0,0.000,0.037904,post_ask_inventory,poly_mas_btc_5m_shadow
1779356423170235,MAS,btc-updown-5m-1779356400,BTC,5m,FILL,dn,0.29,10,2.90,MAS-00000244,1,30.00,20.00,30.00,2.90,0,0.02882600,0,-2.07117400,0.522128,sim_fill_q0_initq=51_via=POST_ASK,poly_mas_btc_5m_shadow
1779356423203344,MAS,btc-updown-5m-1779356400,BTC,5m,POST_ASK,dn,0.37,10,3.70,MAS-00000245,0,30.00,20.00,30.00,2.90,0,0.02882600,0,-2.07117400,0.555237,post_ask_inventory,poly_mas_btc_5m_shadow
1779356442388680,MAS,btc-updown-5m-1779356100,BTC,5m,REDEEM,dn,1.00,20.00,20.0000,REDEEM-btc-updown-5m-1779356100-dn,1,0,0,30.00,10.10,20.0000,0.06993000,0,0.16993000,320.711218,sim_redeem_winner=dn_size=20.00,poly_mas_btc_5m_shadow
1779356442388657,MAS,btc-updown-5m-1779356100,BTC,5m,REDEEM,dn,,20.00,,,0,0,0,30.00,10.10,20.0000,0.06993000,0,0.16993000,320.711195,redeem_winner_residual,poly_mas_btc_5m_shadow
1779356723655617,MAS,btc-updown-5m-1779356700,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779356700,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779356723655617,MAS,btc-updown-5m-1779356700,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779356723666614,MAS,btc-updown-15m-1779356700,BTC,15m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-15m-1779356700,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_15m_shadow
1779356723666614,MAS,btc-updown-15m-1779356700,BTC,15m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_15m_shadow
1779356723713884,MAS,btc-updown-5m-1779356700,BTC,5m,POST_ASK,up,0.59,10,5.90,MAS-00000246,0,30.00,30.00,30.00,0,0,0,0,0.000,0.058267,post_ask_inventory,poly_mas_btc_5m_shadow
1779356723716073,MAS,btc-updown-5m-1779356700,BTC,5m,POST_ASK,dn,0.42,10,4.20,MAS-00000247,0,30.00,30.00,30.00,0,0,0,0,0.000,0.060456,post_ask_inventory,poly_mas_btc_5m_shadow
1779356723716849,MAS,btc-updown-15m-1779356700,BTC,15m,POST_ASK,up,0.57,10,5.70,MAS-00000057,0,30.00,30.00,30.00,0,0,0,0,0.000,0.050235,post_ask_inventory,poly_mas_btc_15m_shadow
1779356723717086,MAS,btc-updown-15m-1779356700,BTC,15m,POST_ASK,dn,0.44,10,4.40,MAS-00000058,0,30.00,30.00,30.00,0,0,0,0,0.000,0.050472,post_ask_inventory,poly_mas_btc_15m_shadow
1779356726993974,MAS,btc-updown-5m-1779356700,BTC,5m,FILL,dn,0.42,10,4.20,MAS-00000247,1,30.00,20.00,30.00,4.20,0,0.03410400,0,-0.76589600,3.338357,sim_fill_q0_initq=48_via=POST_ASK,poly_mas_btc_5m_shadow
1779356727087592,MAS,btc-updown-5m-1779356700,BTC,5m,POST_ASK,dn,0.44,10,4.40,MAS-00000248,0,30.00,20.00,30.00,4.20,0,0.03410400,0,-0.76589600,3.431975,post_ask_inventory,poly_mas_btc_5m_shadow
1779356745766557,MAS,btc-updown-15m-1779355800,BTC,15m,REDEEM,dn,1.00,30.00,30.0000,REDEEM-btc-updown-15m-1779355800-dn,1,0,0,30.00,0,30.0000,0,0,0.0000,925.127768,sim_redeem_winner=dn_size=30.00,poly_mas_btc_15m_shadow
1779356745766472,MAS,btc-updown-15m-1779355800,BTC,15m,REDEEM,dn,,30.00,,,0,0,0,30.00,0,30.0000,0,0,0.0000,925.127683,redeem_winner_residual,poly_mas_btc_15m_shadow
1779356746309727,MAS,btc-updown-5m-1779356400,BTC,5m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779356400-up,1,0,0,30.00,2.90,30.0000,0.02882600,0,2.92882600,323.66162,sim_redeem_winner=up_size=30.00,poly_mas_btc_5m_shadow
1779356746309648,MAS,btc-updown-5m-1779356400,BTC,5m,REDEEM,up,,30.00,,,0,0,0,30.00,2.90,30.0000,0.02882600,0,2.92882600,323.661541,redeem_winner_residual,poly_mas_btc_5m_shadow
1779357024663315,MAS,btc-updown-5m-1779357000,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779357000,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779357024663315,MAS,btc-updown-5m-1779357000,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779357024730751,MAS,btc-updown-5m-1779357000,BTC,5m,POST_ASK,up,0.43,10,4.30,MAS-00000249,0,30.00,30.00,30.00,0,0,0,0,0.000,0.067436,post_ask_inventory,poly_mas_btc_5m_shadow
1779357024732477,MAS,btc-updown-5m-1779357000,BTC,5m,POST_ASK,dn,0.58,10,5.80,MAS-00000250,0,30.00,30.00,30.00,0,0,0,0,0.000,0.069162,post_ask_inventory,poly_mas_btc_5m_shadow
1779357049690777,MAS,btc-updown-5m-1779356700,BTC,5m,REDEEM,up,1.00,30.00,30.0000,REDEEM-btc-updown-5m-1779356700-up,1,0,0,30.00,4.20,30.0000,0.03410400,0,4.23410400,326.03516,sim_redeem_winner=up_size=30.00,poly_mas_btc_5m_shadow
1779357049690723,MAS,btc-updown-5m-1779356700,BTC,5m,REDEEM,up,,30.00,,,0,0,0,30.00,4.20,30.0000,0.03410400,0,4.23410400,326.035106,redeem_winner_residual,poly_mas_btc_5m_shadow
1779357325719720,MAS,btc-updown-5m-1779357300,BTC,5m,MINT,,1.0,30.00,30.000,MAS-MINT-btc-updown-5m-1779357300,1,30.00,30.00,30.00,0,0,0,0,0.000,0.0,sim_mas_mint_synthetic,poly_mas_btc_5m_shadow
1779357325719720,MAS,btc-updown-5m-1779357300,BTC,5m,MINT,,,30.00,,,0,30.00,30.00,30.00,0,0,0,0,0.000,0.0,mint_initial,poly_mas_btc_5m_shadow
1779357325771251,MAS,btc-updown-5m-1779357300,BTC,5m,POST_ASK,up,0.59,10,5.90,MAS-00000251,0,30.00,30.00,30.00,0,0,0,0,0.000,0.051531,post_ask_inventory,poly_mas_btc_5m_shadow
