sleeve,asset,tf,gate,n_base,wr_base,dpt_base,sum_pnl,wr_lift_pp,dpt_lift,n_gate,wr_gate,dpt_gate
momo_v2_anywhere,BTC,5m,NONE,1970,0.39847715736040606,-6.4251481108900155,-12657.541778453331,0.0,0.0,,,
momo_v2_anywhere,BTC,5m,g_imb5_with,1970,0.39847715736040606,-6.4251481108900155,-4692.42097732639,-2.6696642242824864,1.1704773636040242,893.0,0.3717805151175812,-5.254670747285991
momo_v2_anywhere,BTC,5m,g_imb5_strong_with,1970,0.39847715736040606,-6.4251481108900155,-3517.624596553602,-7.95471162081427,-0.8127625816071076,486.0,0.31893004115226337,-7.237910692497123
momo_v2_anywhere,BTC,5m,g_microprice_with,1970,0.39847715736040606,-6.4251481108900155,-2749.666745534849,4.622330346908704,3.257329279628669,868.0,0.4447004608294931,-3.1678188312613464
momo_v2_anywhere,BTC,5m,g_spread_wide_skew,1970,0.39847715736040606,-6.4251481108900155,-1697.4418725261585,29.463836189280286,4.444469146448757,857.0,0.6931155192532089,-1.9806789644412583
momo_v2_anywhere,BTC,5m,g_book_slope_steep_against,1970,0.39847715736040606,-6.4251481108900155,-10874.746522660826,-1.1069329793758298,0.25682903961331327,1763.0,0.38740782756664777,-6.168319071276702
momo_v2_anywhere,BTC,5m,g_microprice_skew_with,1970,0.39847715736040606,-6.4251481108900155,-2753.0076547766166,4.558281957154319,3.2498220961534336,867.0,0.44405997693194926,-3.175326014736582
momo_v2_anywhere,BTC,5m,g_depth_high,1970,0.39847715736040606,-6.4251481108900155,-6705.813576019965,4.967540521408736,2.428834895145102,1678.0,0.44815256257449343,-3.9963132157449133
momo_v2_anywhere,BTC,5m,g_queue_top_high,1970,0.39847715736040606,-6.4251481108900155,-996.6985540703228,9.267328511747003,2.014977517658499,226.0,0.4911504424778761,-4.410170593231516
momo_v2_anywhere,BTC,5m,g_imb_change_with,1970,0.39847715736040606,-6.4251481108900155,80.34455305356599,4.308128419803547,7.468583864832431,77.0,0.44155844155844154,1.0434357539424155
momo_v2_anywhere,BTC,15m,NONE,694,0.4495677233429395,-5.315804006781162,-3689.1679807061264,0.0,0.0,,,
momo_v2_anywhere,BTC,15m,g_imb5_with,694,0.4495677233429395,-5.315804006781162,-1354.5820539304184,0.3604482095126982,1.2234110946046712,331.0,0.45317220543806647,-4.092392912176491
momo_v2_anywhere,BTC,15m,g_imb5_strong_with,694,0.4495677233429395,-5.315804006781162,-495.9772129727794,0.2284128508912353,1.6418987255013149,135.0,0.45185185185185184,-3.6739052812798474
momo_v2_anywhere,BTC,15m,g_microprice_with,694,0.4495677233429395,-5.315804006781162,-731.0748203782822,4.755871343866969,3.215014293050466,348.0,0.49712643678160917,-2.100789713730696
momo_v2_anywhere,BTC,15m,g_spread_wide_skew,694,0.4495677233429395,-5.315804006781162,-491.71134311981046,24.0908467133251,3.852377390353155,336.0,0.6904761904761905,-1.4634266164280074
momo_v2_anywhere,BTC,15m,g_book_slope_steep_against,694,0.4495677233429395,-5.315804006781162,-3711.7215028291475,-1.4851901530343492,-0.38576512198864954,651.0,0.434715821812596,-5.701569128769812
momo_v2_anywhere,BTC,15m,g_microprice_skew_with,694,0.4495677233429395,-5.315804006781162,-706.0748203782821,4.899135446685876,3.281006253529629,347.0,0.49855907780979825,-2.0347977532515333
momo_v2_anywhere,BTC,15m,g_depth_high,694,0.4495677233429395,-5.315804006781162,-3006.0479900364116,1.7619776657060493,0.6188540223492689,640.0,0.4671875,-4.696949984431893
momo_v2_anywhere,BTC,15m,g_queue_top_high,694,0.4495677233429395,-5.315804006781162,-678.0943413012269,-7.668636741073609,-6.177320422053192,59.0,0.3728813559322034,-11.493124428834355
momo_v2_anywhere,BTC,15m,g_imb_change_with,694,0.4495677233429395,-5.315804006781162,-428.40412419140085,-1.2067723342939485,-1.378010433709476,64.0,0.4375,-6.693814440490638
momo_v2_anywhere,BTC,ALL,NONE,2664,0.41178678678678676,-6.136152311996793,-16346.709759159456,0.0,0.0,,,
momo_v2_anywhere,BTC,ALL,g_imb5_with,2664,0.41178678678678676,-6.136152311996793,-6047.003031256809,-1.799593711358416,1.1957903583556089,1224.0,0.3937908496732026,-4.940361953641184
momo_v2_anywhere,BTC,ALL,g_imb5_strong_with,2664,0.41178678678678676,-6.136152311996793,-4013.6018095263817,-6.3960699830265035,-0.32697459545309737,621.0,0.34782608695652173,-6.46312690744989
momo_v2_anywhere,BTC,ALL,g_microprice_with,2664,0.41178678678678676,-6.136152311996793,-3480.74156591313,4.791716058163431,3.273700366344548,1216.0,0.4597039473684211,-2.862451945652245
momo_v2_anywhere,BTC,ALL,g_spread_wide_skew,2664,0.41178678678678676,-6.136152311996793,-2189.153215645969,28.058538421069862,4.301153807683324,1193.0,0.6923721709974854,-1.8349985043134693
momo_v2_anywhere,BTC,ALL,g_book_slope_steep_against,2664,0.41178678678678676,-6.136152311996793,-14586.468025489974,-1.1621086703936745,0.09370491121387037,2414.0,0.40016570008285,-6.0424474007829225
momo_v2_anywhere,BTC,ALL,g_microprice_skew_with,2664,0.41178678678678676,-6.136152311996793,-3459.082475154898,4.785077499245544,3.2868257262019838,1214.0,0.4596375617792422,-2.849326585794809
momo_v2_anywhere,BTC,ALL,g_depth_high,2664,0.41178678678678676,-6.136152311996793,-9711.861566056376,4.162132365324778,1.9463932239655692,2318.0,0.45340811044003454,-4.189759088031224
momo_v2_anywhere,BTC,ALL,g_queue_top_high,2664,0.41178678678678676,-6.136152311996793,-1674.7928953715495,5.487987987987991,0.2596860124474967,285.0,0.4666666666666667,-5.876466299549296
momo_v2_anywhere,BTC,ALL,g_imb_change_with,2664,0.41178678678678676,-6.136152311996793,-348.05957113783484,2.792952526995085,3.66764471527456,141.0,0.4397163120567376,-2.4685075967222327
momo_v2_anywhere,ETH,5m,NONE,1970,0.35736040609137054,-9.633536346471995,-18978.066602549832,0.0,0.0,,,
momo_v2_anywhere,ETH,5m,g_imb5_with,1970,0.35736040609137054,-9.633536346471995,-7549.302748774905,0.07327202944387712,1.264021103927755,902.0,0.3580931263858093,-8.36951524254424
momo_v2_anywhere,ETH,5m,g_imb5_strong_with,1970,0.35736040609137054,-9.633536346471995,-3824.003516284868,-3.5852645559219742,1.1545928513835957,451.0,0.3215077605321508,-8.4789434950884
momo_v2_anywhere,ETH,5m,g_microprice_with,1970,0.35736040609137054,-9.633536346471995,-5797.901366351849,5.530078968823088,2.8364655770091005,853.0,0.4126611957796014,-6.797070769462895
momo_v2_anywhere,ETH,5m,g_spread_wide_skew,1970,0.35736040609137054,-9.633536346471995,-1426.0237537090693,34.0707226758871,7.9112854361953415,828.0,0.6980676328502415,-1.7222509102766537
momo_v2_anywhere,ETH,5m,g_book_slope_steep_against,1970,0.35736040609137054,-9.633536346471995,-3998.465967182517,17.259351095932075,3.491499530523429,651.0,0.5299539170506913,-6.1420368159485665
momo_v2_anywhere,ETH,5m,g_microprice_skew_with,1970,0.35736040609137054,-9.633536346471995,-5766.3912772204885,5.488929944455406,2.841556043503222,849.0,0.4122497055359246,-6.791980302968773
momo_v2_anywhere,ETH,5m,g_depth_high,1970,0.35736040609137054,-9.633536346471995,-8813.301731275007,4.5192785397991155,2.1328540219826273,1175.0,0.4025531914893617,-7.500682324489368
momo_v2_anywhere,ETH,5m,g_queue_top_high,1970,0.35736040609137054,-9.633536346471995,-1513.088825707596,11.681799766449801,2.5298329393940797,213.0,0.47417840375586856,-7.103703407077916
momo_v2_anywhere,ETH,5m,g_imb_change_with,1970,0.35736040609137054,-9.633536346471995,-1839.9884069338252,1.1623551127880771,-0.20597385103509147,187.0,0.3689839572192513,-9.839510197507087
momo_v2_anywhere,ETH,15m,NONE,681,0.49632892804698975,0.6878135403005956,468.4010209447056,0.0,0.0,,,
momo_v2_anywhere,ETH,15m,g_imb5_with,681,0.49632892804698975,0.6878135403005956,1885.9877126008337,0.5219059569109341,5.151157706141614,323.0,0.5015479876160991,5.83897124644221
momo_v2_anywhere,ETH,15m,g_imb5_strong_with,681,0.49632892804698975,0.6878135403005956,911.0617174470293,-4.349873936774445,5.042134368171287,159.0,0.4528301886792453,5.729947908471883
momo_v2_anywhere,ETH,15m,g_microprice_with,681,0.49632892804698975,0.6878135403005956,924.3466410274045,-1.0006739597141712,2.1217507181413633,329.0,0.48632218844984804,2.809564258441959
momo_v2_anywhere,ETH,15m,g_spread_wide_skew,681,0.49632892804698975,0.6878135403005956,58.97796278916155,25.367107195301024,-0.49878160828405216,312.0,0.75,0.18903193201654345
momo_v2_anywhere,ETH,15m,g_book_slope_steep_against,681,0.49632892804698975,0.6878135403005956,1510.8895632083052,12.164860004289785,4.970948868719274,267.0,0.6179775280898876,5.65876240901987
momo_v2_anywhere,ETH,15m,g_microprice_skew_with,681,0.49632892804698975,0.6878135403005956,924.3466410274045,-1.0006739597141712,2.1217507181413633,329.0,0.48632218844984804,2.809564258441959
momo_v2_anywhere,ETH,15m,g_depth_high,681,0.49632892804698975,0.6878135403005956,875.149471922786,0.3671071953010252,1.1129055377298283,486.0,0.5,1.8007190780304239
momo_v2_anywhere,ETH,15m,g_queue_top_high,681,0.49632892804698975,0.6878135403005956,-66.936817558842,-3.7995594713656433,-1.6174915619511787,72.0,0.4583333333333333,-0.9296780216505832
momo_v2_anywhere,ETH,ALL,NONE,2651,0.3930592229347416,-6.982144693174322,-18509.665581605128,0.0,0.0,,,
momo_v2_anywhere,ETH,ALL,g_imb5_with,2651,0.3930592229347416,-6.982144693174322,-5663.315036174072,0.28591444121971454,2.359030377930182,1225.0,0.39591836734693875,-4.62311431524414
momo_v2_anywhere,ETH,ALL,g_imb5_strong_with,2651,0.3930592229347416,-6.982144693174322,-2912.941798837839,-3.73215180167088,2.2068302688499957,610.0,0.3557377049180328,-4.775314424324327
momo_v2_anywhere,ETH,ALL,g_microprice_with,2651,0.3930592229347416,-6.982144693174322,-4873.554725324444,4.010490566085906,2.859001947552965,1182.0,0.43316412859560066,-4.123142745621357
momo_v2_anywhere,ETH,ALL,g_spread_wide_skew,2651,0.3930592229347416,-6.982144693174322,-1367.045790919908,31.922147881964435,5.782981718683175,1140.0,0.712280701754386,-1.1991629744911474
momo_v2_anywhere,ETH,ALL,g_book_slope_steep_against,2651,0.3930592229347416,-6.982144693174322,-2487.576403974211,16.249633262081396,4.272366475337491,918.0,0.5555555555555556,-2.7097782178368313
momo_v2_anywhere,ETH,ALL,g_microprice_skew_with,2651,0.3930592229347416,-6.982144693174322,-4842.044636193084,3.9877958729095386,2.871750265166611,1178.0,0.432937181663837,-4.110394428007711
momo_v2_anywhere,ETH,ALL,g_depth_high,2651,0.3930592229347416,-6.982144693174322,-7938.152259352222,3.800640018386164,2.2030042600905038,1661.0,0.43106562311860325,-4.7791404330838185
momo_v2_anywhere,ETH,ALL,g_queue_top_high,2651,0.3930592229347416,-6.982144693174322,-1580.0256432664382,7.711621566174964,1.4381950676780475,285.0,0.47017543859649125,-5.543949625496275
momo_v2_anywhere,ETH,ALL,g_imb_change_with,2651,0.3930592229347416,-6.982144693174322,-1976.4023622574318,-1.4554550037545355,-2.253380364103397,214.0,0.37850467289719625,-9.23552505727772
momo_v2_anywhere,SOL,5m,NONE,1583,0.39608338597599496,-9.68082274218138,-15324.742400873125,0.0,0.0,,,
momo_v2_anywhere,SOL,5m,g_imb5_with,1583,0.39608338597599496,-9.68082274218138,-6516.817309345732,-2.515947293251669,0.8264513979616357,736.0,0.37092391304347827,-8.854371344219745
momo_v2_anywhere,SOL,5m,g_imb5_strong_with,1583,0.39608338597599496,-9.68082274218138,-4711.20758643905,-8.51214172959055,-0.8587915451543022,447.0,0.31096196868008946,-10.539614287335683
momo_v2_anywhere,SOL,5m,g_microprice_with,1583,0.39608338597599496,-9.68082274218138,-6497.373890800336,0.5823970972233916,0.8288147165678428,734.0,0.4019073569482289,-8.852008025613538
momo_v2_anywhere,SOL,5m,g_spread_wide_skew,1583,0.39608338597599496,-9.68082274218138,-827.8526900329238,37.44592496829197,8.397330199494677,645.0,0.7705426356589147,-1.2834925426867034
momo_v2_anywhere,SOL,5m,g_book_slope_steep_against,1583,0.39608338597599496,-9.68082274218138,-1510.2276983284546,30.65545037122544,6.05917358551842,417.0,0.7026378896882494,-3.6216491566629605
momo_v2_anywhere,SOL,5m,g_microprice_skew_with,1583,0.39608338597599496,-9.68082274218138,-6497.373890800336,0.5823970972233916,0.8288147165678428,734.0,0.4019073569482289,-8.852008025613538
momo_v2_anywhere,SOL,5m,g_depth_high,1583,0.39608338597599496,-9.68082274218138,-4116.037018254703,8.861049157502542,-0.8192716921418413,392.0,0.4846938775510204,-10.500094434323222
