asset,feature,n,mean,median,p10,p90,std
BTC,up_spread_bps,70579,662.0000929593182,224.7188904267036,111.7317394007622,1428.5721888347516,1372.4246465273877
BTC,dn_spread_bps,70579,664.1395124705218,224.7188904267036,111.7317394007622,1333.3334989017844,1370.2497648950116
BTC,up_imb5,79708,0.0026313776453453733,0.0014604349548729405,-0.7218341039158154,0.7358507834140233,0.5258414351461267
BTC,dn_imb5,79708,-0.0026712388513724403,-0.0013792933100350503,-0.7357367177674806,0.7223678879434321,0.5258249783311421
BTC,up_imb25,79708,0.0005385357942020176,-0.0031872575811602954,-0.7021581082003157,0.7147509761577604,0.5129758356204641
BTC,dn_imb25,79708,-0.0005967569189453271,0.003067310984249713,-0.714672188970692,0.7021129949019594,0.512970186524445
BTC,up_micro_dev_bps,70579,37.40834275180808,-0.41126600631222415,-172.77004065814864,172.1016396572057,522.7735300846042
BTC,dn_micro_dev_bps,70579,39.324300724424724,0.28639626422192394,-175.40175322647127,175.14720885694413,514.0412103449253
BTC,up_depth_2pct,79708,702.5151906112278,245.55999755859375,0.0,1241.092972946167,2212.2383823908704
BTC,dn_depth_2pct,79708,683.3775759482227,240.03499794006348,0.0,1180.8099914550785,2339.7898940013465
BTC,up_queue_top_bid,79708,0.09383223363098771,0.02608948563099049,0.001202129067755196,0.18223715480707353,0.2062882577402739
BTC,dn_queue_top_bid,79708,0.09331303471419548,0.025989371482363813,0.0010773439992544528,0.17577937505737085,0.20610930640588168
BTC,up_quote_intensity_5s,79708,4.104744818587846,5.0,2.0,5.0,1.485585431671319
BTC,dn_quote_intensity_5s,79708,4.103816429969388,5.0,2.0,5.0,1.4856168198820212
BTC,up_book_dt_us,79708,2117943.8575801677,897000.0,427000.0,2455300.000000003,5988237.122777114
BTC,dn_book_dt_us,79708,2118457.030661916,897000.0,428000.0,2460000.0,5987952.171910763
BTC,imb5_diff,79708,0.005302616496717812,0.0029678940706824204,-1.4435516544313018,1.4711671147940757,1.0514941704246927
BTC,micro_dev_diff,70579,-1.91595797261665,-1.1043540048426452,-429.3114077485019,428.33422198511573,785.7322467559517
BTC,spread_diff,70579,-2.1394195112035557,-4.000392409086999,-1225.2250648088575,1225.2250648088575,2002.4594095610976
ETH,up_spread_bps,70696,826.4954509666945,253.16507268880818,111.7317394007622,1818.1814487315387,1730.3507019006993
ETH,dn_spread_bps,70696,817.6460576318415,256.4107756486141,111.7317394007622,1818.1814487315387,1700.596129242638
ETH,up_imb5,79391,0.00882563090027891,0.01396743837691408,-0.7038020639495466,0.7126623124596719,0.5168492610142456
ETH,dn_imb5,79391,-0.00877309787369519,-0.013761885207302718,-0.7122558004095445,0.7037070065742267,0.5168102943877019
ETH,up_imb25,79391,0.0035438254097564558,0.003895550841586038,-0.7952469089600067,0.8012871441300122,0.5563477287941208
ETH,dn_imb25,79391,-0.0035319302926176323,-0.003949517215261674,-0.8016665493992133,0.795046422977478,0.5563351010045658
ETH,up_micro_dev_bps,70696,40.28487604662599,0.11035619444697142,-210.10981282441563,203.68794568437642,655.3062849973803
ETH,dn_micro_dev_bps,70696,43.938600037854364,-0.006439535815928406,-209.21766302031781,210.06281493892493,639.5314083114249
ETH,up_depth_2pct,79391,192.5295580693691,44.389999866485596,0.0,340.10000228881836,729.3617288105498
ETH,dn_depth_2pct,79391,191.72480554414608,43.920000076293945,0.0,329.16000270843506,764.5835191172129
ETH,up_queue_top_bid,79391,0.0884678398129488,0.02143072257668123,0.0011134265856237722,0.17055945984379955,0.20311973029574798
ETH,dn_queue_top_bid,79391,0.08759862889876839,0.021569972294051297,0.0010665198446426032,0.16815118420488162,0.2016669856468899
ETH,up_quote_intensity_5s,79391,2.326132685065058,2.0,0.0,5.0,1.650024800732344
ETH,dn_quote_intensity_5s,79391,2.3257548084795507,2.0,0.0,5.0,1.6498093464842667
ETH,up_book_dt_us,79391,4238714.274917812,1338000.0,343000.0,10268000.0,8128106.273515285
ETH,dn_book_dt_us,79391,4238855.651144336,1339000.0,343000.0,10268000.0,8127860.432693761
ETH,imb5_diff,79391,0.017598728773974098,0.027561963978824867,-1.4074324944087913,1.423910867797274,1.0335012078613681
ETH,micro_dev_diff,70696,-3.6537239912283614,0.23939959354013926,-552.339542189515,540.7921788834544,980.9639355507248
