sleeve,asset,tf,gate,n_train,wr_train,dpt_train,sum_train,n_test,wr_test,dpt_test,sum_test,boot_p_neg,boot_ci5,boot_ci95,pass_wf
momo_v2_anywhere,ETH,15m,g_imb5_with,208,0.4375,4.633279378349645,963.7221106967261,115,0.6173913043478261,8.019700886122674,922.2656019041075,0.015,2.1755046578446424,14.991732984381482,True
momo_v2_anywhere,ETH,15m,g_book_slope_steep_against,185,0.5405405405405406,3.4278724087180183,634.1563956128334,82,0.7926829268292683,10.691867897505755,876.733167595472,0.0,4.1286354175654525,18.625843148834175,True
sniper_midwindow,BTC,15m,g_imb5_with,1511,0.500330906684315,-0.1429975213083881,-216.06925469697444,525,0.5333333333333333,2.6467480837318687,1389.542743959231,0.135,-0.7978344057454505,6.7588325749332245,False
momo_v2_anywhere,ETH,15m,g_microprice_with,213,0.4131455399061033,-0.1555443634337725,-33.130949411393544,116,0.6206896551724138,8.254117158955156,957.477590438798,0.0,3.0693276701942356,15.317430269565786,False
momo_v2_anywhere,ETH,15m,g_microprice_skew_with,213,0.4131455399061033,-0.1555443634337725,-33.130949411393544,116,0.6206896551724138,8.254117158955156,957.477590438798,0.005,2.1198432476138644,15.409770579109194,False
momo_v2_anywhere,ETH,15m,g_depth_high,319,0.45141065830721006,0.21022552716564702,67.0619431658414,167,0.592814371257485,4.838847477586498,808.0875287569451,0.03,0.3837204934685312,9.32260780033135,True
fade_small,BTC,15m,g_queue_top_high,748,0.4572192513368984,0.542188655948664,405.55711464960063,124,0.49193548387096775,0.24282759245595562,30.110621464538497,0.59,-10.191859775419207,12.791381587424695,False
sniper_midwindow,BTC,15m,g_queue_top_high,266,0.6015037593984962,-1.3002360746934156,-345.86279586844853,47,0.574468085106383,14.716703923086236,691.6850843850531,0.345,-8.735881110654216,56.20049399251026,False
sniper_midwindow,BTC,15m,g_microprice_skew_with,1518,0.5395256916996047,-0.6981367412925469,-1059.7715732820861,534,0.552434456928839,2.4940960306251774,1331.8472803538448,0.16,-1.1699423528356572,6.327694542942648,False
sniper_midwindow,BTC,15m,g_microprice_with,1520,0.5394736842105263,-0.7115880231493458,-1081.6137951870055,534,0.552434456928839,2.4940960306251774,1331.8472803538448,0.15,-0.6392105941691982,6.1482914431063,False
momo_v2_strong,ETH,ALL,g_spread_wide_skew,175,0.7828571428571428,0.5341981068230323,93.48466869403065,126,0.7777777777777778,1.0589897811649167,133.43271242677952,0.22,-1.200494343510322,3.482146050842971,False
momo_v2_strong,ALL,15m,g_spread_wide_skew,179,0.7988826815642458,0.8963451474728802,160.44578139764556,97,0.7319587628865979,0.18016334252722785,17.475844225141103,0.395,-2.27267462278522,3.245071709991769,False
momo_extreme,ALL,15m,g_depth_high,130,0.5615384615384615,-0.7523211210021132,-97.80174573027472,82,0.5487804878048781,2.3299414133527856,191.05519589492843,0.275,-3.5529861212625837,8.372590897657233,False
momo_v2_anywhere,ETH,15m,g_spread_wide_skew,196,0.7142857142857143,-1.6722429584231286,-327.75961985093323,116,0.8103448275862069,3.333944677931852,386.7375826400948,0.01,1.123502325895353,5.556338500404326,False
sniper_midwindow,BTC,15m,g_spread_wide_skew,1549,0.7036797934151066,-0.5627437580743464,-871.6900812571625,506,0.7490118577075099,1.4714111182716707,744.5340258454654,0.04,0.16484260815669774,2.65796603629925,False
sniper_midwindow,BTC,5m,g_spread_wide_skew,1971,0.7777777777777778,0.03981625112227148,78.47783096199709,686,0.7740524781341108,-0.30035462487184317,-206.0432726620844,0.67,-1.2012817465388246,0.7047261546558059,False
sniper_midwindow,BTC,ALL,g_spread_wide_skew,3520,0.7451704545454545,-0.22534438928839928,-793.2122502951655,1192,0.7634228187919463,0.45175398756995033,538.4907531833808,0.115,-0.19413525833096595,1.1118213982679175,False
fade_small,SOL,5m,g_spread_wide_skew,3877,0.787980397214341,-0.35908992798465644,-1392.191650796513,1493,0.8064300066979236,0.671782256870747,1002.9709095080252,0.025,0.09723330474008132,1.2422417237943293,False
momo_extreme,ETH,15m,NONE,79,0.5822784810126582,4.416262023972461,348.8846998938244,40,0.825,20.48857698162044,819.5430792648176,0.0,11.668591134808453,33.0556996654974,True
momo_v2_strong,ETH,15m,NONE,124,0.532258064516129,-0.7142230135709593,-88.56365368279896,83,0.6987951807228916,9.528328431804487,790.8512598397725,0.01,3.367645507487364,15.889805375334332,False
momo_v2_anywhere,ETH,15m,NONE,437,0.43707093821510296,-1.4134823174557352,-617.6917727281563,244,0.6024590163934426,4.451199974069107,1086.0927936728622,0.01,1.2314412413146905,8.189118034878703,False
