asset,tf,bet_side,vpin_median,n_low,wr_low,dpt_low,n_high,wr_high,dpt_high,dpt_lift_low_minus_high
BTC,15m,UP,0.38470965291624365,2229,0.49663526244952894,-2.9937148050716225,2255,0.447450110864745,-4.722864251031437,1.7291494459598145
BTC,ALL,UP,0.3847242250951944,10070,0.47616683217477657,-2.6823276613674922,10120,0.45849802371541504,-4.040740152348469,1.3584124909809772
BTC,5m,UP,0.38473026093622636,7842,0.47028819178780923,-2.5966652957748027,7864,0.4617243133265514,-3.842476024375715,1.2458107286009121
ETH,15m,DOWN,0.3162907653960154,2007,0.5146985550572994,-0.3662567983326787,1971,0.48452562151192285,-1.2765337412999205,0.9102769429672417
SOL,5m,DOWN,0.33462056530911366,6000,0.4761666666666667,-4.775416023639489,6152,0.45269830949284784,-5.093652047318303,0.3182360236788133
ETH,5m,UP,0.3161003066764818,7526,0.46890778634068564,-3.7658854404008753,7313,0.470395186653904,-3.7416774195230857,-0.024208020877789505
ALL,5m,UP,0.34310125840777045,20978,0.45995805129182954,-4.151440236236469,21721,0.46452741586483126,-4.068794758600249,-0.08264547763621977
SOL,ALL,DOWN,0.3344444690977,7737,0.4751195553832235,-4.722302230964808,7981,0.46284926700914675,-4.559520663537028,-0.16278156742778016
ALL,ALL,UP,0.3430256485972112,26823,0.4646758379003094,-4.296072197494747,27893,0.46585164736672285,-4.04819692512513,-0.24787527236961715
ETH,ALL,DOWN,0.3162144256387369,9514,0.46678578936304393,-4.371718572777682,9312,0.4532860824742268,-4.013756008366186,-0.3579625644114959
ETH,ALL,UP,0.3162144256387369,9524,0.46671566568668627,-4.157900087560412,9266,0.4733434060004317,-3.7558515876605,-0.40204849989991187
SOL,15m,UP,0.33423950634081057,1749,0.5037164093767867,-4.8804809759838506,1833,0.4691762138570649,-4.4337513874837455,-0.446729588500105
ETH,5m,DOWN,0.3161003066764818,7503,0.453551912568306,-5.448842343304628,7345,0.4453369639210347,-4.742659898045247,-0.7061824452593815
ALL,15m,UP,0.342940647178829,5842,0.4813420061622732,-4.8211007056909745,6175,0.4707692307692308,-3.9704982730276215,-0.850602432663353
SOL,ALL,UP,0.3344444690977,7745,0.4526791478373144,-5.9512658602444555,7991,0.4612689275434864,-4.974653505368396,-0.9766123548760595
ALL,5m,DOWN,0.34310125840777045,20987,0.4586648877876781,-4.967871001264109,21739,0.4568747412484475,-3.9117806612813575,-1.056090339982752
ALL,15m,DOWN,0.342940647178829,5862,0.4894234049812351,-2.339451608686035,6163,0.4976472497160474,-1.2819833635605817,-1.0574682451254531
ALL,ALL,DOWN,0.3430256485972112,26850,0.4653631284916201,-4.402697551703499,27901,0.4658972796673954,-3.322504857733692,-1.0801926939698068
SOL,5m,UP,0.33462056530911366,6001,0.43842692884519247,-6.25093248620228,6153,0.4583130180399805,-5.147104969777154,-1.1038275164251257
BTC,5m,DOWN,0.38473026093622636,7852,0.4551706571574121,-4.007178655802023,7874,0.46583693167386336,-2.8103120528158123,-1.1968666029862107
BTC,ALL,DOWN,0.3847242250951944,10094,0.4589855359619576,-3.5258621427755945,10113,0.47750420251161874,-2.3167182440139733,-1.2091438987616212
BTC,15m,DOWN,0.38470965291624365,2242,0.4723461195361285,-1.8510514748961622,2239,0.5185350602947745,-0.569987831596147,-1.281063643300015
ETH,15m,UP,0.3162907653960154,1994,0.46038114343029085,-5.535832351964678,1957,0.4823709759836484,-3.9132195922026916,-1.6226127597619864
SOL,15m,DOWN,0.33423950634081057,1743,0.46873207114170967,-4.637582921770857,1823,0.49972572682391664,-2.6626638546780037,-1.9749190670928534
