asset,tf,bet_side,gate,n_base,wr_base,dpt_base,n_gate,wr_gate,dpt_gate,sum_pnl_gate,wr_lift_pp,dpt_lift
BTC,15m,UP,g_spread_tight,15288,0.4807692307692308,-2.773966758283104,30,0.5,6.040970556120388,181.22911668361164,1.9230769230769218,8.814937314403492
BTC,ALL,UP,g_spread_tight,68395,0.46643760508809123,-3.1452661165601015,33,0.48484848484848486,4.6510558440316,153.48484285304278,1.8410879760393628,7.796321960591701
ALL,15m,UP,g_spread_tight,29080,0.4798486932599725,-3.1820589737893887,50,0.58,2.579907014806411,128.99535074032056,10.015130674002748,5.7619659885958
ALL,ALL,UP,g_spread_tight,132121,0.46486932433148404,-3.4564129525196323,60,0.5666666666666667,1.96055593990407,117.6333563942442,10.179734233518262,5.416968892423702
ETH,5m,DOWN,g_spread_wide_skew,49989,0.46396207165576425,-3.965609432339514,23283,0.7586221706824722,-0.28440644954892064,-6621.835364847519,29.46600990267079,3.6812029827905937
ALL,5m,DOWN,g_spread_wide_skew,103411,0.4638578100975718,-3.6352296258030106,47867,0.7521674640148746,-0.17879055921103218,-8558.167697754478,28.830965391730274,3.456439066591978
ETH,ALL,DOWN,g_spread_wide_skew,63819,0.47023613657374763,-3.611367430747003,29909,0.7584004814604299,-0.21033451864664873,-6290.895118202617,28.81643448866823,3.401032912100354
ETH,5m,UP,g_spread_wide_skew,49934,0.4588657027276004,-3.8334278948322758,23287,0.7515781337226779,-0.5138417353737803,-11965.832491649222,29.27124309950775,3.3195861594584954
BTC,5m,DOWN,g_spread_wide_skew,53422,0.46376024858672454,-3.326080658168828,24584,0.7460543442889684,-0.07876392502875697,-1936.3323329069613,28.22940957022439,3.247316733140071
ALL,ALL,DOWN,g_spread_wide_skew,132517,0.46961521917942606,-3.2953088806716098,61772,0.7527196788188824,-0.09609383354140492,-5935.908285519665,28.31044596394563,3.1992150471302048
ETH,ALL,UP,g_spread_wide_skew,63726,0.46318614066472086,-3.7903565210074097,30247,0.7466194994544914,-0.6105362661940856,-18466.89044357251,28.34333587897705,3.179820254813324
ALL,5m,UP,g_spread_wide_skew,103041,0.4606418804165332,-3.5338405172897285,48250,0.745139896373057,-0.38485034295905307,-18569.02904777431,28.44980159565238,3.1489901743306756
BTC,ALL,DOWN,g_spread_wide_skew,68698,0.46903839995341934,-3.001697121853865,31863,0.7473872516712174,0.011141036082068618,354.98683268295235,27.83488517177981,3.0128381579359336
BTC,5m,UP,g_spread_wide_skew,53107,0.4623119362795865,-3.252152677452991,24963,0.7391339181989344,-0.2645193508843125,-6603.196556125093,27.682198191934788,2.9876333265686785
ALL,ALL,UP,g_spread_wide_skew,132121,0.46486932433148404,-3.4564129525196323,62803,0.742050538986991,-0.47106235300459015,-29584.128955747274,27.7181214655507,2.985350599515042
