group,n_pre,wr_pre,pnl_pre,avg_pre,w20_5m_fixed_n,w20_5m_fixed_wr,w20_5m_fixed_pnl,w20_5m_fixed_avg,w20_5m_fixed_keep%
v1_btc_15m,288,67.01,1928.45,6.696,52,75.0,597.77,11.496,18.1
v1_btc_5m,2715,45.52,-6132.15,-2.259,211,63.98,1573.36,7.457,7.8
v1_eth_15m,246,34.55,-1790.46,-7.278,18,0.0,-412.16,-22.898,7.3
v1_eth_5m,1566,46.62,-2423.51,-1.548,151,35.76,-931.17,-6.167,9.6
v1_sol_15m,249,57.43,435.3,1.748,18,16.67,-317.58,-17.643,7.2
v1_sol_5m,1310,52.37,1008.0,0.769,99,24.24,-1267.67,-12.805,7.6
v2_btc_15m,433,60.74,2554.98,5.901,73,63.01,513.88,7.039,16.9
v2_btc_5m,2599,45.79,-2159.89,-0.831,321,52.34,1394.09,4.343,12.4
v2_eth_15m,436,69.27,3451.42,7.916,33,81.82,523.28,15.857,7.6
v2_eth_5m,1519,45.36,-2786.61,-1.835,175,41.14,-641.43,-3.665,11.5
v2_sol_15m,231,45.02,-789.89,-3.419,54,83.33,898.18,16.633,23.4
v2_sol_5m,1182,50.76,-7.06,-0.006,117,30.77,-1074.4,-9.183,9.9
