group,n_pre,wr_pre,pnl_pre,avg_pre,w20_5m_fixed_n,w20_5m_fixed_wr,w20_5m_fixed_pnl,w20_5m_fixed_avg,w20_5m_fixed_keep%
btc_15m,721,63.25,4483.44,6.218,125,68.0,1111.65,8.893,17.3
btc_5m,5314,45.65,-8292.04,-1.56,532,56.95,2967.45,5.578,10.0
eth_15m,682,56.74,1660.96,2.435,51,52.94,111.12,2.179,7.5
eth_5m,3085,46.0,-5210.12,-1.689,326,38.65,-1572.6,-4.824,10.6
sol_15m,480,51.46,-354.59,-0.739,72,66.67,580.6,8.064,15.0
sol_5m,2492,51.61,1000.94,0.402,216,27.78,-2342.07,-10.843,8.7
