group,n_pre,wr_pre,pnl_pre,avg_pre,w20_5m_fixed_n,w20_5m_fixed_wr,w20_5m_fixed_pnl,w20_5m_fixed_avg,w20_5m_fixed_keep%
v1,6374,48.21,-6974.36,-1.094,549,46.45,-757.45,-1.38,8.6
v2,6400,49.19,262.95,0.041,773,50.97,1613.6,2.087,12.1
