group,n_pre,wr_pre,pnl_pre,avg_pre,w20_1m_voladaptive_n,w20_1m_voladaptive_wr,w20_1m_voladaptive_pnl,w20_1m_voladaptive_avg,w20_1m_voladaptive_keep%,w20_1m_fixed_n,w20_1m_fixed_wr,w20_1m_fixed_pnl,w20_1m_fixed_avg,w20_1m_fixed_keep%,w20_5m_voladaptive_n,w20_5m_voladaptive_wr,w20_5m_voladaptive_pnl,w20_5m_voladaptive_avg,w20_5m_voladaptive_keep%,w20_5m_fixed_n,w20_5m_fixed_wr,w20_5m_fixed_pnl,w20_5m_fixed_avg,w20_5m_fixed_keep%
v1_btc_15m,288,67.01,1928.45,6.696,205,62.93,1153.44,5.627,71.2,76,81.58,1061.99,13.974,26.4,91,73.63,1071.52,11.775,31.6,52,75.0,597.77,11.496,18.1
v1_btc_5m,2715,45.52,-6132.15,-2.259,1897,45.97,-2908.49,-1.533,69.9,605,35.21,-3537.7,-5.847,22.3,604,49.01,-60.81,-0.101,22.2,211,63.98,1573.36,7.457,7.8
v1_eth_15m,246,34.55,-1790.46,-7.278,184,28.26,-2277.31,-12.377,74.8,58,39.66,-518.0,-8.931,23.6,118,44.07,-573.96,-4.864,48.0,18,0.0,-412.16,-22.898,7.3
v1_eth_5m,1566,46.62,-2423.51,-1.548,1184,49.07,-193.98,-0.164,75.6,451,44.35,-1115.6,-2.474,28.8,739,46.82,-1070.99,-1.449,47.2,151,35.76,-931.17,-6.167,9.6
v1_sol_15m,249,57.43,435.3,1.748,194,65.98,1121.54,5.781,77.9,48,87.5,784.96,16.353,19.3,84,46.43,-293.75,-3.497,33.7,18,16.67,-317.58,-17.643,7.2
v1_sol_5m,1310,52.37,1008.0,0.769,886,46.16,-1375.18,-1.552,67.6,197,36.55,-834.3,-4.235,15.0,477,49.06,-256.47,-0.538,36.4,99,24.24,-1267.67,-12.805,7.6
v2_btc_15m,433,60.74,2554.98,5.901,368,64.67,2757.21,7.492,85.0,145,57.24,968.81,6.681,33.5,106,60.38,607.42,5.73,24.5,73,63.01,513.88,7.039,16.9
v2_btc_5m,2599,45.79,-2159.89,-0.831,1820,45.88,-432.48,-0.238,70.0,635,35.59,-2281.4,-3.593,24.4,647,42.5,-1173.16,-1.813,24.9,321,52.34,1394.09,4.343,12.4
v2_eth_15m,436,69.27,3451.42,7.916,347,72.05,3322.92,9.576,79.6,108,75.0,1292.46,11.967,24.8,196,63.27,942.86,4.811,45.0,33,81.82,523.28,15.857,7.6
v2_eth_5m,1519,45.36,-2786.61,-1.835,1136,48.06,-465.98,-0.41,74.8,425,44.47,-462.67,-1.089,28.0,598,48.16,228.23,0.382,39.4,175,41.14,-641.43,-3.665,11.5
v2_sol_15m,231,45.02,-789.89,-3.419,168,44.05,-663.17,-3.947,72.7,18,50.0,-25.15,-1.397,7.8,141,44.68,-448.64,-3.182,61.0,54,83.33,898.18,16.633,23.4
v2_sol_5m,1182,50.76,-7.06,-0.006,849,50.53,138.25,0.163,71.8,162,48.15,-106.76,-0.659,13.7,438,50.68,-148.93,-0.34,37.1,117,30.77,-1074.4,-9.183,9.9
