family,sleeve,filter,n,wr,avg,sum
volume_INV_NIGHT,eth_5m,MARKOV:w20_5m_fixed,22,9.09,-20.582,-452.8
volume_INV_NIGHT,sol_15m,ALL,117,30.77,-10.765,-1259.47
volume_INV_NIGHT,sol_15m,MARKOV:w20_1m_voladaptive,28,0.0,-25.678,-718.98
volume_INV_NIGHT,sol_15m,MARKOV:w20_5m_voladaptive,50,28.0,-12.115,-605.73
volume_INV_NIGHT,sol_15m,MARKOV:w20_1m_fixed,8,0.0,-25.875,-207.0
volume_INV_NIGHT,sol_15m,MARKOV:w20_5m_fixed,8,0.0,-25.875,-207.0
volume_INV_NIGHT,sol_5m,ALL,122,64.75,5.27,642.94
volume_INV_NIGHT,sol_5m,MARKOV:w20_1m_voladaptive,20,20.0,-16.107,-322.13
volume_INV_NIGHT,sol_5m,MARKOV:w20_5m_voladaptive,41,56.1,1.371,56.2
volume_INV_NIGHT,sol_5m,MARKOV:w20_1m_fixed,6,0.0,-26.147,-156.88
volume_INV_NIGHT,sol_5m,MARKOV:w20_5m_fixed,8,0.0,-26.06,-208.48
