fire_us,sleeve_id,signal,condition_id,won,pnl_usd,family,version,policy,is_f7,symbol,tf,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
1779307270012775,poly_updown_sol_15m_momo_v2_HOLD,DOWN,0x5d552c61f6e6d4783dbf143e830d90215ae267e65ab2c3b2c9b8aacbc8b69022,True,24.2149964,momo,v2,HOLD,False,SOL,15m,0,True,0,True,1,False,1,False
1779307270014883,poly_updown_sol_15m_momo_v2_HEDGE,DOWN,0x5d552c61f6e6d4783dbf143e830d90215ae267e65ab2c3b2c9b8aacbc8b69022,True,24.2149964,momo,v2,HEDGE,False,SOL,15m,0,True,0,True,1,False,1,False
1779307270015416,poly_updown_eth_15m_momo_v2_SELL_f7,DOWN,0x7fc2706458aab83934d1a54e61f01e5f17e3f1d3952ff7e10d31996d1c7f18bc,True,21.59283784,momo,v2,SELL,True,ETH,15m,0,True,1,False,1,False,1,False
1779307270020627,poly_updown_eth_15m_momo_v2_HOLD_f7,DOWN,0x7fc2706458aab83934d1a54e61f01e5f17e3f1d3952ff7e10d31996d1c7f18bc,True,21.59283784,momo,v2,HOLD,True,ETH,15m,0,True,1,False,1,False,1,False
1779307270021205,poly_updown_eth_15m_momo_v2_HEDGE_f7,DOWN,0x7fc2706458aab83934d1a54e61f01e5f17e3f1d3952ff7e10d31996d1c7f18bc,True,21.59283784,momo,v2,HEDGE,True,ETH,15m,0,True,1,False,1,False,1,False
1779307320816064,poly_updown_eth_5m_momo_HOLD,DOWN,0xf1ebeb54382f6cb15127497f85619ab3d93dd45a7a948113cdf495a90bd9ee78,False,-25.3778,momo,v1,HOLD,False,ETH,5m,0,True,1,False,1,False,1,False
1779307320817049,poly_updown_eth_5m_momo_SELL,DOWN,0xf1ebeb54382f6cb15127497f85619ab3d93dd45a7a948113cdf495a90bd9ee78,False,-25.3778,momo,v1,SELL,False,ETH,5m,0,True,1,False,1,False,1,False
1779307320823391,poly_updown_eth_5m_momo_HEDGE,DOWN,0xf1ebeb54382f6cb15127497f85619ab3d93dd45a7a948113cdf495a90bd9ee78,False,-25.3778,momo,v1,HEDGE,False,ETH,5m,0,True,1,False,1,False,1,False
1779307321111036,poly_updown_eth_5m_momo_HEDGE_f7,DOWN,0xf1ebeb54382f6cb15127497f85619ab3d93dd45a7a948113cdf495a90bd9ee78,False,-25.3778,momo,v1,HEDGE,True,ETH,5m,0,True,1,False,1,False,1,False
1779307321111077,poly_updown_eth_5m_momo_SELL_f7,DOWN,0xf1ebeb54382f6cb15127497f85619ab3d93dd45a7a948113cdf495a90bd9ee78,False,-25.3778,momo,v1,SELL,True,ETH,5m,0,True,1,False,1,False,1,False
