n_train,n_test,test_acc,test_brier,test_logloss,base_rate_test,predicted_up_rate,fold,test_start,test_end
730,90,0.5444444444444444,0.24567990571261028,0.6843046049626197,0.5444444444444444,0.6666666666666666,1,2020-01-02,2020-03-31
820,90,0.4777777777777778,0.254787571688496,0.7028424357465559,0.5555555555555556,0.4777777777777778,2,2020-04-01,2020-06-29
910,90,0.5444444444444444,0.2453316755410655,0.6836844568640574,0.5666666666666667,0.3333333333333333,3,2020-06-30,2020-09-27
1000,90,0.5333333333333333,0.24784000308242157,0.688805725596509,0.6222222222222222,0.5333333333333333,4,2020-09-28,2020-12-26
1090,90,0.5,0.25205435553918865,0.6974816468078459,0.5666666666666667,0.8444444444444444,5,2020-12-27,2021-03-26
1180,90,0.45555555555555555,0.26291620220844536,0.7226062700261326,0.4444444444444444,0.9,6,2021-03-27,2021-06-24
1270,90,0.5,0.24815605768209015,0.6893392421077225,0.5333333333333333,0.8333333333333334,7,2021-06-25,2021-09-22
1360,90,0.5,0.25027054947564326,0.6935911418384221,0.5111111111111111,0.7888888888888889,8,2021-09-23,2021-12-21
1450,90,0.5111111111111111,0.2483206226530303,0.6894180364441606,0.4666666666666667,0.8666666666666667,9,2021-12-22,2022-03-21
1540,90,0.5333333333333333,0.24151241917621513,0.6741240378573597,0.4888888888888889,0.6666666666666666,10,2022-03-22,2022-06-19
1630,90,0.4444444444444444,0.2687077885327955,0.7335547567635511,0.4444444444444444,0.7111111111111111,11,2022-06-20,2022-09-17
1720,90,0.4666666666666667,0.24960028749834506,0.6923572400746293,0.4444444444444444,0.8888888888888888,12,2022-09-18,2022-12-16
1810,90,0.5111111111111111,0.25060974513464196,0.6943727094508009,0.4666666666666667,0.7555555555555555,13,2022-12-17,2023-03-16
1900,90,0.5777777777777777,0.24424762485133197,0.6815310834800687,0.4888888888888889,0.6888888888888889,14,2023-03-17,2023-06-14
1990,90,0.4666666666666667,0.2544767745179995,0.7021514294639819,0.45555555555555555,0.7888888888888889,15,2023-06-15,2023-09-12
2080,90,0.5333333333333333,0.2557851199257326,0.7051198204115043,0.5555555555555556,0.4666666666666667,16,2023-09-13,2023-12-11
2170,90,0.5888888888888889,0.24681740805858826,0.6876834670362446,0.6111111111111112,0.6444444444444445,17,2023-12-12,2024-03-10
2260,90,0.5444444444444444,0.2502307943695222,0.6932561785631535,0.4888888888888889,0.8333333333333334,18,2024-03-11,2024-06-08
2350,90,0.4666666666666667,0.25165583682881115,0.6964816370616773,0.4444444444444444,0.7111111111111111,19,2024-06-09,2024-09-06
2440,90,0.4888888888888889,0.26415627203366954,0.7289840019199441,0.5777777777777777,0.5333333333333333,20,2024-09-07,2024-12-05
2530,90,0.5555555555555556,0.24459191379436368,0.6820349617301887,0.4777777777777778,0.5222222222222223,21,2024-12-06,2025-03-05
2620,90,0.5,0.2573662881647452,0.7080135482266904,0.5222222222222223,0.6222222222222222,22,2025-03-06,2025-06-03
2710,90,0.5111111111111111,0.24929380200940313,0.6918510707666827,0.5222222222222223,0.5888888888888889,23,2025-06-04,2025-09-01
2800,90,0.43333333333333335,0.2596809439702305,0.7129393855233842,0.4777777777777778,0.6888888888888889,24,2025-09-02,2025-11-30
2890,90,0.5,0.2517507285408315,0.6966670951124668,0.4444444444444444,0.5222222222222223,25,2025-12-01,2026-02-28
