feature,permutation_importance
btc_minus_eth_1d,0.009876543209876545
z_oi,0.008474945533769066
btc_ret_1d,0.00689905591866376
cross_risk_off,0.006259985475671753
cmf_5,0.005925925925925928
cross_real_money,0.004771241830065367
range_compression,0.003543936092955704
cross_leverage_heat_d7,0.00337690631808279
z_top_lsr_sum_d1,0.0032098765432098746
z_lsr,0.0030501089324618752
dist_ma200_pct,0.002948438634713139
funding_rate,0.002883079157588964
z_taker_ratio,0.0027959331880900566
adx_14,0.0025708061002178637
realized_vol_30d,0.0024618736383442267
z_top_lsr_count_d1,0.0020406681190994983
oilsr,0.0020406681190994935
ret_7d,0.0019753086419753213
ret_3d,0.0011619462599854657
cross_leverage_heat,0.0011474219317356546
z_taker_ratio_d1,0.0010675381263616605
month,0.000987654320987652
score_bull_scaled,0.00073347857661584
eth_ret_1d,0.00048656499636891943
z_top_lsr_sum,0.0004212055192447393
z_oi_silent,0.0001670297748729188
mfi_14,0.0001597676107480096
range_med_7d,0.0001597676107480001
z_cb_premium_d1,0.0
sol_ret_1d,0.0
is_weekend,0.0
z_cb_premium,0.0
score_bear_scaled,-2.544261098099317e-18
obv_z_20d,-0.0001670297748729106
z_fund,-0.00034132171387072735
cross_retail_lead,-0.0006608569353667369
intraday_range,-0.0006681190994916436
vol_z_20d,-0.0007334785766158348
dist_ma20_pct,-0.001067538126361654
rsi_14,-0.001292665214233848
z_lsr_d7,-0.0013943355119825673
dow_sin,-0.0013943355119825735
cross_retail_lead_d1,-0.0014742193173565745
cross_institutional_lead_d1,-0.0016485112563543887
z_oi_silent_d1,-0.0017356572258532996
brigalS,-0.0018010167029774882
z_dom_stables,-0.0018082788671023927
realized_vol_7d,-0.0018082788671024005
dist_ma50_pct,-0.0023021060275962156
score_bear_scaled_d1,-0.002309368191721132
cross_risk_off_d1,-0.0023747276688453134
di_diff_14,-0.002476397966594047
bb_z_20,-0.002628903413217143
cmf_20,-0.002636165577342046
z_lsr_d1,-0.0027160493827160436
cross_institutional_lead,-0.0028758169934640487
z_top_lsr_count,-0.0028976034858387793
dow_cos,-0.002962962962962953
brigalS_d1,-0.002962962962962961
z_oi_d1,-0.00297022512708787
cross_institutional_lead_d7,-0.0029774872912127714
cross_leverage_heat_d1,-0.003050108932461874
ret_1d,-0.0032098765432098763
ret_30d,-0.003289760348583877
realized_vol_14d,-0.003369644153957879
funding_rate_d1,-0.0037835875090776977
cross_real_money_d1,-0.0037908496732026124
oilsr_d1,-0.0038562091503267937
dow,-0.0038707334785766127
z_fund_d1,-0.004117647058823522
z_dom_stables_d1,-0.0043645606390704415
vol_z_30d,-0.00452432824981845
obv_slope_20d,-0.004676833696441534
obv_slope_5d,-0.0048656499636891785
score_bull_scaled_d1,-0.005984023238925198
taker_delta_day,-0.006158315177923012
aggression_imb_day,-0.007893972403776327
taker_buy_ratio_day,-0.00791575889615105
body_pct,-0.008228031953522152
