bin,n,avg_p_up,empirical_up_rate
"(0.1, 0.2]",2,0.1404296455424275,1.0
"(0.2, 0.3]",18,0.2733015161402472,0.5
"(0.3, 0.4]",54,0.37117117744033945,0.5370370370370371
"(0.4, 0.5]",657,0.4741749718424277,0.4977168949771689
"(0.5, 0.6]",1379,0.5317525232600921,0.5039883973894126
"(0.6, 0.7]",105,0.6371227500301476,0.6
"(0.7, 0.8]",31,0.7371470245106252,0.5483870967741935
"(0.8, 0.9]",4,0.8257224982463169,0.75
