bin,n,avg_p_up,empirical_up_rate
"(0.2, 0.3]",2,0.2802223144855527,0.5
"(0.3, 0.4]",47,0.36904554409815843,0.46808510638297873
"(0.4, 0.5]",602,0.46998189304181553,0.49169435215946844
"(0.5, 0.6]",565,0.5275343331586687,0.48849557522123893
"(0.6, 0.7]",79,0.6435143661650253,0.5063291139240507
"(0.7, 0.8]",20,0.736185420613902,0.45
"(0.8, 0.9]",13,0.844492988376867,0.38461538461538464
