threshold,n_bets,win_rate,avg_pnl,total_pnl,ev_sharpe,symbol
0.05,596,0.5436241610738255,0.05558089528898158,33.12621359223302,0.05741923772864779,BTCUSDT
0.08,300,0.54,0.04854368932038836,14.563106796116509,0.05007710104811097,BTCUSDT
0.1,214,0.5467289719626168,0.06160965429634337,13.184466019417481,0.06358781342973281,BTCUSDT
0.15,90,0.5666666666666667,0.10032362459546929,9.029126213592235,0.10368341903411715,BTCUSDT
0.05,577,0.5233968804159446,0.016304622166882613,9.407766990291268,0.0167976024329098,ETHUSDT
0.08,288,0.5763888888888888,0.1192017259978425,34.33009708737864,0.12402036518199656,ETHUSDT
0.1,186,0.5860215053763441,0.13790583568222156,25.65048543689321,0.14380487143269993,ETHUSDT
0.15,48,0.625,0.21359223300970875,10.25242718446602,0.22483574251241978,ETHUSDT
0.05,374,0.49732620320855614,-0.03431805202222106,-12.834951456310677,-0.03530081055906491,SOLUSDT
0.08,227,0.4889867841409692,-0.050511098755399685,-11.466019417475728,-0.051924306990487674,SOLUSDT
0.1,161,0.4968944099378882,-0.035156485557498646,-5.660194174757282,-0.036099244214603414,SOLUSDT
0.15,69,0.463768115942029,-0.09947938652033206,-6.864077669902912,-0.10198668554568192,SOLUSDT
