n_train,n_test,test_acc,test_brier,test_logloss,base_rate_test,predicted_up_rate,fold,test_start,test_end
730,90,0.5,0.25563559054087215,0.7054696098323422,0.43333333333333335,0.3111111111111111,1,2022-08-12,2022-11-09
820,90,0.4222222222222222,0.25676647955695603,0.707090264484149,0.4444444444444444,0.4666666666666667,2,2022-11-10,2023-02-07
910,90,0.5777777777777777,0.24311578325236816,0.6792968819933912,0.45555555555555555,0.43333333333333335,3,2023-02-08,2023-05-08
1000,90,0.5444444444444444,0.2518253462137927,0.6969234113438607,0.4777777777777778,0.17777777777777778,4,2023-05-09,2023-08-06
1090,90,0.5,0.25764937296406787,0.708786899494503,0.4888888888888889,0.4777777777777778,5,2023-08-07,2023-11-04
1180,90,0.5,0.24865239476989995,0.6903712199732581,0.5444444444444444,0.6444444444444445,6,2023-11-05,2024-02-02
1270,90,0.4222222222222222,0.26432152116505925,0.7224766949336765,0.5555555555555556,0.3333333333333333,7,2024-02-03,2024-05-02
1360,90,0.43333333333333335,0.257755611513286,0.708790866182911,0.5111111111111111,0.7222222222222222,8,2024-05-03,2024-07-31
1450,90,0.5,0.2492476329087077,0.6920038821232805,0.5222222222222223,0.4888888888888889,9,2024-08-01,2024-10-29
1540,90,0.5222222222222223,0.2528153501818233,0.699413458639722,0.5,0.7333333333333333,10,2024-10-30,2025-01-27
1630,90,0.5,0.29703632422014503,0.8109469606744015,0.45555555555555555,0.8,11,2025-01-28,2025-04-27
1720,90,0.5,0.25139567714375316,0.6959960637334962,0.5333333333333333,0.5,12,2025-04-28,2025-07-26
1810,90,0.5,0.25348881255956157,0.7005577296166321,0.5333333333333333,0.4111111111111111,13,2025-07-27,2025-10-24
1900,90,0.5222222222222223,0.24502385527497147,0.6830184181467689,0.43333333333333335,0.7555555555555555,14,2025-10-25,2026-01-22
1990,68,0.5441176470588235,0.24775634922559267,0.6886624518729683,0.4264705882352941,0.35294117647058826,15,2026-01-23,2026-03-31
