bin,n,avg_p_up,empirical_up_rate
"(0.2, 0.3]",2,0.28075734966641014,0.5
"(0.3, 0.4]",74,0.3683122433661425,0.4594594594594595
"(0.4, 0.5]",803,0.472555229268279,0.5118306351183064
"(0.5, 0.6]",1261,0.5283177605680828,0.5162569389373514
"(0.6, 0.7]",101,0.633092531418765,0.6237623762376238
"(0.7, 0.8]",8,0.7349675545310681,0.5
"(0.8, 0.9]",1,0.8175010636813494,1.0
