n_train,n_test,test_acc,test_brier,test_logloss,base_rate_test,predicted_up_rate,fold,test_start,test_end
730,90,0.4888888888888889,0.2501441760970378,0.6931463250660566,0.5333333333333333,0.3333333333333333,1,2020-01-02,2020-03-31
820,90,0.5333333333333333,0.2504723655537313,0.6945311845133822,0.5,0.4777777777777778,2,2020-04-01,2020-06-29
910,90,0.5333333333333333,0.2520310281775499,0.697458855256391,0.5888888888888889,0.16666666666666666,3,2020-06-30,2020-09-27
1000,90,0.4888888888888889,0.24936990417827481,0.6917732178019942,0.6,0.37777777777777777,4,2020-09-28,2020-12-26
1090,90,0.5,0.2444323640924058,0.6817703300929939,0.5777777777777777,0.5888888888888889,5,2020-12-27,2021-03-26
1180,90,0.5111111111111111,0.25366722944599773,0.7005375316202187,0.5555555555555556,0.8888888888888888,6,2021-03-27,2021-06-24
1270,90,0.5777777777777777,0.24441984138725062,0.6818021443758706,0.6,0.9111111111111111,7,2021-06-25,2021-09-22
1360,90,0.5444444444444444,0.2476717169481088,0.6884517733751186,0.5222222222222223,0.9777777777777777,8,2021-09-23,2021-12-21
1450,90,0.4222222222222222,0.25778447435738233,0.7087593384045034,0.5111111111111111,0.6888888888888889,9,2021-12-22,2022-03-21
1540,90,0.4444444444444444,0.2572009439710936,0.7077576379074645,0.45555555555555555,0.9888888888888889,10,2022-03-22,2022-06-19
1630,90,0.5,0.2472353257375114,0.687556990211932,0.4888888888888889,0.6555555555555556,11,2022-06-20,2022-09-17
1720,90,0.4777777777777778,0.2512582284397146,0.6956919705826338,0.45555555555555555,0.8444444444444444,12,2022-09-18,2022-12-16
1810,90,0.5666666666666667,0.2454669522292498,0.6840141026443556,0.5111111111111111,0.7,13,2022-12-17,2023-03-16
1900,90,0.5111111111111111,0.2504180620203196,0.6939031852707573,0.4888888888888889,0.5333333333333333,14,2023-03-17,2023-06-14
1990,90,0.5333333333333333,0.25261188102880816,0.6986320477817048,0.4111111111111111,0.45555555555555555,15,2023-06-15,2023-09-12
2080,90,0.5333333333333333,0.24808531330733294,0.6896379842028112,0.6,0.35555555555555557,16,2023-09-13,2023-12-11
2170,90,0.6,0.24854411890916817,0.6902862050153498,0.5888888888888889,0.5222222222222223,17,2023-12-12,2024-03-10
2260,90,0.5555555555555556,0.24582734140077944,0.6847372312802127,0.4888888888888889,0.6666666666666666,18,2024-03-11,2024-06-08
2350,90,0.4222222222222222,0.25724410143617416,0.7075803019348796,0.4444444444444444,0.7333333333333333,19,2024-06-09,2024-09-06
2440,90,0.36666666666666664,0.26189368989119743,0.7173618098125212,0.5666666666666667,0.5111111111111111,20,2024-09-07,2024-12-05
2530,90,0.5,0.248805369115392,0.6915397818000653,0.4777777777777778,0.6222222222222222,21,2024-12-06,2025-03-05
2620,90,0.6111111111111112,0.24975360306825706,0.6930652227518447,0.4888888888888889,0.43333333333333335,22,2025-03-06,2025-06-03
2710,90,0.4777777777777778,0.25112374265643617,0.6954547371049545,0.5555555555555556,0.5666666666666667,23,2025-06-04,2025-09-01
2800,90,0.5666666666666667,0.24852423975378962,0.6900641813960239,0.4666666666666667,0.5666666666666667,24,2025-09-02,2025-11-30
2890,90,0.5333333333333333,0.24849207349285293,0.6900475163376101,0.4666666666666667,0.6666666666666666,25,2025-12-01,2026-02-28
