feature,permutation_importance
eth_ret_1d,0.009629629629629634
dow_cos,0.005925925925925926
cmf_5,0.004888888888888883
ret_30d,0.0038518518518518507
cross_risk_off_d1,0.0031111111111111105
realized_vol_7d,0.00311111111111111
z_top_lsr_count,0.0025185185185185154
z_top_lsr_sum_d1,0.0023703703703703695
intraday_range,0.0023703703703703673
cross_institutional_lead,0.0022222222222222214
ret_1d,0.0020740740740740737
z_lsr,0.001777777777777775
z_oi_silent,0.001629629629629632
taker_delta_day,0.0016296296296296289
z_cb_premium,0.0013333333333333292
dist_ma20_pct,0.0010370370370370373
dow_sin,0.0005925925925925938
z_top_lsr_sum,0.0005925925925925919
cross_risk_off,0.0004444444444444459
brigalS,0.00044444444444444517
cross_real_money_d1,0.00044444444444444506
cross_retail_lead,0.00044444444444444506
cross_leverage_heat_d1,0.00044444444444444425
z_oi_d1,0.00044444444444444365
funding_rate_d1,0.00044444444444444354
cross_leverage_heat,0.00044444444444444284
z_oi,0.00044444444444444284
score_bull_scaled_d1,0.0002962962962962953
taker_buy_ratio_day,0.00029629629629628914
cross_real_money,0.00014814814814814985
score_bear_scaled,0.0001481481481481469
brigalS_d1,0.00014814814814814614
sol_ret_1d,0.00014814814814814058
z_fund_d1,2.359223927328458e-18
is_weekend,0.0
btc_ret_1d,0.0
oilsr,-8.557969148152248e-19
cross_institutional_lead_d1,-1.5785983631388945e-18
z_lsr_d1,-3.7470027081099036e-18
z_taker_ratio,-0.00014814814814814633
z_lsr_d7,-0.00014814814814814975
month,-0.00014814814814815156
cross_retail_lead_d1,-0.0002962962962962975
realized_vol_30d,-0.000296296296296299
cross_institutional_lead_d7,-0.00044444444444444414
z_oi_silent_d1,-0.0004444444444444472
dist_ma50_pct,-0.0005925925925925914
z_fund,-0.0005925925925925927
z_taker_ratio_d1,-0.000740740740740741
score_bull_scaled,-0.0007407407407407418
adx_14,-0.0008888888888888835
score_bear_scaled_d1,-0.001037037037037038
body_pct,-0.0010370370370370425
ret_7d,-0.0013333333333333329
z_dom_stables_d1,-0.0014814814814814808
funding_rate,-0.0014814814814814847
ret_3d,-0.0014814814814814873
btc_minus_eth_1d,-0.0016296296296296289
z_cb_premium_d1,-0.001777777777777779
di_diff_14,-0.0017777777777777829
z_top_lsr_count_d1,-0.001925925925925928
bb_z_20,-0.001925925925925931
oilsr_d1,-0.002074074074074075
z_dom_stables,-0.002222222222222224
obv_z_20d,-0.002370370370370367
realized_vol_14d,-0.0025185185185185167
cross_leverage_heat_d7,-0.0025185185185185176
vol_z_20d,-0.0026666666666666705
range_compression,-0.0029629629629629693
dist_ma200_pct,-0.003259259259259253
dow,-0.003555555555555558
rsi_14,-0.0038518518518518437
vol_z_30d,-0.004592592592592597
obv_slope_5d,-0.004740740740740742
range_med_7d,-0.004740740740740747
aggression_imb_day,-0.005037037037037038
cmf_20,-0.006518518518518514
obv_slope_20d,-0.0082962962962963
mfi_14,-0.008444444444444444
