symbol,n_oos,n_folds,oos_acc,oos_base_rate,oos_brier,oos_logloss,min_fold_acc,max_fold_acc
BTCUSDT,2250,25,0.5075555555555555,0.5088888888888888,0.2518336276396087,0.6973278393534542,0.43333333333333335,0.5888888888888889
ETHUSDT,2250,25,0.512,0.5177777777777778,0.25049912346783265,0.694222464261666,0.36666666666666664,0.6111111111111112
SOLUSDT,1328,15,0.49849397590361444,0.48870481927710846,0.2556273414542275,0.7062739903862028,0.4222222222222222,0.5777777777777777
