sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,n_full,wr_full,dpt_full,sum_full,dd_lockbox,loss_streak_lockbox,sharpe_lockbox
V7_S5+g_J_btc_eth_slope_unan_either+g_L_SOL_grandparent_trend_with,41,29,0.7241379310344828,4.46832929613416,129.58154958789063,4,0.75,3.2654953373378,13.0619813493512,8,1.0,17.283729010228996,138.26983208183196,41,0.7804878048780488,6.851545439489604,280.91336301907376,0.0,0,21.846993319892015
V7_S5+g_J_btc_eth_slope_unan_strong+g_L_SOL_grandparent_trend_with,36,24,0.8333333333333334,8.54506456616211,205.0815495878906,4,0.75,3.2654953373378,13.0619813493512,8,1.0,17.283729010228996,138.26983208183196,36,0.8611111111111112,9.900371194974273,356.4133630190738,0.0,0,21.846993319892015
V7_S5+g_J_btc_eth_slope_unan_strong+g_L_SOL_grandparent_slope_with,37,24,0.8333333333333334,8.54506456616211,205.0815495878906,5,0.6,-2.38760373012976,-11.9380186506488,8,1.0,17.283729010228996,138.26983208183196,37,0.8378378378378378,8.957117919434427,331.4133630190738,0.0,0,21.846993319892015
V7_S5+g_J_btc_eth_tr_stack_unan_with+g_L_SOL_grandparent_trend_with,31,19,0.6842105263157895,3.077920952538602,58.48049809823344,2,1.0,13.736268236110604,27.472536472221208,10,1.0,17.26174603176937,172.6174603176937,31,0.8064516129032258,8.340983706069302,258.57049488814835,0.0,0,18.969891553895668
V7_S5_SLOPE_STR+g_L_SOL_grandparent_trend_with,47,33,0.6666666666666666,2.2933621221297655,75.68095003028226,4,0.75,3.2654953373378,13.0619813493512,10,1.0,17.26174603176937,172.6174603176937,47,0.7446808510638298,5.560859397815471,261.36039169732715,0.0,0,18.969891553895668
V7_S5_SLOPE_STR+g_L_SOL_grandparent_slope_with,51,33,0.6666666666666666,2.2933621221297655,75.68095003028226,7,0.7142857142857143,2.7713612809843027,19.39952896689012,11,1.0,16.740624700311404,184.14687170342543,51,0.7450980392156863,5.475046092168585,279.2273507005978,0.0,0,17.033314231985287
V7_S5+g_J_btc_eth_tr_stack_unan_with+g_L_SOL_grandparent_slope_with,34,19,0.6842105263157895,3.077920952538602,58.48049809823344,4,0.75,2.327521022440032,9.310084089760128,11,1.0,16.740624700311404,184.14687170342543,34,0.7941176470588235,7.4099251144535,251.937453891419,0.0,0,17.033314231985287
V7_S5+g_J_btc_eth_slope_unan_either+g_L_SOL_grandparent_slope_with,44,29,0.7241379310344828,4.46832929613416,129.58154958789063,6,0.6666666666666666,2.0936635582252,12.5619813493512,9,1.0,16.644360385284855,149.79924346756368,44,0.7727272727272727,6.635063054654671,291.9427744048055,0.0,0,18.3787643719211
V7_S5+g_J_btc_eth_vol_both_low+g_L_SOL_grandparent_trend_with,32,20,0.6,-0.6327538639944885,-12.65507727988977,4,0.75,3.2654953373378,13.0619813493512,8,1.0,15.956570891315389,127.65256713052311,32,0.71875,4.001858474999517,128.05947119998456,0.0,0,18.39649854828618
V7_S1+g_J_btc_eth_slope_unan_either+g_L_ETH_grandparent_trend_with,18,5,0.8,3.996495670684351,19.982478353421754,3,1.0,17.26747080749631,51.80241242248893,10,1.0,15.639628489164673,156.39628489164673,18,0.9444444444444444,12.676731981530967,228.1811756675574,0.0,0,50.630448744358134
V7_S1+g_J_btc_eth_slope_unan_either+g_L_SOL_grandparent_trend_with,16,3,1.0,12.477892589600685,37.433677768802056,3,1.0,17.26747080749631,51.80241242248893,10,1.0,15.639628489164673,156.39628489164673,16,1.0,15.352023442683606,245.6323750829377,0.0,0,50.630448744358134
