sleeve,gates,n_train,wr_train,dpt_25_train,sum_train,n_val,wr_val,dpt_25_val,sum_val,n_lockbox,wr_lockbox,dpt_25_lockbox,sum_lockbox,n_full,wr_full,dpt_25_full,sum_full,max_dd_25,loss_streak,sharpe,bootstrap_p_lockbox,proj_32d,proj_full,proj_honest
V6+g_J_btc_eth_vol_both_low+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_vol_both_low+g_L_ETH_grandparent_adx_strong,51,0.7450980392156863,5.274330520085268,268.99085652434866,20,0.65,0.15138122259264594,3.027624451852919,35,0.8571428571428571,9.332074778220498,326.62261723771746,106,0.7641509433962265,5.647557530319991,598.6410982139191,100.0,4,18.200388210291734,0.008,1608.8387450499313,599.143033888189,599.143033888189
V6+g_J_btc_eth_vol_both_low,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_vol_both_low,73,0.6986301369863014,2.7951894215000954,204.04882776950697,25,0.6,-2.157015707566037,-53.925392689150925,41,0.8536585365853658,8.999983838791449,368.9993373904494,139,0.7266187050359713,3.7346962048259393,519.1227724708056,100.0,4,18.943609224244238,0.003,1817.5729406375983,519.5580353346592,519.5580353346592
V6+g_J_btc_eth_vol_both_low+g_L_BTC_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_vol_both_low+g_L_BTC_grandparent_adx_strong,62,0.6935483870967742,2.8329667903425784,175.64394100123985,20,0.65,0.15138122259264594,3.027624451852919,35,0.8571428571428571,9.332074778220498,326.62261723771746,117,0.7350427350427351,4.318753698212053,505.2941826908102,100.0,4,18.200388210291734,0.008,1608.8387450499313,505.7178508570124,505.7178508570124
V7_BASE_S5_SLOPE_STR,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_slope_with+g_BTC_slope_strong_with,52,0.6923076923076923,3.3179881228164327,172.5353823864545,10,0.8,6.413705256234806,64.13705256234806,18,0.8888888888888888,10.776395316634066,193.97511569941318,80,0.75,5.383094383102696,430.64755064821566,38.47058861426828,1,9.920032825675657,0.033,955.4594974224634,431.00863071664446,431.00863071664446
V7_S3_XADX_ETHVOLLOW_TOD_european_morning,g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low+g_K_tod_european_morning,20,0.65,1.816032060581459,36.32064121162918,11,0.6363636363636364,0.16337445005030302,1.7971189505533331,45,0.8444444444444444,8.664336692134894,389.89515114607025,76,0.7631578947368421,5.631748833003326,428.01291130825274,50.0,2,16.253170652288347,0.005,1920.4990486447568,428.3717823411217,428.3717823411217
V7_S5_SLOPE_STR+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_slope_with+g_BTC_slope_strong_with+g_L_ETH_grandparent_adx_strong,34,0.7058823529411765,4.382843730862255,149.01668684931667,7,0.8571428571428571,8.257072134972734,57.799504944809144,16,0.9375,12.965356519605091,207.44570431368146,57,0.7894736842105263,7.267752563294865,414.2618961078073,25.0,1,12.637023638679674,0.023,1021.8113167316886,414.6092374860849,414.6092374860849
V7_S1_ADX_VOLLOW_TOD_european_morning,g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_K_tod_european_morning,16,0.6875,1.011618819818164,16.185901117090623,6,0.8333333333333334,10.259707214617386,61.558243287704315,22,0.9545454545454546,13.994496007528813,307.8789121656339,44,0.8409090909090909,8.764160376600655,385.6230565704288,25.0,1,14.482469286342493,0.009,1516.5132374020345,385.94638547232216,385.94638547232216
V6+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_slope_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_slope_with,38,0.6578947368421053,1.143379132491368,43.44840703467199,7,0.7142857142857143,4.7993757493098865,33.595630245169204,22,0.9090909090909091,12.185584082339089,268.08284981145994,67,0.746268656716418,5.1511475685268815,345.12688709130106,50.0,2,61.20427716670623,0.0,1320.4905383088485,345.4162616385844,345.4162616385844
V7_S5_SLOPE_STR+g_L_SOL_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_slope_with+g_BTC_slope_strong_with+g_L_SOL_grandparent_adx_strong,43,0.6511627906976745,1.5947417869186424,68.57389683750162,7,0.8571428571428571,8.257072134972734,57.799504944809144,16,0.9375,12.965356519605091,207.44570431368146,66,0.7424242424242424,5.05786524387867,333.8191060959922,25.0,1,12.637023638679674,0.023,1021.8113167316886,334.09899953899577,334.09899953899577
V7_BASE_S3_XADX_ETHVOLLOW,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low,19,0.6842105263157895,3.2274021690331147,61.32064121162918,5,0.8,6.655153821671479,33.275769108357395,22,0.9090909090909091,10.671916365774187,234.7821600470321,46,0.8043478260869565,7.160403703630841,329.3785703670187,25.0,1,21.128450877636446,0.0,1156.461971080429,329.6547406054145,329.6547406054145
V7_S3_XADX_ETHVOLLOW+g_J_btc_eth_adx_both_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low+g_J_btc_eth_adx_both_strong,19,0.6842105263157895,3.2274021690331147,61.32064121162918,5,0.8,6.655153821671479,33.275769108357395,22,0.9090909090909091,10.671916365774187,234.7821600470321,46,0.8043478260869565,7.160403703630841,329.3785703670187,25.0,1,21.128450877636446,0.0,1156.461971080429,329.6547406054145,329.6547406054145
V6+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_trend_with,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_adx_either_strong+g_L_BTC_grandparent_trend_with,37,0.6486486486486487,0.6040272051967663,22.349006592280354,7,0.7142857142857143,4.7993757493098865,33.595630245169204,22,0.9090909090909091,12.185584082339089,268.08284981145994,66,0.7424242424242424,4.909507373468325,324.0274866489095,50.0,2,61.20427716670623,0.0,1320.4905383088485,324.2991702260618,324.2991702260618
V7_S1+g_J_btc_eth_adx_either_strong+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_tr_stack_with+g_BTC_adx_strong+g_BTC_vol_low+g_J_btc_eth_adx_either_strong+g_L_ETH_grandparent_adx_strong,15,0.7333333333333333,2.745726741139373,41.185901117090594,3,1.0,17.26747080749631,51.80241242248893,15,1.0,14.653818291472653,219.8072743720898,33,0.8787878787878788,9.478654179141495,312.7955879116693,0.0,0,28.276995530306053,0.0,1082.7004646658077,313.05785400866057,313.05785400866057
