sleeve,gates,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,dpt_25_full,max_dd_25,loss_streak,sharpe,bootstrap_p_lockbox,proj_32d,proj_full,proj_honest
V6+g_J_btc_eth_vol_both_low+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_vol_both_low+g_L_ETH_grandparent_adx_strong,51,20,35,106,0.7450980392156863,0.65,0.8571428571428571,0.7641509433962265,5.274330520085268,0.1513812225926459,9.332074778220498,5.647557530319991,100.0,4,18.20038821029173,0.008,1608.8387450499313,599.143033888189,599.143033888189
V6+g_J_btc_eth_vol_both_low,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_J_btc_eth_vol_both_low,73,25,41,139,0.6986301369863014,0.6,0.8536585365853658,0.7266187050359713,2.7951894215000954,-2.157015707566037,8.999983838791449,3.7346962048259393,100.0,4,18.94360922424424,0.003,1817.5729406375983,519.5580353346592,519.5580353346592
V7_BASE_S5_SLOPE_STR,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_slope_with+g_BTC_slope_strong_with,52,10,18,80,0.6923076923076923,0.8,0.8888888888888888,0.75,3.3179881228164327,6.413705256234806,10.776395316634066,5.383094383102696,38.47058861426828,1,9.920032825675657,0.033,955.4594974224634,431.00863071664446,431.00863071664446
V7_S3_XADX_ETHVOLLOW_TOD_european_morning,g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_adx_strong+g_ETH_adx_strong+g_ETH_vol_low+g_K_tod_european_morning,20,11,45,76,0.65,0.6363636363636364,0.8444444444444444,0.7631578947368421,1.816032060581459,0.163374450050303,8.664336692134894,5.631748833003326,50.0,2,16.253170652288347,0.005,1920.4990486447568,428.3717823411217,428.3717823411217
V7_S5_SLOPE_STR+g_L_ETH_grandparent_adx_strong,g_hod_european_morning+g_off_60_240+g_rf_with+g_tr_stack_with+g_BTC_slope_with+g_BTC_slope_strong_with+g_L_ETH_grandparent_adx_strong,34,7,16,57,0.7058823529411765,0.8571428571428571,0.9375,0.7894736842105263,4.382843730862255,8.257072134972734,12.965356519605091,7.267752563294865,25.0,1,12.637023638679674,0.023,1021.8113167316886,414.6092374860849,414.6092374860849
