sleeve,n_total,n_train,wr_train,dpt_train,sum_train,n_val,wr_val,dpt_val,sum_val,n_lockbox,wr_lockbox,dpt_lockbox,sum_lockbox,dd_lockbox,loss_streak_lockbox,sharpe_lockbox,composite
NOHOD_g_BTC_adx_strong,615,257,0.622568093385214,-1.3570054204145516,-348.7503930465398,150,0.6133333333333333,-0.6936219071491998,-104.04328607237997,208,0.7355769230769231,4.629654884596788,962.9682159961319,203.24420513904,4,14.170350863394773,66.76983229646414
NOHOD_g_ETH_vol_low,651,299,0.6588628762541806,0.4810491639042988,143.83370000738535,150,0.5933333333333334,-1.4861892537038706,-222.92838805558057,202,0.7277227722772277,4.610228576196943,931.2661723917824,134.21363883381647,4,22.523317577778577,65.52365923852348
V6+g_ETH_tr_stack_with+g_BTC_vol_low,79,38,0.5789473684210527,-2.091327541316111,-79.47044657001223,15,0.5333333333333333,-5.033290312998604,-75.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,38.47058861426828,1,17.719171046799875,60.98488455480498
V6+g_BTC_tr_stack_with+g_BTC_vol_low,75,34,0.5882352941176471,-2.130181279481436,-72.42616350236882,15,0.5333333333333333,-5.033290312998604,-75.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,38.47058861426828,1,17.719171046799875,60.98488455480498
V6+g_BTC_tr_stack_with+g_ETH_tr_stack_with+g_BTC_vol_low,69,29,0.5172413793103449,-4.506342182987092,-130.68392330662567,14,0.5714285714285714,-3.6070967639270757,-50.49935469497906,26,0.9230769230769231,11.960119860736686,310.96311637915386,38.47058861426828,1,17.719171046799875,60.98488455480498
V6+g_ETH_vol_low,147,77,0.6883116883116883,2.3502826082865265,180.97176083806252,27,0.6296296296296297,-0.5686255550652075,-15.352889986760601,43,0.8604651162790697,9.225084193073416,396.6786203021569,100.0,4,18.81135564986653,60.49292247758905
V6+g_ETH_vol_low_vwap_lt80,147,77,0.6883116883116883,2.3502826082865265,180.97176083806252,27,0.6296296296296297,-0.5686255550652075,-15.352889986760601,43,0.8604651162790697,9.225084193073416,396.6786203021569,100.0,4,18.81135564986653,60.49292247758905
V6+g_BTC_vol_low,154,81,0.7037037037037037,3.00326665138843,243.2645987624628,27,0.5925925925925926,-2.669920187837482,-72.08784507161201,46,0.8478260869565217,8.858897220180562,407.50927212830584,100.0,4,30.55325996205066,60.08396423385572
V6+g_BTC_vol_low_vwap_lt80,154,81,0.7037037037037037,3.00326665138843,243.2645987624628,27,0.5925925925925926,-2.669920187837482,-72.08784507161201,46,0.8478260869565217,8.858897220180562,407.50927212830584,100.0,4,30.55325996205066,60.08396423385572
V6+g_ETH_tr_stack_with+g_ETH_vol_low,72,36,0.5555555555555556,-2.756806528684088,-99.24503503262717,14,0.5,-5.881207308036998,-82.33690231251798,22,0.9545454545454546,12.750006466837904,280.5001422704339,25.0,1,27.26497489829754,59.80283126990715
