entry_time,exit_time,side,entry,exit,qty,stop,tp,reason,bars_held,realized,ret
2024-01-12 09:30:00+00:00,2024-01-12 11:00:00+00:00,1,2600.129961,2633.3710199999987,5.946890697933234,2582.9244900000003,2633.3710199999987,TP,18,183.6755683208514,0.01836755683208514
2024-01-17 14:40:00+00:00,2024-01-17 16:15:00+00:00,1,2562.8143645,2535.201542718,3.793068404164169,2535.5818799999997,2616.12624,STOP,19,-113.43902722883838,-0.011139300979080868
2024-01-20 00:25:00+00:00,2024-01-20 00:35:00+00:00,1,2487.3930530000002,2479.2958998225004,13.696995492600681,2479.6678500000003,2501.7242999999994,STOP,2,-141.5195928650948,-0.01405325409066791
2024-01-23 14:25:00+00:00,2024-01-23 16:25:00+00:00,1,2196.3294,2205.58,3.2987885762199753,2165.90193,2256.19614,TIME,24,23.981337804156112,0.002415351140455135
2024-01-24 11:20:00+00:00,2024-01-24 11:45:00+00:00,1,2249.8074205,2239.8115878585,10.67612306075081,2240.14761,2268.1147799999994,STOP,5,-128.28601563842707,-0.012889571446014849
2024-01-24 14:20:00+00:00,2024-01-24 14:40:00+00:00,1,2225.413762,2243.0765999999994,10.918075937002463,2216.0817,2243.0765999999994,TP,4,170.88991385372907,0.01739441598646381
2024-02-07 04:00:00+00:00,2024-02-07 04:20:00+00:00,1,2368.55523,2360.2829044500004,13.216054719353224,2360.637,2383.325999999999,STOP,4,-137.45096971983276,-0.013751557200188462
2024-02-12 18:55:00+00:00,2024-02-12 20:55:00+00:00,1,2622.2432775,2641.7,7.428008501518398,2608.57881,2648.39238,TIME,24,126.92942320413015,0.012875972708645343
2024-02-12 21:10:00+00:00,2024-02-12 23:10:00+00:00,1,2647.6070815000003,2654.57,5.112453738691616,2627.67969,2686.2706200000002,TIME,24,23.399387947945584,0.0023435054606531407
2024-02-15 04:55:00+00:00,2024-02-15 05:25:00+00:00,1,2796.7894555000003,2783.3958279900003,7.970453805710709,2783.8134,2821.4831999999997,STOP,6,-126.76776342256474,-0.012666415182111899
2024-02-20 09:50:00+00:00,2024-02-20 11:50:00+00:00,1,2898.9847825000006,2935.0,3.678233428076207,2871.6854399999997,2952.279120000001,TIME,24,122.81593589728718,0.012428986124423343
2024-02-21 12:10:00+00:00,2024-02-21 14:10:00+00:00,1,2905.5857725000005,2899.12,3.5691145908502575,2877.12,2961.2100000000005,TIME,24,-32.40003000157074,-0.003238633641678764
2024-02-25 12:40:00+00:00,2024-02-25 14:35:00+00:00,1,3038.2556700000005,3067.77168,6.654166979062828,3022.8141600000004,3067.77168,TP,23,178.120722591153,0.017862393894836515
2024-02-27 04:20:00+00:00,2024-02-27 06:20:00+00:00,1,3226.4939015000004,3230.42,4.238811627825812,3202.06473,3273.9005400000005,TIME,24,4.325653197291141,0.0004261748747558988
