entry_time,exit_time,side,entry,exit,qty,stop,tp,reason,bars_held,realized,ret
2024-01-30 13:50:00+00:00,2024-01-30 15:50:00+00:00,1,104.57568400000001,105.08,87.44927941793688,103.41647999999999,106.84704000000002,TIME,24,35.85166347768166,0.003585166347768166
2024-02-01 04:35:00+00:00,2024-02-01 06:35:00+00:00,1,94.074109,94.85,102.07646351574672,93.07683,96.02634,TIME,24,70.52209213988239,0.007027016192011417
2024-02-01 09:50:00+00:00,2024-02-01 11:50:00+00:00,1,95.91438500000001,95.42,127.09222529700024,95.1048,97.49040000000002,TIME,24,-73.77519054792586,-0.007299867621353146
2024-02-01 16:40:00+00:00,2024-02-01 18:40:00+00:00,1,96.0644075,96.77,68.4968632402281,94.58532000000001,98.97935999999997,TIME,24,42.38702455848821,0.004224929790978234
2024-02-20 09:50:00+00:00,2024-02-20 11:50:00+00:00,1,108.976344,110.21,99.9443047995979,107.95194000000001,110.97611999999997,TIME,24,113.4389992341619,0.011259470122810268
2024-02-21 04:05:00+00:00,2024-02-21 04:30:00+00:00,1,106.92603650000001,106.3675524735,193.51601338795376,106.38351,107.96297999999999,STOP,5,-126.6496786078467,-0.012430742113584145
2024-02-29 23:00:00+00:00,2024-03-01 00:50:00+00:00,1,124.8487245,129.735,41.02660513865216,122.3775,129.735,TP,22,195.76717786426556,0.019456525276146826
2024-03-02 00:00:00+00:00,2024-03-02 01:05:00+00:00,1,130.8096185,129.171301398,64.13689623164015,129.19068,133.98864,STOP,13,-112.5800401422625,-0.010975342745379884
2024-03-02 12:05:00+00:00,2024-03-02 14:00:00+00:00,1,129.4694175,128.27233626299997,87.5758537316033,128.29157999999998,131.76684,STOP,23,-114.99279067399446,-0.011334965092050923
2024-03-04 01:25:00+00:00,2024-03-04 02:05:00+00:00,1,130.8096185,129.3411059235,70.16466891900289,129.36051,133.64897999999997,STOP,8,-111.25172398520982,-0.011091930705990103
2024-03-07 14:50:00+00:00,2024-03-07 16:50:00+00:00,1,148.162221,147.29,24.050273348554054,144.01584,156.38831999999996,TIME,24,-24.174721474768404,-0.002437282984777503
2024-03-08 11:25:00+00:00,2024-03-08 12:05:00+00:00,1,146.9320365,149.78124,68.92173981863219,145.47438,149.78124,TP,8,187.16956445768523,0.01891644394460224
2024-03-10 15:25:00+00:00,2024-03-10 17:25:00+00:00,1,143.3114935,144.65,61.782769802061196,141.65820000000002,146.55359999999993,TIME,24,74.69066256891655,0.007408529402653612
2024-03-13 03:35:00+00:00,2024-03-13 05:25:00+00:00,1,149.62244,151.67741999999996,97.77900510122429,148.56129,151.67741999999996,TP,22,187.6765396563362,0.01847864238334068
2024-03-14 19:45:00+00:00,2024-03-14 21:10:00+00:00,1,162.5543795,169.50840000000002,29.64599214297083,159.0408,169.50840000000002,TP,17,201.72888835664494,0.019501869337455555
2024-03-17 16:30:00+00:00,2024-03-17 16:45:00+00:00,1,194.32914500000004,192.937894974,79.10384700172443,192.96684,196.96632000000005,STOP,3,-123.83866990336449,-0.011742928035557073
2024-03-22 01:10:00+00:00,2024-03-22 01:50:00+00:00,1,179.306892,176.79647655000002,42.41745949116288,176.823,184.194,STOP,8,-113.282695750925,-0.01086960507060435
2024-04-13 09:15:00+00:00,2024-04-13 11:15:00+00:00,1,150.74260800000002,153.32,73.13926682011409,149.31054,153.53892,TIME,24,178.50104889058636,0.017315594812197452
2024-04-15 19:05:00+00:00,2024-04-15 21:05:00+00:00,1,136.5304765,137.29,34.01000191375694,133.42644,142.67711999999995,TIME,24,21.640709970137497,0.002063537876918253
2024-04-16 13:55:00+00:00,2024-04-16 15:40:00+00:00,1,131.91978500000002,128.911600359,35.39446444358971,128.93094,137.83812000000003,STOP,21,-110.62747855331529,-0.010527098692554377
2024-04-17 14:35:00+00:00,2024-04-17 15:25:00+00:00,1,130.87962900000002,128.66188782150002,47.72422277084824,128.68119000000002,135.21762,STOP,10,-111.41386177600072,-0.010714724372798376
2024-04-19 02:50:00+00:00,2024-04-19 04:05:00+00:00,1,131.6497445,138.147,31.569088598309605,128.3715,138.147,TP,15,201.279677726559,0.019566815912152827
2024-04-19 16:40:00+00:00,2024-04-19 18:40:00+00:00,1,145.441813,144.66,53.68557284967779,143.46639000000002,149.32721999999993,TIME,24,-48.98050567336092,-0.004670117453585997
2024-05-07 12:45:00+00:00,2024-05-07 13:50:00+00:00,1,155.663346,152.80409594699998,37.11041917046101,152.82701999999998,161.26596,STOP,13,-111.25927821198512,-0.010657951360749634
2024-05-22 08:20:00+00:00,2024-05-22 10:20:00+00:00,1,179.92698500000003,180.45,65.42811158441727,178.3215,183.05700000000004,TIME,24,23.60943026615513,0.0022860016265438955
2024-06-19 22:15:00+00:00,2024-06-19 22:55:00+00:00,1,135.95038950000003,135.0145747755,115.63654773804376,135.03483,137.72034000000002,STOP,8,-122.31443792566398,-0.011816179702447584
2024-06-20 14:25:00+00:00,2024-06-20 16:00:00+00:00,1,134.5301765,132.3975873825,48.883526825839,132.41745,138.69509999999997,STOP,19,-110.12024406164389,-0.010765365755882255
2024-07-04 12:10:00+00:00,2024-07-04 13:15:00+00:00,1,133.21998,132.14787484500002,98.0238512242526,132.16770000000002,135.26459999999992,STOP,13,-116.79744681583315,-0.01154238777177435
2024-07-05 04:20:00+00:00,2024-07-05 06:20:00+00:00,1,124.57868400000001,125.7,27.17252027998754,120.879,131.922,TIME,24,27.40866557278696,0.0027402624074979462
2024-07-08 02:20:00+00:00,2024-07-08 04:20:00+00:00,1,130.6695975,130.93,44.80426251322823,128.41146,135.12708,TIME,24,6.392792301215638,0.0006373916978253585
2024-07-12 10:25:00+00:00,2024-07-12 12:20:00+00:00,1,134.68019900000002,136.40784,114.83895748967218,133.78608,136.40784,TP,23,184.3913308524063,0.01837297901924639
2024-07-21 19:05:00+00:00,2024-07-21 20:05:00+00:00,1,175.506322,178.36841999999993,70.76808430761476,174.03579000000002,178.36841999999993,TP,12,191.27582565136365,0.01871510629409833
2024-07-22 06:05:00+00:00,2024-07-22 07:10:00+00:00,1,179.79696550000003,177.955142724,58.22562482910451,177.98184,183.34632000000002,STOP,13,-116.61493497294899,-0.011200402786667913
2024-07-22 13:30:00+00:00,2024-07-22 13:45:00+00:00,1,180.447063,179.253647919,90.35032729949592,179.28054,182.69891999999996,STOP,3,-122.45002780513236,-0.011894058597173917
2024-07-25 20:35:00+00:00,2024-07-25 22:35:00+00:00,1,168.185224,172.16,35.0125226874704,165.25457999999998,173.97084000000004,TIME,24,133.80457968302008,0.013153418952165142
2024-07-27 23:25:00+00:00,2024-07-27 23:55:00+00:00,1,185.22778,183.9782091285,86.30463281677278,184.00581,187.58837999999997,STOP,6,-122.18263953981194,-0.011855011066981239
2024-07-29 22:10:00+00:00,2024-07-29 23:10:00+00:00,1,184.4776675,182.709669438,59.45537623944099,182.73708,187.87583999999998,STOP,12,-114.94105753741597,-0.011286180111284284
2024-07-31 00:30:00+00:00,2024-07-31 00:40:00+00:00,1,178.71680350000003,180.26615999999996,127.76988693113836,177.90192000000002,180.26615999999996,TP,2,177.32085912554544,0.017610067079801124
2024-08-01 00:00:00+00:00,2024-08-01 00:25:00+00:00,1,172.525875,171.41267424150004,96.51953267579144,171.43839000000003,174.62321999999995,STOP,5,-122.38417160364445,-0.011943869270812051
2024-08-05 13:30:00+00:00,2024-08-05 15:15:00+00:00,1,117.51762500000001,132.52020000000002,13.480813753200065,109.98989999999999,132.52020000000002,TP,21,200.73009838587947,0.019826710667967127
2024-08-07 20:55:00+00:00,2024-08-07 22:55:00+00:00,1,144.82172000000003,145.84,39.82855723639412,142.20765,149.98470000000003,TIME,24,35.3471366345225,0.003423466067467635
2024-08-12 15:40:00+00:00,2024-08-12 17:40:00+00:00,1,147.162071,146.36,51.409008082347576,145.12473,151.17053999999996,TIME,24,-48.02402985578965,-0.004635388468790733
2024-08-24 18:20:00+00:00,2024-08-24 20:20:00+00:00,1,161.39420550000003,160.93,76.94639671953492,160.02981,164.05038000000002,TIME,24,-46.87969934731194,-0.004546007599482287
2024-09-24 06:40:00+00:00,2024-09-24 08:25:00+00:00,1,146.35194950000002,147.74154000000001,145.44964283843285,145.62423,147.74154000000001,TP,21,182.86633506268134,0.017813854792991978
2024-09-28 07:00:00+00:00,2024-09-28 08:05:00+00:00,1,156.683499,155.97045092250002,156.84554196008358,155.99385,157.99229999999997,STOP,13,-133.9056823587817,-0.01281606777700416
2024-10-01 13:55:00+00:00,2024-10-01 14:35:00+00:00,1,153.74305800000002,152.22476286,70.05134539060064,152.2476,156.66479999999999,STOP,8,-116.00367313087477,-0.011246812410941512
2024-10-07 16:30:00+00:00,2024-10-07 18:15:00+00:00,1,148.8923305,147.5801096625,80.44453892471752,147.60225,151.40550000000002,STOP,21,-116.29331517883594,-0.01140314285602938
2024-10-14 18:05:00+00:00,2024-10-14 20:05:00+00:00,1,155.963391,155.77,115.19461514821565,155.06477999999998,157.69044000000002,TIME,24,-38.43710542041951,-0.003812424601242959
2024-10-15 15:25:00+00:00,2024-10-15 17:25:00+00:00,1,153.21297850000002,154.45,33.03498339500032,150.14970000000002,159.27059999999994,TIME,24,36.29134608805563,0.0036133709162746394
2024-10-16 14:00:00+00:00,2024-10-16 16:00:00+00:00,1,154.93323650000002,155.63,73.37839940357604,153.53631,157.65738000000002,TIME,24,40.872505449247775,0.004054845296791636
2024-10-23 15:45:00+00:00,2024-10-23 16:30:00+00:00,1,167.57513250000002,166.128756948,72.48187989228069,166.15367999999998,170.34264000000007,STOP,9,-115.72038739474827,-0.011433928485244063
2024-10-25 18:10:00+00:00,2024-10-25 20:10:00+00:00,1,169.34539800000002,168.44,24.978453183449677,165.31452,177.33096,TIME,24,-26.412252092887616,-0.002639886927659152
2024-10-27 18:10:00+00:00,2024-10-27 19:05:00+00:00,1,176.53647650000002,175.617833373,115.25094377158878,175.64418,178.24163999999996,STOP,11,-124.13823983077937,-0.012440375210123266
2024-10-29 13:35:00+00:00,2024-10-29 15:35:00+00:00,1,179.70695200000003,179.18,67.57075544295577,178.2216,182.59680000000003,TIME,24,-46.519162831544875,-0.004720591939111473
2024-11-04 12:05:00+00:00,2024-11-04 13:55:00+00:00,1,164.7147035,163.431861543,79.50584305514818,163.45638,167.15724,STOP,22,-113.73373748253009,-0.011596017503521055
2024-11-07 05:20:00+00:00,2024-11-07 06:10:00+00:00,1,188.80831700000002,187.464196152,75.28474522774847,187.49232,191.35536,STOP,10,-113.93920672697035,-0.011753257633250679
2024-11-08 17:30:00+00:00,2024-11-08 19:30:00+00:00,1,198.6597945,199.71,36.619104990653355,196.01379,203.86242,TIME,24,31.89301006780653,0.0033290106393409004
2024-11-11 01:30:00+00:00,2024-11-11 03:15:00+00:00,1,210.8216185,209.1891869145,61.246566440221066,209.22057,213.92885999999996,STOP,21,-111.5567284251847,-0.011605719579315712
2024-11-12 01:15:00+00:00,2024-11-12 02:30:00+00:00,1,220.55307800000003,218.048987745,38.964291302966544,218.0817,225.3966,STOP,15,-105.26052053983764,-0.01107928140337643
2024-11-17 21:20:00+00:00,2024-11-17 21:55:00+00:00,1,236.37545100000003,233.31141803700004,31.385173029825662,233.34642000000002,242.32715999999996,STOP,7,-102.79874635739753,-0.010941388084055412
2024-11-21 14:55:00+00:00,2024-11-21 16:55:00+00:00,1,251.66774450000003,254.76,9.967877760382205,242.30745000000002,270.27509999999995,TIME,24,28.551620394630273,0.003072510219816436
2024-11-27 08:35:00+00:00,2024-11-27 09:00:00+00:00,1,234.40515550000003,232.8219814635,61.603443958387714,232.85691,237.39618000000002,STOP,5,-110.4812333703998,-0.011852740075828894
2024-12-03 21:10:00+00:00,2024-12-03 21:35:00+00:00,1,231.10466050000002,237.50615999999997,28.621644796056533,227.85192,237.50615999999997,TP,5,177.18585924775905,0.01923701284857732
2024-12-06 15:30:00+00:00,2024-12-06 17:30:00+00:00,1,238.25573300000002,238.53,41.60916642042838,235.9638,242.7324,TIME,24,2.484625636553499,0.000264663682962416
2024-12-10 13:00:00+00:00,2024-12-10 15:00:00+00:00,1,213.38200250000003,216.53,28.539739150323996,210.05973,219.93053999999998,TIME,24,84.32171811184678,0.008979618994413774
2024-12-19 18:25:00+00:00,2024-12-19 19:35:00+00:00,1,195.99939550000002,190.38083859,17.038928301847804,190.4094,207.0912,STOP,14,-98.69676564700175,-0.010416911871633511
2024-12-19 19:55:00+00:00,2024-12-19 21:55:00+00:00,1,191.908782,194.65,18.50398599936543,186.813,202.014,TIME,24,47.50466426268168,0.005066640118610617
