market,offset,n,wr,vmean,vwon,dpt
BTC_5m,30,16107,0.5013348233687217,0.5080052213157521,0.5439727587007301,-0.63072500967181
BTC_5m,60,16341,0.5010709258919283,0.5076829273075464,0.575051239036955,-1.0400336515625266
BTC_5m,90,16326,0.5013475437951733,0.5083202878758836,0.6066976118701727,-1.1805036349690943
BTC_5m,120,16593,0.5009943952269029,0.5073993793894173,0.636116960646579,-1.366705997975855
BTC_5m,150,16547,0.4995467456336496,0.5061069025233882,0.6682968696841987,-1.6994137993290972
BTC_5m,180,16321,0.4967832853379082,0.5039659963458142,0.7034033150281497,-2.2175230051353645
BTC_5m,210,16064,0.48748754980079684,0.495190777451118,0.7350021377034528,-2.936394817599946
BTC_5m,240,15707,0.469344878079837,0.4776206013378741,0.765395814279488,-3.845460221692191
BTC_5m,270,14055,0.4144432586268232,0.42396940374163133,0.8038508565359341,-6.385989158885424
ETH_5m,30,14854,0.5015484044701763,0.5137581772787195,0.552702835476436,-0.9546638756960195
ETH_5m,60,15093,0.5022195719870138,0.5138536968012076,0.5858397654807115,-1.129455593829217
ETH_5m,90,15072,0.5013933121019108,0.5144705826624897,0.6225505693225284,-1.4680045519609284
ETH_5m,120,15379,0.5003576305351454,0.5131739729884084,0.6529310132940278,-1.8845311414629011
ETH_5m,150,15257,0.4967555875991348,0.5105597167670861,0.6872190002306086,-2.293509888963291
ETH_5m,180,14899,0.49338881804147927,0.5067025600219763,0.7241588153513799,-3.0280264721086163
ETH_5m,210,14941,0.48236396492871964,0.4968028157053421,0.7611862642041639,-3.992487888378861
ETH_5m,240,14647,0.4637809790400765,0.47992942876953715,0.7966645490997858,-5.292367466095954
ETH_5m,270,13355,0.40891052040434295,0.42639300935363555,0.840304419410747,-8.576120700497324
SOL_5m,30,11028,0.5,0.5252956804484329,0.5598665137777965,-1.571374704082084
SOL_5m,60,11583,0.4999568332901666,0.525390216814176,0.5937012919917195,-1.8879488732664549
SOL_5m,90,11184,0.5001788268955651,0.5259584393343437,0.6273342507714245,-2.192813637176287
SOL_5m,120,11500,0.4999130434782609,0.5260063764441903,0.6647630937114476,-2.627143636683109
SOL_5m,150,11273,0.4978266654838996,0.5248052945779575,0.6996961515865261,-3.4957455545219065
SOL_5m,180,11348,0.4938315121607332,0.5211284969666188,0.7419174814258398,-4.274455150036863
SOL_5m,210,11405,0.4808417360806664,0.5085593299265889,0.781199663520544,-5.719733275404091
SOL_5m,240,11425,0.46021881838074397,0.4887200837261374,0.8200449215902987,-6.939270087143685
SOL_5m,270,10754,0.40849916310210155,0.4369874094268621,0.8761280976633952,-10.508845735999637
BTC_15m,60,5558,0.5001799208348326,0.5078019188413014,0.536894378536218,-0.7721972415126982
BTC_15m,120,5635,0.5011535048802129,0.5077879337554327,0.5612171005422911,-0.8470589145302935
BTC_15m,240,5675,0.5007929515418502,0.5074526501887663,0.6030365400846952,-1.128415364097583
BTC_15m,360,5571,0.5017052593789266,0.5075615538942206,0.6460960091185363,-1.3622988583497921
BTC_15m,480,5596,0.49910650464617584,0.5057999766991687,0.6974629852977878,-1.7332627623729893
BTC_15m,600,5531,0.49358163080817213,0.49933876706577696,0.7480048365632567,-2.618604979531403
BTC_15m,720,5259,0.46605818596691384,0.47268220043482756,0.7934233389901671,-4.493409844981711
BTC_15m,840,4631,0.39365147916216797,0.4015761837487888,0.8448467918664803,-7.557377557291828
ETH_15m,60,5039,0.502282198848978,0.5126936558378066,0.5421888659488557,-0.8892852412128163
ETH_15m,120,5008,0.5049920127795527,0.5138848157267036,0.5671791861621058,-0.8665844593313257
ETH_15m,240,5149,0.5002913187026607,0.5131227657193795,0.6131938163311145,-1.365969484930546
ETH_15m,360,5134,0.5023373587845734,0.5124760970092156,0.6590368644400422,-1.6667822668077725
ETH_15m,480,5073,0.4955647545830869,0.5102212052371605,0.70736270690753,-2.640307419578969
ETH_15m,600,5083,0.49301593547117845,0.5048021503897755,0.7571203474043056,-3.8097929852039845
ETH_15m,720,4846,0.4647131654973174,0.47858788653750545,0.8039950598667596,-5.347107029387206
ETH_15m,840,4214,0.4072140484100617,0.41868763608165244,0.8640110601236174,-8.32556696162416
SOL_15m,60,4508,0.5,0.519180901886925,0.5445244032862547,-1.2238317115751287
SOL_15m,120,4391,0.5001138692780688,0.5196160251607528,0.5751523753695654,-1.5754622657175101
SOL_15m,240,4446,0.49977507872244714,0.5201648134221545,0.6206445160152706,-1.8124361371236475
SOL_15m,360,4418,0.5,0.5206078936553488,0.6718117077810557,-2.6848166989458213
SOL_15m,480,4420,0.4990950226244344,0.5200478088874187,0.7189447405414047,-3.3209240958984525
SOL_15m,600,4377,0.49303175691112633,0.5145203389692695,0.7701566772939704,-5.218493624590253
SOL_15m,720,4273,0.47952258366487244,0.5010777746970897,0.8216478594897615,-5.5956954146108115
SOL_15m,840,4053,0.4298050826548236,0.4494866319415429,0.895636963556627,-9.849848371919393
