sleeve_id,gate,dpt_lockbox,dpt_train,dpt_val,n_lockbox,n_train,n_val,wr_lockbox,wr_train,wr_val,base_dpt_lockbox,base_dpt_train,base_dpt_val,dpt_lift_train,dpt_lift_val,dpt_lift_lockbox
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_05,-2.6056378736663737,3.61996111822797,-6.696506040735444,18,69,18,0.7222222222222222,0.8985507246376812,0.6111111111111112,1.3374751022162008,0.7647359273502956,0.17148775307496464,2.8552251908776745,-6.867993793810409,-3.9431129758825745
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_15,-1.2065463825462774,0.2439000193518969,1.7109978210737362,38,176,98,0.7105263157894737,0.8238636363636364,0.8469387755102041,1.3374751022162008,0.7647359273502956,0.17148775307496464,-0.5208359079983987,1.5395100679987717,-2.544021484762478
01_btc_5m_s6_hybrid_v2_sms,g_as_stable,-1.544160040924465,0.7547365448451292,1.1226801333628944,34,144,70,0.7352941176470589,0.8333333333333334,0.8285714285714286,1.3374751022162008,0.7647359273502956,0.17148775307496464,-0.00999938250516641,0.9511923802879297,-2.8816351431406657
01_btc_5m_s6_hybrid_v2_sms,g_as_stable_AND_hy_with,-6.594960824710869,1.3365586555306799,1.172245016718816,16,129,48,0.625,0.8527131782945736,0.8125,1.3374751022162008,0.7647359273502956,0.17148775307496464,0.5718227281803843,1.0007572636438515,-7.93243592692707
01_btc_5m_s6_hybrid_v2_sms,g_as_unstable_skip,-2.125185970543726,0.2670531322965517,1.4515804427794683,44,204,115,0.6818181818181818,0.8088235294117647,0.8521739130434782,1.3374751022162008,0.7647359273502956,0.17148775307496464,-0.4976827950537439,1.2800926897045037,-3.4626610727599267
01_btc_5m_s6_hybrid_v2_sms,g_hy_cb_with_dir,0.05683812322258864,1.0025358704429588,0.7635715306726438,74,407,122,0.7972972972972973,0.8132678132678133,0.8114754098360656,1.3374751022162008,0.7647359273502956,0.17148775307496464,0.23779994309266317,0.5920837775976792,-1.280636978993612
01_btc_5m_s6_hybrid_v2_sms,none,1.3374751022162008,0.7647359273502956,0.17148775307496464,160,480,200,0.8,0.7770833333333333,0.78,1.3374751022162008,0.7647359273502956,0.17148775307496464,0.0,0.0,0.0
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_05,0.2458253613780512,1.7600134069272946,0.7629007641335162,208,430,148,0.7067307692307693,0.858139534883721,0.8243243243243243,2.0236173062135285,0.16311663461004242,0.7045337659633811,1.5968967723172522,0.05836699817013502,-1.7777919448354773
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_15,2.63571963985318,0.029772164009987816,1.1181971468169805,410,1160,650,0.7365853658536585,0.8017241379310345,0.823076923076923,2.0236173062135285,0.16311663461004242,0.7045337659633811,-0.1333444706000546,0.4136633808535993,0.6121023336396516
02_btc_5m_s6_hybrid_v1,g_as_stable,2.5557403568099044,0.5120537947698675,1.1684343100595656,352,888,460,0.7329545454545454,0.8198198198198198,0.8239130434782609,2.0236173062135285,0.16311663461004242,0.7045337659633811,0.348937160159825,0.4639005440961844,0.5321230505963759
