sleeve_id,gate,split,n,wr,dpt,sum,dpt_ci95_lo,dpt_ci95_hi
01_btc_5m_s6_hybrid_v2_sms,none,train,480,0.7770833333333333,0.7647359273502956,367.0732451281419,-0.615297529456454,2.098609473399294
01_btc_5m_s6_hybrid_v2_sms,none,val,200,0.78,0.17148775307496464,34.29755061499293,-1.9142985143499407,2.319909256141732
01_btc_5m_s6_hybrid_v2_sms,none,lockbox,160,0.8,1.3374751022162008,213.99601635459214,-1.2702450812409865,3.688073814835376
01_btc_5m_s6_hybrid_v2_sms,g_as_stable,train,144,0.8333333333333334,0.7547365448451292,108.6820624576986,-1.6805418873629354,2.432971991476833
01_btc_5m_s6_hybrid_v2_sms,g_as_stable,val,70,0.8285714285714286,1.1226801333628944,78.5876093354026,-1.8230813498143772,3.966926131895758
01_btc_5m_s6_hybrid_v2_sms,g_as_stable,lockbox,34,0.7352941176470589,-1.544160040924465,-52.501441391431804,-6.345102001799624,3.169022043036083
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_05,train,69,0.8985507246376812,3.61996111822797,249.77731715772993,1.1933220620933442,6.460062118958041
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_05,val,18,0.6111111111111112,-6.696506040735444,-120.53710873323799,-13.47783392712099,-0.32407757811129556
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_05,lockbox,18,0.7222222222222222,-2.6056378736663737,-46.90148172599473,-10.43912437301054,4.180266776543421
01_btc_5m_s6_hybrid_v2_sms,g_as_unstable_skip,train,204,0.8088235294117647,0.2670531322965517,54.47883898849655,-1.769321954188473,2.495452618681592
01_btc_5m_s6_hybrid_v2_sms,g_as_unstable_skip,val,115,0.8521739130434782,1.4515804427794683,166.93175091963886,-0.9937688307233051,3.522159929364418
01_btc_5m_s6_hybrid_v2_sms,g_as_unstable_skip,lockbox,44,0.6818181818181818,-2.125185970543726,-93.50818270392394,-7.6419580221619094,2.9844239111922772
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_15,train,176,0.8238636363636364,0.2439000193518969,42.926403405933854,-1.8786007445423432,1.8723300033540478
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_15,val,98,0.8469387755102041,1.7109978210737362,167.67778646522615,-1.1442733962775689,4.406625788154191
01_btc_5m_s6_hybrid_v2_sms,g_as_norm_lt_15,lockbox,38,0.7105263157894737,-1.2065463825462774,-45.84876253675854,-6.696846007859919,4.932602706770034
01_btc_5m_s6_hybrid_v2_sms,g_hy_cb_with_dir,train,407,0.8132678132678133,1.0025358704429588,408.0320992702842,-0.13317288981162875,2.108002370420967
01_btc_5m_s6_hybrid_v2_sms,g_hy_cb_with_dir,val,122,0.8114754098360656,0.7635715306726438,93.15572674206254,-2.096722123301849,3.687832755291839
01_btc_5m_s6_hybrid_v2_sms,g_hy_cb_with_dir,lockbox,74,0.7972972972972973,0.05683812322258864,4.2060211184715595,-3.7323110948324842,3.1391794636463652
01_btc_5m_s6_hybrid_v2_sms,g_as_stable_AND_hy_with,train,129,0.8527131782945736,1.3365586555306799,172.4160665634577,-0.632659940925799,3.2635643966305192
01_btc_5m_s6_hybrid_v2_sms,g_as_stable_AND_hy_with,val,48,0.8125,1.172245016718816,56.267760802503176,-2.194248140092594,5.216972081790577
01_btc_5m_s6_hybrid_v2_sms,g_as_stable_AND_hy_with,lockbox,16,0.625,-6.594960824710869,-105.5193731953739,-14.236207866918026,-0.16538808598321908
02_btc_5m_s6_hybrid_v1,none,train,6565,0.7046458492003046,0.16311663461004242,1070.8607062149285,-0.31686247143942436,0.6316221856171865
02_btc_5m_s6_hybrid_v1,none,val,1138,0.7917398945518453,0.7045337659633811,801.7594256663277,-0.30547731798520694,1.7571646122324092
02_btc_5m_s6_hybrid_v1,none,lockbox,2710,0.7214022140221402,2.0236173062135285,5484.002899838662,1.2188298034614324,2.7713123355913694
02_btc_5m_s6_hybrid_v1,g_as_stable,train,888,0.8198198198198198,0.5120537947698675,454.7037697556423,-0.4105073811646265,1.4007201777098641
02_btc_5m_s6_hybrid_v1,g_as_stable,val,460,0.8239130434782609,1.1684343100595656,537.4797826274001,0.08150975158554562,2.410025894191067
02_btc_5m_s6_hybrid_v1,g_as_stable,lockbox,352,0.7329545454545454,2.5557403568099044,899.6206055970864,0.31526437987013206,5.381089578860638
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_05,train,430,0.858139534883721,1.7600134069272946,756.8057649787366,0.697868994046803,2.876120967142306
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_05,val,148,0.8243243243243243,0.7629007641335162,112.9093130917604,-1.291354361261366,3.091914716264404
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_05,lockbox,208,0.7067307692307693,0.2458253613780512,51.13167516663465,-2.2450238066931343,3.0240772355220034
02_btc_5m_s6_hybrid_v1,g_as_unstable_skip,train,1325,0.7969811320754717,0.417552824107551,553.2574919425051,-0.3456954312473117,1.3044834279389175
02_btc_5m_s6_hybrid_v1,g_as_unstable_skip,val,750,0.8186666666666667,0.9004214315879908,675.3160736909931,-0.10446175038198215,1.8520401543564067
02_btc_5m_s6_hybrid_v1,g_as_unstable_skip,lockbox,451,0.7361419068736141,2.3949037000184568,1080.101568708324,0.48911317421208367,4.550066747473167
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_15,train,1160,0.8017241379310345,0.029772164009987816,34.53571025158587,-0.8362609834602515,0.8372992705661008
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_15,val,650,0.823076923076923,1.1181971468169805,726.8281454310373,0.008778464094280321,2.1416796358727996
02_btc_5m_s6_hybrid_v1,g_as_norm_lt_15,lockbox,410,0.7365853658536585,2.63571963985318,1080.645052339804,0.8216680743066394,5.090630915493534
02_btc_5m_s6_hybrid_v1,g_hy_cb_with_dir,train,5160,0.7426356589147287,0.19529616872686612,1007.7282306306291,-0.22095335671233465,0.5370849741386534
02_btc_5m_s6_hybrid_v1,g_hy_cb_with_dir,val,685,0.8175182481751825,1.0239827125267211,701.428158080804,0.028614601260944925,2.266916348031308
02_btc_5m_s6_hybrid_v1,g_hy_cb_with_dir,lockbox,1321,0.7024981074943225,1.360327785570377,1796.993004738468,0.23471750879850356,2.5471964432898457
02_btc_5m_s6_hybrid_v1,g_as_stable_AND_hy_with,train,776,0.8311855670103093,0.5141500530402872,398.9804411592628,-0.328484953477075,1.4710867539041554
02_btc_5m_s6_hybrid_v1,g_as_stable_AND_hy_with,val,285,0.8350877192982457,0.8579214754988584,244.50762051717464,-0.41093308706458365,2.2430331806942765
02_btc_5m_s6_hybrid_v1,g_as_stable_AND_hy_with,lockbox,187,0.6684491978609626,1.1938327840336826,223.24673061429866,-2.7873048672643392,5.049900279135023
03_eth_5m_s6_hybrid_v2_sms,none,train,1292,0.7267801857585139,-0.06207378791427856,-80.1993339852479,-0.9537831866751325,0.8682546982983828
03_eth_5m_s6_hybrid_v2_sms,none,val,221,0.7601809954751131,0.06752448207447771,14.922910538459575,-1.8564420649152673,2.0515643311878247
03_eth_5m_s6_hybrid_v2_sms,none,lockbox,615,0.7382113821138211,0.5207837730319218,320.2820204146319,-0.8372657824051781,1.9311259320090761
03_eth_5m_s6_hybrid_v2_sms,g_as_stable,train,191,0.6963350785340314,-3.0564530366205434,-583.7825299945238,-5.300021557562349,-0.6183418277751886
03_eth_5m_s6_hybrid_v2_sms,g_as_stable,val,93,0.7849462365591398,-0.020423710090046895,-1.8994050383743613,-2.4130218790995293,2.6630359716243355
03_eth_5m_s6_hybrid_v2_sms,g_as_stable,lockbox,61,0.7377049180327869,0.889255074543565,54.244559547157465,-3.92309730318962,5.572147060172935
03_eth_5m_s6_hybrid_v2_sms,g_as_norm_lt_05,train,94,0.7446808510638298,-1.6312189908880133,-153.33458514347325,-4.906801211905387,1.3504220540226108
03_eth_5m_s6_hybrid_v2_sms,g_as_norm_lt_05,val,37,0.7837837837837838,-1.112944027653735,-41.178929023188196,-5.67525995859739,2.6923794838107447
