sleeve_id,slug,fire_us,direction,live_vwap,live_shares,placed_usd,live_won,live_pnl,live_outcome,canon_outcome,bt_vwap,bt_shares,bt_pnl,outcome_match,fill_status,delta_vwap
poly_sniper_v5_sol_15m_rfaged_trstack_late,sol-updown-15m-1779901200,1779902100000000,DOWN,0.97,5.154639175257732,5.0,True,0.1515463917525774,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,sol-updown-5m-1779901800,1779902100000000,DOWN,0.79,6.329113924050633,5.0,True,1.30253164556962,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,sol-updown-5m-1779901800,1779902100000000,DOWN,0.97,5.154639175257732,5.0,True,0.1515463917525774,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,sol-updown-5m-1779901800,1779902100000000,DOWN,0.79,6.329113924050633,5.0,True,1.30253164556962,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,sol-updown-5m-1779902100,1779902400000000,DOWN,0.81,6.172839506172839,5.0,False,-5.0,Up,Up,0.009999999776482582,500.0000111758711,-5.0,True,ok,-0.8000000002235175
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,sol-updown-5m-1779902100,1779902400000000,DOWN,0.6831683168316832,7.318840579710145,5.0,False,-5.0,Up,Up,0.009999999776482582,500.0000111758711,-5.0,True,ok,-0.6731683170552006
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,sol-updown-5m-1779902100,1779902400000000,DOWN,0.6831683168316832,7.318840579710145,5.0,False,-5.0,Up,Up,0.009999999776482582,500.0000111758711,-5.0,True,ok,-0.6731683170552006
poly_sniper_v5_sol_5m_rf_tr_partial_mid,sol-updown-5m-1779902400,1779902700000000,UP,0.88,5.681818181818182,5.0,True,0.6681818181818181,Up,Up,,,,,no_fill,
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,sol-updown-5m-1779902700,1779903000000000,DOWN,0.7,7.142857142857143,5.0,False,-5.0,Up,Up,0.009999999776482582,500.0000111758711,-5.0,True,ok,-0.6900000002235174
poly_sniper_v5_sol_5m_cci_f7_mfi_partial_vwap_v6,sol-updown-5m-1779902700,1779903000000000,DOWN,0.7,7.142857142857143,5.0,False,-5.0,Up,Up,0.009999999776482582,500.0000111758711,-5.0,True,ok,-0.6900000002235174
poly_sniper_v5_sol_5m_rf_tr_partial_mid,sol-updown-5m-1779903000,1779903300000000,DOWN,0.8122672161027024,6.155609756097561,5.0,True,1.1324975609756092,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_rf_tr_partial_mid,sol-updown-5m-1779903000,1779903300000000,DOWN,0.97,5.154639175257732,5.0,True,0.1515463917525774,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_rf_tr_partial_mid,sol-updown-5m-1779903000,1779903300000000,DOWN,0.92,5.434782608695652,5.0,True,0.4260869565217395,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,sol-updown-5m-1779903000,1779903300000000,DOWN,0.8122672161027024,6.155609756097561,5.0,True,1.1324975609756092,Down,Down,,,,,no_fill,
poly_sniper_v5_sol_5m_rf_tr_partial_mid,sol-updown-5m-1779903300,1779903600000000,UP,0.49,10.20408163265306,5.0,True,5.1,Up,Up,,,,,no_fill,
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,sol-updown-5m-1779903900,1779904200000000,UP,0.63,7.936507936507937,5.0,True,2.8777777777777778,Up,Up,,,,,no_fill,
poly_sniper_v5_sol_5m_rf_tr_partial_mid,sol-updown-5m-1779903900,1779904200000000,UP,0.76,6.578947368421052,5.0,True,1.5473684210526313,Up,Up,,,,,no_fill,
poly_sniper_v5_sol_5m_f7_mfi_ema200_vwap_v6,sol-updown-5m-1779903900,1779904200000000,UP,0.76,6.578947368421052,5.0,True,1.5473684210526313,Up,Up,,,,,no_fill,
poly_sniper_v5_sol_5m_j_2asset_trending_cci_rf_ema200_v8,sol-updown-5m-1779904200,1779904500000000,DOWN,0.78,6.41025641025641,5.0,True,1.3820512820512816,Down,Down,,,,,no_fill,
