sleeve_id,asset,tf,n_fires,HOLD_wr,HOLD_mean,HOLD_total,HEDGE_LATE_wr,HEDGE_LATE_mean,HEDGE_LATE_total,HEDGE_REVERSAL_wr,HEDGE_REVERSAL_mean,HEDGE_REVERSAL_total,SELL_TP_0_85_wr,SELL_TP_0_85_mean,SELL_TP_0_85_total,SELL_SL_0_30_wr,SELL_SL_0_30_mean,SELL_SL_0_30_total,elapsed_s
SOL_5M_V7_S2_BTC_F7_OVERBOUGHT_EMA800_VWAP,SOL,5m,200,0.72,1.6671943179509998,333.43886359019996,0.665,1.221581846203935,244.31636924078697,0.335,-2.2011049841275714,-440.2209968255143,0.775,0.31935291832735674,63.870583665471344,0.47,-3.824193546346887,-764.8387092693774,3.215895414352417
BTC_5M_V7_T4_HURST_TS_HAWKES,BTC,5m,197,0.9543147208121827,3.89135530962135,766.5969959954059,0.9086294416243654,3.109776862963497,612.626042003809,0.7360406091370558,1.2161353571036566,239.57866534942036,0.30456852791878175,1.638427793671857,322.7702753533558,0.8324873096446701,0.7991679786900253,157.436091801935,30.996576070785522
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC,15m,199,0.7788944723618091,2.3147278626890224,460.63084467511544,0.7688442211055276,2.709353563891501,539.1613592144088,0.5276381909547738,-0.4513382861761213,-89.81631894904814,0.40703517587939697,1.1587303361860795,230.5873369010298,0.6432160804020101,-0.2294046677774925,-45.65152888772101,26.08883309364319
SOL_5M_V7_S3_BTC_F7_AGAINST_CCI_HURST_REV,SOL,5m,199,0.7185929648241206,-0.6424808301039975,-127.8536851906955,0.6683417085427136,-0.5132221072134562,-102.13119933547779,0.4221105527638191,-2.9128224462312593,-579.6516668000206,0.5025125628140703,1.5633132961474119,311.099345933335,0.5778894472361809,-2.691967833168968,-535.7015988006247,4.180829286575317
SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,SOL,15m,199,0.7638190954773869,1.4416668956028174,286.89171222496066,0.7135678391959799,0.7527310840446613,149.7934857248876,0.49748743718592964,-0.2730722133559534,-54.34137045783473,0.5326633165829145,0.9390525055569395,186.87144860583098,0.6231155778894473,-1.7291244804586954,-344.0957716112804,3.0720627307891846
ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING,ETH,5m,200,0.77,2.5541620403555036,510.83240807110076,0.715,1.9116159837153963,382.3231967430793,0.44,-0.22104501216058842,-44.209002432117686,0.735,2.339349634088979,467.86992681779583,0.605,-0.2741842945532696,-54.836858910653916,6.803943157196045
SOL_5M_V7_S5_CCI_F7_OVERSOLD_MFI_STOCH_LIGHT,SOL,5m,195,0.7948717948717948,-0.15176076320722226,-29.59334882540834,0.7230769230769231,-0.3870747244387325,-75.47957126555283,0.5128205128205128,-1.938776353302522,-378.06138889399176,0.40512820512820513,-0.736793020454052,-143.67463898854015,0.6564102564102564,-2.715450214128699,-529.5127917550963,1.8925819396972656
BTC_5M_V7_T3_OFI_TS,BTC,5m,194,0.9226804123711341,0.7347566114149785,142.54278261450582,0.8608247422680413,-0.058548471577079375,-11.3584034859534,0.7216494845360825,-0.859349200634056,-166.71374492300686,0.23195876288659795,-0.23772333300784082,-46.11832660352112,0.8608247422680413,-0.36396138302971526,-70.60850830776477,30.602158069610596
SOL_5M_V7_S4_CCI_F7_OVERSOLD_MFI_STOCH,SOL,5m,198,0.803030303030303,0.5870540149412792,116.23669495837328,0.7525252525252525,0.5821853051706211,115.27269042378296,0.5505050505050505,-1.335871905683881,-264.50263732540844,0.4494949494949495,-0.029675161762995853,-5.875682029073179,0.6363636363636364,-2.8230191949783205,-558.9578006057075,3.5089774131774902
SOL_5M_V7_S1_BTC_TREND_CCI_HURST_REV,SOL,5m,198,0.7828282828282829,2.293370300975153,454.08731959308034,0.7171717171717171,1.8534312827676818,366.979393988001,0.4797979797979798,-1.041880831825217,-206.29240470139297,0.5151515151515151,0.22255716189502206,44.06631805521437,0.6111111111111112,-2.472606330075848,-489.5760533550179,2.140275239944458
