sleeve_id,slug,direction,placed_fire_us,live_vwap,live_shares,live_outcome,live_won,live_pnl,canon_outcome,bt_vwap,bt_shares,bt_pnl,fill_status,book_dt_us
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779917400,DOWN,1779917430000000,0.62,8.064516129032258,Down,True,3.0032258064516126,Down,0.6200000047683716,8.064516067008695,3.0032257456685207,OK,927000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779919200,DOWN,1779919260000000,0.5512896239417209,9.069642857142856,Up,False,-5.0,Up,0.5512896343629631,9.069642685695873,-5.000000000000001,OK,3648000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779919200,DOWN,1779919230000000,0.52,9.615384615384617,Up,False,-5.0,Up,0.5259188449248495,9.507170256875789,-5.0,OK,223000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779920400,UP,1779920490000000,0.67,7.462686567164178,Down,False,-5.0,Down,0.6700000166893005,7.462686381273111,-5.0,OK,310000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779922800,DOWN,1779922890000000,0.59,8.474576271186441,Up,False,-5.0,Up,0.5899999737739562,8.474576647889183,-5.0,OK,246000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779922800,DOWN,1779922830000000,0.6,8.333333333333334,Up,False,-5.0,Up,0.6000000238418579,8.333333002196431,-5.0,OK,475000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779924600,DOWN,1779924660000000,0.4599999999999999,10.869565217391305,Up,False,-5.0,Up,0.4600000083446502,10.869565020211482,-5.0,OK,2819000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779926100,UP,1779926190000000,0.76,6.578947368421052,Up,True,1.5473684210526313,Up,0.7599999904632568,6.578947450975964,1.5473685019564443,OK,290000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779926400,UP,1779926490000000,0.7303592577970786,6.845945945945946,Up,True,1.809027027027027,Up,,,,NO_BOOK,
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779928500,UP,1779928590000000,0.4799999999999999,10.416666666666668,Down,False,-5.0,Down,0.47999998927116394,10.416666899497315,-5.0,OK,388000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779929100,UP,1779929160000000,0.5059523809523809,9.882352941176473,Up,True,4.784705882352942,Up,0.5059523753208007,9.88235305117351,4.78470599015004,OK,4641000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779929700,DOWN,1779929790000000,0.76,6.578947368421052,Up,False,-5.0,Up,0.7599999904632568,6.578947450975964,-5.0,OK,148000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779930900,DOWN,1779930990000000,0.76,6.578947368421052,Down,True,1.5473684210526313,Down,0.7599999904632568,6.578947450975964,1.5473685019564443,OK,1420000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779932100,UP,1779932190000000,0.59,8.474576271186441,Down,False,-5.0,Down,0.5899999737739562,8.474576647889183,-5.0,OK,338000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779933900,UP,1779933990000000,0.69,7.246376811594203,Up,True,2.2014492753623194,Up,0.6899999976158142,7.246376836632911,2.201449299900253,OK,518000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779934500,UP,1779934530000000,0.52,9.615384615384617,Down,False,-5.0,Down,0.5199999809265137,9.615384968074833,-5.0,OK,406000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779935400,DOWN,1779935490000000,0.76,6.578947368421052,Up,False,-5.0,Up,0.7599999904632568,6.578947450975964,-5.0,OK,517000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779935700,UP,1779935790000000,0.51,9.803921568627452,Up,True,4.707843137254903,Up,0.5099999904632568,9.803921751955851,4.707843316916734,OK,202000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779937800,DOWN,1779937890000000,0.7,7.142857142857143,Down,True,2.1000000000000005,Down,0.699999988079071,7.142857264499277,2.1000001192092914,OK,215000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779938100,DOWN,1779938160000000,0.56,8.928571428571427,Down,True,3.849999999999999,Down,0.5600000023841858,8.928571390558263,3.8499999627470975,OK,3113000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779940800,DOWN,1779940830000000,0.5,10.0,Down,True,4.9,Down,0.5,10.0,4.9,OK,2168000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779941400,DOWN,1779941490000000,0.78,6.41025641025641,Down,True,1.3820512820512816,Down,0.7799999713897705,6.410256645383223,1.3820515124755584,OK,917000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779952500,UP,1779952590000000,0.71,7.042253521126761,Up,True,2.0014084507042256,Up,0.7099999785423279,7.04225373395827,2.0014086592791043,OK,1908000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779952500,UP,1779952560000000,0.51,9.803921568627452,Up,True,4.707843137254903,Up,0.5099999904632568,9.803921751955851,4.707843316916734,OK,26000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779953400,UP,1779953460000000,0.61,8.19672131147541,Up,True,3.1327868852459013,Up,0.6100000143051147,8.19672111925404,3.132786696868959,OK,3128000.0
poly_sniper_v5_eth_15m_trstack_vwap_offearly,eth-updown-15m-1779957000,DOWN,1779957060000000,0.65,7.692307692307692,Up,False,-5.0,Up,0.6499999761581421,7.692307974459867,-5.0,OK,7940000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779958500,DOWN,1779958590000000,0.65,7.692307692307692,Down,True,2.638461538461538,Down,0.6499999761581421,7.692307974459867,2.6384618149706696,OK,1478000.0
poly_sniper_v5_eth_5m_ema200_vwap_regimerang_xa3_v7,eth-updown-5m-1779959400,DOWN,1779959490000000,0.8,6.25,Up,False,-5.0,Up,0.800000011920929,6.249999906867744,-5.0,OK,27000.0
