ts_us,slug,trigger_reason,pair_cost_final,size,up_filled,dn_filled,_source_file
1778771118988996,btc-updown-5m-1778770900,pat_pair_cost=0.9848,0.984760841486504,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778771308262260,btc-updown-5m-1778771200,pat_pair_cost=0.9767,0.976689014393165,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778772049443499,btc-updown-5m-1778771800,pat_pair_cost=0.9649,0.9648641076382236,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778772155350089,btc-updown-5m-1778772100,pat_pair_cost=0.9869,0.986884672445161,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778773194405217,btc-updown-5m-1778773000,pat_pair_cost=0.9884,0.988397668172308,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778773413050642,btc-updown-5m-1778773300,pat_pair_cost=0.9748,0.9747654683683102,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778775088449879,btc-updown-5m-1778774800,pat_pair_cost=0.9356,0.9355732513853074,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778776287986939,btc-updown-5m-1778776000,pat_pair_cost=0.9820,0.981978363476146,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778777144897569,btc-updown-5m-1778776900,pat_pair_cost=0.9330,0.9329906171158472,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778778129924620,btc-updown-5m-1778778100,pat_pair_cost=0.9925,0.9924972351962592,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778778714821138,btc-updown-5m-1778778700,pat_pair_cost=0.9455,0.9454721700312668,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778779046424836,btc-updown-5m-1778779000,pat_pair_cost=0.9611,0.961110255843916,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778779376508489,btc-updown-5m-1778779300,pat_pair_cost=0.9944,0.9943573262483992,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778779698469693,btc-updown-5m-1778779600,pat_pair_cost=0.9935,0.9935408018618872,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778780385894269,btc-updown-5m-1778780200,pat_pair_cost=0.9522,0.9521780817725608,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778781593445014,btc-updown-5m-1778781400,pat_pair_cost=0.9844,0.984442706641451,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778782185685039,btc-updown-5m-1778782000,pat_pair_cost=0.9899,0.9899407004935136,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778782332304909,btc-updown-5m-1778782300,pat_pair_cost=0.9445,0.9444848601895152,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778782731661816,btc-updown-5m-1778782600,pat_pair_cost=0.9863,0.9863433572680907,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778782999761079,btc-updown-5m-1778782900,pat_pair_cost=0.9790,0.9790154550425147,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778783092250280,btc-updown-5m-1778782900,pat_pair_cost=0.9750,0.975003321216614,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778783722655746,btc-updown-5m-1778783500,pat_pair_cost=0.9416,0.9416115074036152,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778783965418765,btc-updown-5m-1778783800,pat_pair_cost=0.9688,0.9688467778097616,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778783949447794,btc-updown-5m-1778783800,pat_pair_cost=0.9714,0.9713622820572816,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778784877506926,btc-updown-5m-1778784700,pat_pair_cost=0.9419,0.9418555316788646,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778785513902895,btc-updown-5m-1778785300,pat_pair_cost=0.9584,0.958393208474454,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778785634854327,btc-updown-5m-1778785600,pat_pair_cost=0.9877,0.9876650887157316,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778786880561557,btc-updown-5m-1778786800,pat_pair_cost=0.9725,0.972510773948186,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778787180132025,btc-updown-5m-1778787100,pat_pair_cost=0.9484,0.948420539759144,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778788279902506,btc-updown-5m-1778788000,pat_pair_cost=0.9707,0.9706991332261952,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778788576808381,btc-updown-5m-1778788300,pat_pair_cost=0.9725,0.972476287422899,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778789611164283,btc-updown-5m-1778789500,pat_pair_cost=0.9749,0.9749381896875624,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778789955574047,btc-updown-5m-1778789800,pat_pair_cost=0.9959,0.9958808568933826,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778790256482498,btc-updown-5m-1778790100,pat_pair_cost=0.9392,0.9392037730033824,20.0,20.0,0.0,acc-m_2026-05-21.csv
1778790535244874,btc-updown-5m-1778790400,pat_pair_cost=0.9679,0.9678665755295354,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778791448035108,btc-updown-5m-1778791300,pat_pair_cost=0.9572,0.9571898954470042,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778791324218428,btc-updown-5m-1778791300,pat_pair_cost=0.9541,0.9541240966951668,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778792671418643,btc-updown-5m-1778792500,pat_pair_cost=0.9786,0.9785949010667176,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778793032080831,btc-updown-5m-1778792800,pat_pair_cost=0.9495,0.949498940854098,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778793003962445,btc-updown-5m-1778792800,pat_pair_cost=0.9640,0.9639889949404218,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778793300648513,btc-updown-5m-1778793100,pat_pair_cost=0.9917,0.9916772496467317,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778793726275199,btc-updown-5m-1778793700,pat_pair_cost=0.9987,0.9986900000883308,20.0,20.0,20.0,acc-m_2026-05-21.csv
1778793731163177,btc-updown-5m-1778793700,pat_pair_cost=0.9392,0.9392438640115172,20.0,20.0,20.0,acc-m_2026-05-21.csv
