hour_utc,n_fires,n_unique_slugs,pair_cost_mean
15,6,6,0.979393628750612
16,3,3,0.9501807439924335
17,7,7,0.9747997967993915
18,9,7,0.9664959770177524
19,6,6,0.9683608385911016
20,6,5,0.964867231209339
21,6,4,0.9702823251013029
