slug,ts_us,outcome_truth,pnl,_source_file,pnl_drift_vs_backtest
btc-updown-5m-1778770000,1778770300000000,Up,-1.1716,acc-m_2026-05-21.csv,-8.9616
btc-updown-5m-1778770300,1778770600000000,Up,0.6125,acc-m_2026-05-21.csv,-7.1775
btc-updown-5m-1778770600,1778770900000000,Up,1.0492,acc-m_2026-05-21.csv,-6.7408
btc-updown-5m-1778770900,1778771200000000,Down,15.4871,acc-m_2026-05-21.csv,7.6971
btc-updown-5m-1778771200,1778771500000000,Down,20.6997,acc-m_2026-05-21.csv,12.9097
btc-updown-5m-1778771500,1778771800000000,Up,-1.4098,acc-m_2026-05-21.csv,-9.1998
btc-updown-5m-1778771800,1778772100000000,Up,22.9219,acc-m_2026-05-21.csv,15.131900000000002
btc-updown-5m-1778772100,1778772400000000,Down,0.8581,acc-m_2026-05-21.csv,-6.9319
btc-updown-5m-1778772400,1778772700000000,Down,-0.5215,acc-m_2026-05-21.csv,-8.3115
btc-updown-5m-1778772700,1778773000000000,Up,0.684,acc-m_2026-05-21.csv,-7.106
btc-updown-5m-1778773000,1778773300000000,Down,5.2549,acc-m_2026-05-21.csv,-2.5351
btc-updown-5m-1778773300,1778773600000000,Up,7.8793,acc-m_2026-05-21.csv,0.08929999999999971
btc-updown-5m-1778773600,1778773900000000,Up,-0.4417,acc-m_2026-05-21.csv,-8.2317
btc-updown-5m-1778773900,1778774200000000,Down,0.0649,acc-m_2026-05-21.csv,-7.7251
btc-updown-5m-1778774200,1778774500000000,Down,-0.6276,acc-m_2026-05-21.csv,-8.4176
btc-updown-5m-1778774500,1778774800000000,Down,-0.7556,acc-m_2026-05-21.csv,-8.5456
btc-updown-5m-1778774800,1778775100000000,Down,18.1722,acc-m_2026-05-21.csv,10.382200000000001
btc-updown-5m-1778775100,1778775400000000,Down,0.029,acc-m_2026-05-21.csv,-7.761
btc-updown-5m-1778775400,1778775700000000,Up,-0.0541,acc-m_2026-05-21.csv,-7.8441
btc-updown-5m-1778775700,1778776000000000,Down,-0.2233,acc-m_2026-05-21.csv,-8.0133
btc-updown-5m-1778776000,1778776300000000,Down,7.6485,acc-m_2026-05-21.csv,-0.14149999999999974
btc-updown-5m-1778776300,1778776600000000,Up,-0.6612,acc-m_2026-05-21.csv,-8.4512
btc-updown-5m-1778776600,1778776900000000,Down,-0.7685,acc-m_2026-05-21.csv,-8.5585
btc-updown-5m-1778776900,1778777200000000,Up,17.9175,acc-m_2026-05-21.csv,10.127500000000001
