slug,ts_us,outcome_truth,pnl,_source_file,pnl_drift_vs_backtest
btc-updown-5m-1778777200,1778777500000000,Down,-0.1999,acc-m_2026-05-21.csv,-7.9899000000000004
btc-updown-5m-1778777500,1778777800000000,Down,-1.0367,acc-m_2026-05-21.csv,-8.8267
btc-updown-5m-1778777800,1778778100000000,Up,-0.3219,acc-m_2026-05-21.csv,-8.1119
btc-updown-5m-1778778100,1778778400000000,Up,9.8953,acc-m_2026-05-21.csv,2.1053000000000006
btc-updown-5m-1778778400,1778778700000000,Down,0.9512,acc-m_2026-05-21.csv,-6.8388
btc-updown-5m-1778778700,1778779000000000,Down,-4.3794,acc-m_2026-05-21.csv,-12.1694
btc-updown-5m-1778779000,1778779300000000,Down,10.8507,acc-m_2026-05-21.csv,3.0606999999999998
btc-updown-5m-1778779300,1778779600000000,Up,8.4315,acc-m_2026-05-21.csv,0.6414999999999997
btc-updown-5m-1778779600,1778779900000000,Down,18.602,acc-m_2026-05-21.csv,10.812000000000001
btc-updown-5m-1778779900,1778780200000000,Up,0.4522,acc-m_2026-05-21.csv,-7.3378
btc-updown-5m-1778780200,1778780500000000,Down,34.095,acc-m_2026-05-21.csv,26.305
btc-updown-5m-1778780500,1778780800000000,Down,1.3967,acc-m_2026-05-21.csv,-6.3933
btc-updown-5m-1778780800,1778781100000000,Down,-1.552,acc-m_2026-05-21.csv,-9.342
btc-updown-5m-1778781100,1778781400000000,Up,0.2478,acc-m_2026-05-21.csv,-7.5422
btc-updown-5m-1778781400,1778781700000000,Down,29.7419,acc-m_2026-05-21.csv,21.951900000000002
btc-updown-5m-1778781700,1778782000000000,Down,1.2662,acc-m_2026-05-21.csv,-6.5238
btc-updown-5m-1778782000,1778782300000000,Down,0.3068,acc-m_2026-05-21.csv,-7.4832
btc-updown-5m-1778782300,1778782600000000,Up,15.1748,acc-m_2026-05-21.csv,7.384799999999999
btc-updown-5m-1778782600,1778782900000000,Up,31.4642,acc-m_2026-05-21.csv,23.674200000000003
btc-updown-5m-1778782900,1778783200000000,Down,8.3287,acc-m_2026-05-21.csv,0.5386999999999995
btc-updown-5m-1778783200,1778783500000000,Up,-1.313,acc-m_2026-05-21.csv,-9.103
btc-updown-5m-1778783500,1778783800000000,Down,-1.1894,acc-m_2026-05-21.csv,-8.9794
btc-updown-5m-1778783800,1778784100000000,Down,18.8828,acc-m_2026-05-21.csv,11.0928
btc-updown-5m-1778784100,1778784400000000,Up,-1.1565,acc-m_2026-05-21.csv,-8.9465
btc-updown-5m-1778784400,1778784700000000,Down,0.2718,acc-m_2026-05-21.csv,-7.5182
btc-updown-5m-1778784700,1778785000000000,Down,10.528,acc-m_2026-05-21.csv,2.7380000000000004
btc-updown-5m-1778785000,1778785300000000,Down,-0.1859,acc-m_2026-05-21.csv,-7.9759
btc-updown-5m-1778785300,1778785600000000,Up,6.3689,acc-m_2026-05-21.csv,-1.4211
btc-updown-5m-1778785600,1778785900000000,Down,21.174,acc-m_2026-05-21.csv,13.384
btc-updown-5m-1778785900,1778786200000000,Down,-0.4837,acc-m_2026-05-21.csv,-8.2737
btc-updown-5m-1778786200,1778786500000000,Up,0.838,acc-m_2026-05-21.csv,-6.952
btc-updown-5m-1778786500,1778786800000000,Up,-0.5919,acc-m_2026-05-21.csv,-8.3819
btc-updown-5m-1778786800,1778787100000000,Down,-11.1951,acc-m_2026-05-21.csv,-18.9851
btc-updown-5m-1778787100,1778787400000000,Down,16.6087,acc-m_2026-05-21.csv,8.8187
btc-updown-5m-1778787400,1778787700000000,Up,2.6881,acc-m_2026-05-21.csv,-5.1019000000000005
btc-updown-5m-1778787700,1778788000000000,Down,-0.4204,acc-m_2026-05-21.csv,-8.2104
btc-updown-5m-1778788000,1778788300000000,Up,10.5981,acc-m_2026-05-21.csv,2.8081000000000005
btc-updown-5m-1778788300,1778788600000000,Down,-1.6595,acc-m_2026-05-21.csv,-9.4495
btc-updown-5m-1778788600,1778788900000000,Down,-0.3624,acc-m_2026-05-21.csv,-8.1524
btc-updown-5m-1778788900,1778789200000000,Up,-0.9146,acc-m_2026-05-21.csv,-8.7046
btc-updown-5m-1778789200,1778789500000000,Up,-0.7559,acc-m_2026-05-21.csv,-8.5459
btc-updown-5m-1778789500,1778789800000000,Up,15.0163,acc-m_2026-05-21.csv,7.226299999999999
btc-updown-5m-1778789800,1778790100000000,Down,17.0151,acc-m_2026-05-21.csv,9.225100000000001
btc-updown-5m-1778790100,1778790400000000,Down,36.2777,acc-m_2026-05-21.csv,28.487700000000004
btc-updown-5m-1778790400,1778790700000000,Down,1.7261,acc-m_2026-05-21.csv,-6.0639
btc-updown-5m-1778790700,1778791000000000,Down,-2.4925,acc-m_2026-05-21.csv,-10.2825
btc-updown-5m-1778791000,1778791300000000,Down,0.8446,acc-m_2026-05-21.csv,-6.9454
btc-updown-5m-1778791300,1778791600000000,Up,22.9397,acc-m_2026-05-21.csv,15.1497
btc-updown-5m-1778791600,1778791900000000,Up,-0.8264,acc-m_2026-05-21.csv,-8.6164
btc-updown-5m-1778791900,1778792200000000,Up,0.2948,acc-m_2026-05-21.csv,-7.4952
btc-updown-5m-1778792200,1778792500000000,Down,-0.5315,acc-m_2026-05-21.csv,-8.3215
btc-updown-5m-1778792500,1778792800000000,Up,13.7757,acc-m_2026-05-21.csv,5.9857000000000005
btc-updown-5m-1778792800,1778793100000000,Down,8.4677,acc-m_2026-05-21.csv,0.6777000000000006
btc-updown-5m-1778793100,1778793400000000,Up,17.0633,acc-m_2026-05-21.csv,9.273300000000003
btc-updown-5m-1778793400,1778793700000000,Up,1.3717,acc-m_2026-05-21.csv,-6.4183
btc-updown-5m-1778793700,1778794000000000,Down,5.0913,acc-m_2026-05-21.csv,-2.6986999999999997
