sleeve,sym,variant,sh_2024,ret_2024,sh_2025,ret_2025,sh_2026,ret_2026
CCI_ETH,ETH,V41,1.825,0.4145,1.091,0.1912,0.42,0.021
STF_SOL,SOL,baseline,0.423,0.0778,2.123,0.6071,-0.717,-0.0574
STF_AVAX,AVAX,V45,2.426,0.5766,2.365,0.9377,0.422,0.0222
LATBB_AVAX,AVAX,baseline,2.372,0.489,1.165,0.222,0.148,0.0032
MFI_SOL,SOL,V41,1.242,0.4679,0.344,0.0601,-0.236,-0.0583
VP_LINK,LINK,baseline,1.561,0.6124,1.614,0.6934,-0.272,-0.0461
SVD_AVAX,AVAX,baseline,0.453,0.0885,-0.321,-0.1101,2.072,0.2026
MFI_ETH,ETH,baseline,0.401,0.076,0.236,0.0232,0.042,-0.0141
