config,sharpe,cagr,mdd,calmar,sh_2024,sh_2025,sh_2026
ALWAYS_ON,-0.118,-0.2587,-0.714,-0.362,0.345,-0.26,-1.142
V24_original_b5/5,0.689,0.2053,-0.3488,0.589,0.398,1.175,0.0
relaxed_b4/5,0.332,0.0551,-0.3488,0.158,0.095,0.681,0.0
relaxed_b3/5,-0.203,-0.1637,-0.5551,-0.295,-0.244,-0.24,0.839
relaxed_drop_rising_b3/5,-0.153,-0.1519,-0.5551,-0.274,-0.253,-0.114,0.839
relaxed_BTC50_only,-0.099,-0.1539,-0.5319,-0.289,-0.25,0.288,-1.39
relaxed_BTC100_only,-0.011,-0.1195,-0.539,-0.222,-0.445,0.41,0.839
VOL_TARGET_lev0.5,-0.139,-0.0945,-0.4435,-0.213,0.332,-0.279,-1.18
