cell_id,sleeve_id,signal,hour_bucket,dow_group,asset,n_sel,n_fold_a,keep_fold_a,inv_fold_a,n_fold_b,keep_fold_b,inv_fold_b,n_fold_c,keep_fold_c,inv_fold_c,keep_sel,inv_sel,n_held,keep_held,inv_held,active_folds,action_full,selection_pnl,action
poly_updown_btc_5m_momo_v2_HOLD|DOWN|00-05|weekday,poly_updown_btc_5m_momo_v2_HOLD,DOWN,00-05,weekday,BTC,34,2,50.57974334,-50.5,14,-8.996823279999994,-18.867924528301877,18,-300.49991608,247.41689512444225,-258.91699602,178.04897059614035,14,-51.25798431999999,24.419049683923156,2,SKIP,0.0,SKIP
poly_updown_btc_5m_momo_v2_HOLD|DOWN|12-17|weekday,poly_updown_btc_5m_momo_v2_HOLD,DOWN,12-17,weekday,BTC,46,12,-49.45834239999999,27.64078374455731,20,109.79438270000001,-132.42916710069798,14,-254.78639248000005,212.71943699574229,-194.45035218000004,107.93105363960166,29,59.991454319999946,-129.51542865491535,3,INVERT,107.93105363960161,INVERT
poly_updown_btc_5m_momo_v2_HOLD|UP|00-05|weekday,poly_updown_btc_5m_momo_v2_HOLD,UP,00-05,weekday,BTC,35,5,-28.91305032000001,22.500533768975785,10,133.90999316,-156.27358490566039,20,168.82867744,-209.921568627451,273.82562028,-343.6946197641356,12,-111.31639272,93.15686274509804,2,KEEP,302.7386706,KEEP
poly_updown_btc_5m_momo_v2_HOLD|UP|12-17|weekday,poly_updown_btc_5m_momo_v2_HOLD,UP,12-17,weekday,BTC,84,11,61.92316396000001,-86.13283179404334,12,-57.11949455999999,41.99046840958606,61,449.81316448000007,-546.0222932101401,454.61683388000006,-590.1646565945975,19,-89.95006887999999,64.98774509803921,3,KEEP,454.61683388000006,KEEP
poly_updown_eth_5m_momo_v2_HOLD|DOWN|12-17|weekday,poly_updown_eth_5m_momo_v2_HOLD,DOWN,12-17,weekday,ETH,31,7,-27.24184916,15.583277568804444,15,-74.74507705999999,46.99221714937927,9,-177.71822516000003,159.46507278966823,-279.70515138,222.0405675078519,24,-168.70450564000004,102.93655849383327,1,INVERT (single-fold),46.99221714937927,INVERT
poly_updown_eth_5m_momo_v2_HOLD|UP|12-17|weekday,poly_updown_eth_5m_momo_v2_HOLD,UP,12-17,weekday,ETH,60,11,71.65206982000001,-88.57949705147921,12,-105.38215756,99.10570828483961,37,254.87263343999996,-322.0285706669438,221.14254570000003,-311.50235943358336,12,-4.999862180000001,-7.969865510024292,3,KEEP,221.14254569999997,KEEP
poly_updown_sol_5m_momo_v2_HOLD|DOWN|12-17|weekday,poly_updown_sol_5m_momo_v2_HOLD,DOWN,12-17,weekday,SOL,31,10,-11.226632280000008,-5.073738253454586,17,16.969816079999994,-49.936157824861276,4,47.974732,-51.98514851485149,53.7179158,-106.99504459316734,21,-80.43665712,46.27220939559261,2,SKIP,0.0,SKIP
poly_updown_sol_5m_momo_v2_HOLD|UP|12-17|weekday,poly_updown_sol_5m_momo_v2_HOLD,UP,12-17,weekday,SOL,55,7,-25.168548,14.068456015238091,16,-64.82069886000001,30.23011430919427,32,373.65056296,-426.83832475594176,283.66131609999996,-382.5397544315093,3,19.696843639999997,-25.755050505050505,2,SKIP,0.0,SKIP
