variant,symbol,n_trades,n_stopped,win_rate,expectancy_pct,profit_factor,sharpe,max_dd_pct,final_eq_x,buy_hold_x,outperform,median_hold_h
V1_baseline,BTCUSDT,708,0,0.5127118644067796,0.15106701022457675,1.19109123844401,0.9066068470356038,-44.20364329030798,2.324742227253656,2.6749851601649715,0.8690673361007673,24.0
V2_ma_filter,BTCUSDT,406,0,0.5295566502463054,0.16722115050813333,1.2101462403236534,0.7773340565352932,-29.202669300175195,1.739379249840769,2.6749851601649715,0.65023884085155,24.0
V5_composite_ma_sl,BTCUSDT,406,2,0.5320197044334976,0.17779538738372533,1.2205245154205717,0.815538430394418,-29.627781498007096,1.8025201117771912,2.6749851601649715,0.6738430323351874,24.0
V5_composite_ma_sl_volsz,BTCUSDT,406,3,0.5369458128078818,0.20709197683946756,1.2352724254853908,0.872835761226356,-27.049132556027576,1.9836007241228135,2.6749851601649715,0.7415370947330717,24.0
V6_zlsr_zfund,BTCUSDT,87,0,0.5287356321839081,0.23302126442522436,1.2511216343354212,0.44691500375241944,-14.569407133221679,1.1833900426477,2.6749851601649715,0.44239125520035333,24.0
V7_zlsr_zfund_sl,BTCUSDT,87,1,0.5287356321839081,0.23901629744815844,1.2592573290098015,0.4764092815927723,-14.569407133221679,1.1901569892822395,2.6749851601649715,0.44492096891066124,24.0
V7_zlsr_zfund_sl_volsz,BTCUSDT,87,1,0.5402298850574713,0.29312692338216984,1.300422032037493,0.5515311819442142,-14.586414636281575,1.240883259785854,2.6749851601649715,0.4638841658879806,24.0
V8_zlsr_oisilent,BTCUSDT,301,0,0.46511627906976744,-0.06451649235629558,0.9258488635805826,-0.2659178938771016,-47.756058942478475,0.7498058650312295,2.6749851601649715,0.28030281296401194,24.0
V1_baseline,ETHUSDT,891,0,0.49382716049382713,0.010637576812483604,1.009382282864739,0.06565559490822342,-66.46330834901151,0.6764210436913154,1.237723311546841,0.5465042448347848,24.0
V2_ma_filter,ETHUSDT,387,0,0.4883720930232558,0.007668202009935203,1.0063464790793724,0.03242722480031724,-51.82590171531798,0.8296686554234063,1.237723311546841,0.6703183560359144,24.0
V5_composite_ma_sl,ETHUSDT,388,10,0.49226804123711343,-0.011546948881034707,0.9909117227154838,-0.03968870953384649,-54.75103852794479,0.7485380841830301,1.237723311546841,0.6047701268933418,24.0
V5_composite_ma_sl_volsz,ETHUSDT,387,3,0.4780361757105943,0.0051494526721745084,1.0050865333430583,0.027389805323929785,-50.02626044442935,0.8729839379048865,1.237723311546841,0.705314289357512,24.0
V6_zlsr_zfund,ETHUSDT,214,0,0.5186915887850467,-0.09636419111836513,0.9261276277305214,-0.2165646591339048,-54.68071603595098,0.6939911042768173,1.237723311546841,0.5606997119651113,24.0
V7_zlsr_zfund_sl,ETHUSDT,215,9,0.5209302325581395,-0.1083906639475963,0.9188359347630634,-0.2571269871302829,-53.87337736968587,0.6750270044768186,1.237723311546841,0.5453779517436782,24.0
V7_zlsr_zfund_sl_volsz,ETHUSDT,214,6,0.514018691588785,-0.07795125761465636,0.928390607499321,-0.2091550100798166,-45.5366232606381,0.7529608461412025,1.237723311546841,0.6083434311342104,24.0
V8_zlsr_oisilent,ETHUSDT,490,0,0.5346938775510204,0.0467541397371737,1.040792273808156,0.1830648699799628,-66.86809417145052,0.9392153450153805,1.237723311546841,0.7588249621327718,24.0
V1_baseline,SOLUSDT,887,0,0.4971815107102593,0.25362064013349256,1.1693319240612279,0.9830513716285608,-54.91051969314928,4.052365042186068,3.7769265434880577,1.0729266231488945,24.0
V2_ma_filter,SOLUSDT,412,0,0.5121359223300971,0.23362465957834908,1.141119860002087,0.598370559371128,-43.82315371234732,1.7071266186934588,3.7769265434880577,0.4519883029329179,24.0
V5_composite_ma_sl,SOLUSDT,416,25,0.5096153846153846,0.1264139786465475,1.0733667896723327,0.3202483823583499,-51.241145986255475,1.0907176766167597,3.7769265434880577,0.288784455842094,24.0
V5_composite_ma_sl_volsz,SOLUSDT,413,1,0.5012106537530266,0.07850891112663083,1.0775340996298675,0.33829268269806717,-33.27042282548731,1.1878633915327683,3.7769265434880577,0.31450529361785146,24.0
V6_zlsr_zfund,SOLUSDT,205,0,0.44878048780487806,0.047232418112764366,1.028490747168867,0.08546684903563267,-49.839983263484584,0.9054592382097615,3.7769265434880577,0.23973440515302002,24.0
V7_zlsr_zfund_sl,SOLUSDT,206,11,0.45145631067961167,-0.015445842730970797,0.9911800973184393,-0.043086297662389215,-48.56420549829142,0.780927250852296,3.7769265434880577,0.20676262613545457,24.0
V7_zlsr_zfund_sl_volsz,SOLUSDT,205,1,0.44390243902439025,-0.00819380382978089,0.9924469670346197,-0.028487182624671176,-33.4363831859044,0.9033631511225014,3.7769265434880577,0.23917943352115864,24.0
V8_zlsr_oisilent,SOLUSDT,479,0,0.5073068893528184,0.43141120964814134,1.2879357511703513,1.188912310729063,-54.55264236159092,4.736549173081794,3.7769265434880577,1.2540750047808735,24.0
