combo,symbol,n_trades,buy_hold_x,final_eq_x,win_rate,expectancy,profit_factor,sharpe,max_dd,outperform,median_hold_h,calmar,cagr
F0_none__E0_24h_fixed,SOLUSDT,887,3.778629395852119,3.689981098190173,0.49492671927846676,0.002436673225770093,1.1623788412516458,0.942476127202068,-0.5429559800395035,0.9765395627951083,24.0,1.0075484925024478,0.5470544791839909
F0_none__E1_48h_fixed,SOLUSDT,491,3.778629395852119,1.486430332036138,0.4908350305498982,0.002783836847051502,1.128447598185814,0.5597928220285477,-0.7997660360422141,0.3933781740193478,48.0,0.17711296510761781,0.14164893403580248
F0_none__E2_trail_5pct,SOLUSDT,468,3.778629395852119,1.0759201638452887,0.41239316239316237,0.002123347934654401,1.088098889240991,0.4207009344853037,-0.6994617720343823,0.28473820825782725,40.0,0.03539551151231431,0.024757807204466742
F0_none__E3_tp_or_24h,SOLUSDT,971,3.778629395852119,2.3661300478009832,0.5118434603501545,0.0017699374773303407,1.1145920993663456,0.7537826114752483,-0.7714110328391519,0.6261873816993891,24.0,0.4323832898758028,0.3335452402254835
F0_none__E4_zcross,SOLUSDT,2811,3.778629395852119,0.36083765779122695,0.42440412664532196,-0.0002542468477869298,0.9484089000489768,-0.5497676644403662,-0.7071841582652567,0.09549432346747898,2.0,-0.40824800022577246,-0.2887065184031372
F0_none__E5_vol_scaled,SOLUSDT,1266,3.778629395852119,2.1616739885730096,0.5015797788309637,0.001249530664471551,1.1033534646320515,0.7107031604711107,-0.6882511725382637,0.5720788577323631,14.0,0.426980164556213,0.2938695989063944
F1_ma200__E0_24h_fixed,SOLUSDT,412,3.778629395852119,1.569115697776097,0.5072815533980582,0.002142297678955171,1.1288556283245703,0.5453462019791231,-0.4907381132227639,0.4152605438094956,24.0,0.3311177408370876,0.1624920953929765
F1_ma200__E1_48h_fixed,SOLUSDT,235,3.778629395852119,0.8483427118052571,0.502127659574468,0.00149701910912079,1.0620653905430821,0.18660803646389795,-0.6187016059351398,0.2245106949986947,48.0,-0.08644623092478122,-0.053484421900202084
F1_ma200__E2_trail_5pct,SOLUSDT,241,3.778629395852119,0.6267811317026285,0.36099585062240663,-2.9954351760557376e-07,0.9999879902896366,-0.006833752698274258,-0.6747665402188817,0.16587525952946308,34.0,-0.21422425123996444,-0.14455135684017129
F1_ma200__E3_tp_or_24h,SOLUSDT,463,3.778629395852119,1.7896746416120193,0.5248380129589633,0.0021966303857753155,1.1330989464502474,0.6276688549260674,-0.5583048534493381,0.47363063537709804,24.0,0.3846110572140642,0.2147302199328931
F1_ma200__E4_zcross,SOLUSDT,1283,3.778629395852119,0.47756279327617224,0.4146531566640686,-0.00046378115699679433,0.9141964523594945,-0.6521559840563697,-0.6383822871138253,0.1263851897728851,2.0,-0.3428363552102719,-0.21886065654490117
F1_ma200__E5_vol_scaled,SOLUSDT,609,3.778629395852119,1.9657990638425193,0.5221674876847291,0.0016736263214232167,1.1386880611978645,0.6980440719579792,-0.4657755220049698,0.5202412986043083,13.0,0.5441272737640721,0.2534411649746018
F2_ma50_up__E0_24h_fixed,SOLUSDT,479,3.778629395852119,0.6324382409730854,0.4572025052192067,8.711273342643586e-05,1.005114252773757,0.013619070490635647,-0.8120530108980168,0.1673723921343877,24.0,-0.17483912177646996,-0.14197863526134746
F2_ma50_up__E1_48h_fixed,SOLUSDT,273,3.778629395852119,1.2159850242585255,0.4981684981684982,0.002827975194646106,1.129568121592147,0.40532088069208627,-0.7500843018892152,0.3218058446253919,48.0,0.09004247842486043,0.06753944956968616
