combo,symbol,n_trades,win_rate,expectancy,profit_factor,sharpe,max_dd,buy_hold_x,final_eq_x,outperform,median_hold_h,calmar
X_btc_extreme__S_volscale__E_tp_5__R_none,ETHUSDT,115,0.5217391304347826,0.003065783855711938,1.3224007145442962,0.7156279753414941,-0.21509918859494387,1.200688988338978,1.359673684922991,1.132411222329898,24.0,0.5292681370721448
X_btc_extreme__S_volscale__E_tp_5__R_3loss_pause,ETHUSDT,28,0.5714285714285714,0.011262011946127038,3.0369712930438046,1.1849411011656081,-0.06329372768533703,1.200688988338978,1.3535330851541092,1.1272969922265834,24.0,1.7707488390780823
X_btc_extreme__S_volscale__E_tp_5__R_dd_pause,ETHUSDT,34,0.5294117647058824,0.006990024044881185,1.979806479286048,0.8362682166404936,-0.12178298055237913,1.200688988338978,1.2499838426778518,1.041055472997273,24.0,0.6687960000920192
X_btc_extreme__S_volscale__E_tp_7__R_none,ETHUSDT,114,0.5175438596491229,0.0037119455832366546,1.391334363776578,0.8218242535275917,-0.2120682762939316,1.200688988338978,1.4524154037613752,1.2096516399060453,24.0,0.6598672514167775
X_btc_extreme__S_volscale__E_tp_7__R_3loss_pause,ETHUSDT,28,0.5714285714285714,0.0128236552582196,3.3194272708853427,1.2824511887490746,-0.0632937276853372,1.200688988338978,1.4103660927550568,1.1746306549426626,24.0,2.026189066097605
X_btc_extreme__S_volscale__E_tp_7__R_dd_pause,ETHUSDT,34,0.5294117647058824,0.008276083243075057,2.1600761217143227,0.9453947805908605,-0.12178298055237884,1.200688988338978,1.3024689588609437,1.0847679719814598,24.0,0.7978983129800669
X_btc_extreme__S_volscale__E_trail_3__R_none,ETHUSDT,68,0.4852941176470588,0.00836321717624051,1.5979118046366427,0.8444864089194467,-0.2244497782543491,1.200688988338978,1.6361362187598898,1.362664465694239,54.0,0.8402485498331518
X_btc_extreme__S_volscale__E_trail_3__R_3loss_pause,ETHUSDT,18,0.6111111111111112,0.022103432696223124,3.6044883180266307,0.9630810933763466,-0.11855695365199148,1.200688988338978,1.4472783359720744,1.2053732065738572,66.5,1.168387192214016
X_btc_extreme__S_volscale__E_trail_3__R_dd_pause,ETHUSDT,16,0.6875,0.026139326310845024,4.159006906701544,1.0254172305304234,-0.10027884782271113,1.200688988338978,1.4772899251483966,1.2303685129919162,73.0,1.4634208390315695
X_btc_extreme__S_volscale__E_trail_5__R_none,ETHUSDT,53,0.5094339622641509,0.008181522408745768,1.4492410659777957,0.633945963248728,-0.280510487288889,1.200688988338978,1.4232650666167161,1.1853736316726349,96.0,0.4700551921613836
X_btc_extreme__S_volscale__E_trail_5__R_3loss_pause,ETHUSDT,13,0.6153846153846154,0.030306845263577725,4.502585501583067,0.9769103130024986,-0.12430830911537995,1.200688988338978,1.4439336323902958,1.2025875529914039,96.0,1.1068963178575482
X_btc_extreme__S_volscale__E_trail_5__R_dd_pause,ETHUSDT,13,0.6153846153846154,0.030306845263577725,4.502585501583067,0.9769103130024986,-0.12430830911537995,1.200688988338978,1.4439336323902958,1.2025875529914039,96.0,1.1068963178575482
X_btc_extreme__S_volscale__E_trail_7__R_none,ETHUSDT,48,0.5416666666666666,0.010588120058843152,1.6057811442461056,0.7210245721948374,-0.2981221022298115,1.200688988338978,1.5311707919627753,1.2752434700687834,96.0,0.5409095203491764
X_btc_extreme__S_volscale__E_trail_7__R_3loss_pause,ETHUSDT,24,0.625,0.01646387726067094,2.602932265018514,0.853445833123086,-0.1616672822552006,1.200688988338978,1.434566896011428,1.194786418417974,96.0,0.8350564998091047
X_btc_extreme__S_volscale__E_trail_7__R_dd_pause,ETHUSDT,20,0.7,0.021083749264358947,3.2404748054698387,0.9672941966817744,-0.10538463871066564,1.200688988338978,1.4751369936075671,1.2285754328839626,96.0,1.3869518062536785
X_btc_extreme__S_volscale__E_tp5_trail3__R_none,ETHUSDT,77,0.4935064935064935,0.0053059909643144035,1.4143971652597231,0.7119161419866399,-0.21200035977114878,1.200688988338978,1.4295017750006407,1.190567906330348,34.0,0.630156559525759
X_btc_extreme__S_volscale__E_tp5_trail3__R_3loss_pause,ETHUSDT,23,0.5652173913043478,0.011888817859521186,2.4600888964715004,0.8359421879336314,-0.11855695365199173,1.200688988338978,1.2946310650246486,1.078240141783618,37.0,0.8000286707879302
X_btc_extreme__S_volscale__E_tp5_trail3__R_dd_pause,ETHUSDT,21,0.6190476190476191,0.013990963962404356,2.760283408222385,0.9157571494410777,-0.10027884782271128,1.200688988338978,1.3214772733127924,1.1005991444469827,34.0,1.0247725919275008
X_btc_extreme__S_volscale__E_tp7_trail5__R_none,ETHUSDT,56,0.5,0.006294935868022126,1.3514042177505712,0.5832161805838117,-0.2818194276349993,1.200688988338978,1.332051624718517,1.1094060474072183,72.5,0.3756007815584001
