bucket_idx,n_extra_gates_passing,n_trva,empirical_p_win,vwap_est,conviction,kelly_stake,linear_stake,hybrid_stake,dpt_25_trva_const
5,5,10,0.9,0.4374,0.0,5.13,5.0,5.13,25.866
6,6,8,0.25,0.6673,0.143,5.0,7.86,7.86,-15.696
7,7,57,0.8246,0.7063,0.286,5.0,10.71,10.71,4.013
8,8,128,0.6484,0.6722,0.429,5.0,13.57,13.57,-1.043
9,9,136,0.8897,0.7285,0.571,5.0,16.43,16.43,5.368
10,10,131,0.6641,0.6459,0.714,5.0,19.29,19.29,0.524
11,11,87,0.8506,0.634,0.857,5.0,22.14,22.14,8.297
12,12,58,0.9655,0.7114,1.0,5.49,25.0,25.0,8.735
