sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_train,wr_val,wr_lockbox,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_28d_proj,bootstrap_p_lockbox,objective,pass,fail_reason
pw_off_e3060|r2|g_f7_rsi_strong_with+g_tr_above_ema800+g_rf_with,ws_s+offset_e3060,g_f7_rsi_strong_with+g_tr_above_ema800+g_rf_with,1036,562,218,256,0.7241992882562278,0.7201834862385321,0.6875,0.5839509781034122,0.8604147456018416,0.2672708190229858,584.1721939052038,68.42132966988436,1406.050518634935,652.399915314324,27,14,1.680950159983628,1.6068924126273683,1169.6774193548388,0.25,4.276333104367772,False,dpt_lockbox_low
off_early3060|r3|g_queue_top_high+g_hawkes_imbalance_with+g_rf_with,offset_early3060,g_queue_top_high+g_hawkes_imbalance_with+g_rf_with,1213,681,132,400,0.8443465491923642,0.7954545454545454,0.67,4.392431766235178,5.0922917465405515,0.21323294577458043,3748.7217216593413,85.29317830983217,920.8191261496281,623.3086906290832,20,10,12.054343335469952,35.00134725195234,1369.516129032258,0.0,4.264658915491609,False,dpt_lockbox_low
off_early304560|r3|g_queue_top_high+g_hawkes_imbalance_with+g_rf_with,offset_early304560,g_queue_top_high+g_hawkes_imbalance_with+g_rf_with,1213,681,132,400,0.8443465491923642,0.7954545454545454,0.67,4.392431766235178,5.0922917465405515,0.21323294577458043,3748.7217216593413,85.29317830983217,920.8191261496281,623.3086906290832,20,10,12.054343335469952,35.00134725195234,1369.516129032258,0.0,4.264658915491609,False,dpt_lockbox_low
off_L180|r3|g_mp_skew_with+g_ribbon_agrees+g_markov_with,offset_L180,g_mp_skew_with+g_ribbon_agrees+g_markov_with,252,149,56,47,0.9194630872483222,0.8035714285714286,0.723404255319149,2.0045213771332286,-0.8825143846951197,0.613494479435727,278.08712018340356,28.834240533479168,176.36647197316356,142.25602371626178,2,2,6.101966445266383,22.113459463245178,284.51612903225805,0.0,4.205906250264185,False,dpt_lockbox_low
off_L180|r3|g_ribbon_agrees+g_vol_high+g_hurst_trending,offset_L180,g_ribbon_agrees+g_vol_high+g_hurst_trending,224,150,44,30,0.9066666666666666,0.9090909090909091,0.7666666666666667,0.677598926740065,-0.03999946089026695,0.7676728102208775,122.9100470384643,23.030184306626325,153.20712469744234,65.7603990957894,2,2,3.0096937572584688,4.093479109523839,252.9032258064516,0.245,4.204717149413571,False,dpt_lockbox_low
pw_off_e30|r2|g_pw_mp_no_extreme+g_tr_above_ema200+g_rf_with,ws_s+offset_e30,g_pw_mp_no_extreme+g_tr_above_ema200+g_rf_with,934,518,172,244,0.7355212355212355,0.7616279069767442,0.6024590163934426,4.767425500199862,2.9903675132151744,0.26590398246621233,3048.7501930982953,64.88057172175581,848.933947897088,580.0039038314101,22,7,6.821040874313899,1.034592047394587,1054.516129032258,0.25,4.153552985758047,False,wr_lockbox_low
off_L150|r3|g_mp_change_with+g_tr_above_ema200+g_markov_with,offset_L150,g_mp_change_with+g_tr_above_ema200+g_markov_with,45,23,9,13,0.9565217391304348,0.8888888888888888,0.8461538461538461,1.9526319954958125,4.125655044972776,1.1465976026188338,96.94720013520352,14.905768834044839,25.0,25.0,1,1,11.513015933459052,33.74394271084256,50.806451612903224,0.0,4.134116448566289,False,dpt_lockbox_low
pw_off_e60|r2|g_pw_mp_no_extreme+g_ribbon_agrees+g_markov_with,ws_s+offset_e60,g_pw_mp_no_extreme+g_ribbon_agrees+g_markov_with,692,380,85,227,0.7578947368421053,0.5882352941176471,0.6696035242290749,2.3809978637691755,-4.304690600785676,0.27424368589999026,601.1338038648023,62.253316699297784,1054.6017843173577,600.1684250905079,27,14,2.384678839377256,2.757204960141178,781.2903225806451,0.245,4.131897751773977,False,dpt_lockbox_low
off_L210|r2|g_mp_skew_with+g_hl_liq_cascade_with,offset_L210,g_mp_skew_with+g_hl_liq_cascade_with,85,52,18,15,0.9230769230769231,0.7777777777777778,0.8,0.601339509967483,-3.9710747398875634,1.0393097604104655,-24.620044393510046,15.589646406156984,154.2712247155368,73.48453757243193,2,2,-1.1283108250673324,46.220952584198685,95.96774193548387,0.0,4.025229393620553,False,dpt_lockbox_low
off_L210|r3|g_mp_skew_with+g_hawkes_imbalance_with+g_hl_liq_cascade_with,offset_L210,g_mp_skew_with+g_hawkes_imbalance_with+g_hl_liq_cascade_with,85,52,18,15,0.9230769230769231,0.7777777777777778,0.8,0.601339509967483,-3.9710747398875634,1.0393097604104655,-24.620044393510046,15.589646406156984,154.2712247155368,73.48453757243193,2,2,-1.1283108250673324,46.220952584198685,95.96774193548387,0.0,4.025229393620553,False,dpt_lockbox_low
