bucket_idx,n_extra_gates_passing,n_trva,empirical_p_win,vwap_est,conviction,kelly_stake,linear_stake,hybrid_stake,dpt_25_trva_const
7,7,6,1.0,0.9033,0.0,5.0,5.0,5.0,2.624
8,8,49,0.8163,0.7393,0.2,5.0,9.0,9.0,2.46
9,9,92,0.9022,0.7556,0.4,5.0,13.0,13.0,4.703
10,10,131,0.6718,0.662,0.6,5.0,17.0,17.0,0.196
11,11,93,0.8817,0.5325,0.8,5.0,21.0,21.0,16.009
12,12,56,0.9821,0.7055,1.0,5.87,25.0,25.0,9.597
