bucket_idx,n_extra_gates_passing,n_trva,empirical_p_win,vwap_est,conviction,kelly_stake,linear_stake,hybrid_stake,dpt_25_trva_const
6,6,46,0.8478,0.7149,0.0,5.0,5.0,5.0,4.481
7,7,77,0.9351,0.7328,0.2,5.0,9.0,9.0,6.731
8,8,94,0.8723,0.8009,0.4,5.0,13.0,13.0,2.121
9,9,56,0.8393,0.7535,0.6,5.0,17.0,17.0,2.71
10,10,29,0.931,0.8185,0.8,5.0,21.0,21.0,3.334
11,11,10,0.9,0.6302,1.0,5.0,25.0,25.0,10.436
