bucket_idx,n_extra_gates_passing,n_trva,empirical_p_win,vwap_est,conviction,kelly_stake,linear_stake,hybrid_stake,dpt_25_trva_const
5,5,8,1.0,0.8458,0.0,5.0,5.0,5.0,4.467
6,6,23,0.8261,0.8727,0.143,5.0,7.86,7.86,-1.395
7,7,76,0.8553,0.7457,0.286,5.0,10.71,10.71,3.529
8,8,107,0.9159,0.7596,0.429,5.0,13.57,13.57,4.997
9,9,105,0.8857,0.8154,0.571,5.0,16.43,16.43,2.056
10,10,62,0.8548,0.7716,0.714,5.0,19.29,19.29,2.57
11,11,32,0.9375,0.8244,0.857,5.0,22.14,22.14,3.331
12,12,12,0.9167,0.6752,1.0,5.0,25.0,25.0,8.72
