rank,sleeve_id,anchor,gate_stack,n_lockbox,wr_lockbox,dpt_25_lockbox_const,sum_25_lb_const,sum_25_lb_kelly,sum_25_lb_linear,sum_25_lb_hybrid,sum_25_28d_const,sum_25_28d_kelly,sum_25_28d_linear,sum_25_28d_hybrid,kelly_uplift_pct,linear_uplift_pct,hybrid_uplift_pct,min_kelly_stake,max_kelly_stake,min_linear_stake,max_linear_stake,avg_kelly_stake,avg_linear_stake,avg_hybrid_stake,n_buckets,max_dd_25_lockbox,loss_streak_lockbox,sharpe_lockbox,bootstrap_p_lockbox,anchor_cat
1,off_L_late|r2|g_imb5_strong_with+g_hurst_trending,offset_L_late,g_imb5_strong_with+g_hurst_trending,161,0.7080745341614907,29.85357760630423,4806.425994614981,961.2851989229963,1456.8438623038332,1456.8438623038332,69089.16082098968,13817.832164197936,20941.156694506437,20941.156694506437,-80.0,-69.6896641301447,-69.6896641301447,5.0,5.0,5.0,25.0,5.0,11.015971606033718,11.015971606033718,8,180.7398007968327,4,13.879005619158152,0.0,late
2,prewindow|g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,ws_s,g_f7_rsi_strong_with+g_imb5_strong_with+g_hurst_trending,193,0.6632124352331606,21.337988646551985,4118.231808784533,834.6136656309543,1470.1377643437277,1480.9844195891621,59175.73290455894,11992.73806067002,21124.71655678514,21280.57441120279,-79.73368901064156,-64.3017238318688,-64.03834246459613,5.0,5.492443418783576,5.0,25.0,5.025989233790729,12.253886010362693,12.277323723848843,8,391.2826097960565,11,15.728951853111548,0.0,pre-window
3,off_L_late|r3|g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,offset_L_late,g_imb5_strong_with+g_ribbon_agrees+g_hurst_trending,77,0.7532467532467533,31.743139215723595,2444.2217196107167,488.8443439221433,684.3897083560291,684.3897083560291,35392.716730006854,7078.543346001371,9910.071122612711,9910.071122612711,-80.0,-71.99968796345408,-71.99968796345408,5.0,5.0,5.0,25.0,5.0,10.03896103896104,10.03896103896104,6,74.75252549091942,2,13.588555031755329,0.0,late
4,prewindow|g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,ws_s,g_pw_mp_no_extreme+g_trend_slope_strong_with+g_imb5_strong_with,144,0.8263888888888888,22.15504133918925,3190.325952843252,638.0737585437216,1194.9371457946272,1194.9371457946272,45842.45987834637,9168.615090692394,17170.30139645024,17170.30139645024,-79.99973143888123,-62.54498244200764,-62.54498244200764,5.0,5.865541172594261,5.0,25.0,5.00601070258746,12.305555555555555,12.305555555555555,6,179.37007628708454,5,20.95998326813152,0.0,pre-window
5,off_early304560|g_trend_slope_strong_with,offset_early304560,g_trend_slope_strong_with,764,0.831151832460733,8.330028647844445,6364.141886953156,1272.8283773906314,2923.8685667802906,2923.8685667802906,37984.190790015724,7596.838158003147,17451.0222207951,17451.0222207951,-80.0,-54.05714362254582,-54.05714362254582,5.0,5.0,5.0,25.0,5.0,11.121291448516581,11.121291448516581,10,275.0,11,57.288603049020416,0.0,early
