label_cell,X,Y,Z,side,n_events,indicator,mean,median,std
loose,0.02,12,0.005,bull,2711,z_lsr,-0.23021591059270965,-0.4754080247162173,1.46587964674943
loose,0.02,12,0.005,bull,2711,z_fund,0.06464053382855668,0.22360679774998163,0.6470558595722692
loose,0.02,12,0.005,bull,2711,z_oi,0.10003016529162762,0.2216326217686011,1.4353665901731019
loose,0.02,12,0.005,bull,2711,z_oi_silent,0.07809102507046464,-0.4082439753256693,1.1945979413515477
loose,0.02,12,0.005,bull,2711,z_cb_premium,0.028554084277689493,0.8738943858814313,1.0065772059352183
loose,0.02,12,0.005,bull,2711,z_dom_stables,0.08641231069135927,0.22360679772548994,0.6100435744871948
loose,0.02,12,0.005,bull,2711,z_top_lsr_count,-0.1750656451453759,-0.39145122066137966,1.4971881077195082
loose,0.02,12,0.005,bull,2711,z_top_lsr_sum,-0.034195844953399286,-0.05277190217122675,1.4221406876304845
loose,0.02,12,0.005,bull,2711,z_taker_ratio,-0.00736339596365505,-0.18614155274963198,0.98045856975456
loose,0.02,12,0.005,bull,2711,brigalS,-0.472266347964392,-0.9452960367767291,2.933193627967034
loose,0.02,12,0.005,bull,2711,oilsr,0.3302460758843373,0.3511916029765596,2.174811249038131
loose,0.02,12,0.005,bull,2711,cross_institutional_lead,0.4135387745281011,-0.06121817946060837,3.0497647179967906
loose,0.02,12,0.005,bull,2711,cross_leverage_heat,274.03710329201107,0.2631696146606941,3497.7481923925216
loose,0.02,12,0.005,bull,2711,cross_risk_off,-0.07384833020761264,-0.030874604668625072,0.5965319571416576
loose,0.02,12,0.005,bull,2711,cross_real_money,-548.5955223189641,-0.9235165679108759,6995.190857569857
loose,0.02,12,0.005,bear,2680,z_lsr,0.08884951994756034,0.16396047554216464,1.4680931768942054
loose,0.02,12,0.005,bear,2680,z_fund,-0.005371135177024421,-3.318303964938707e-12,0.6518980711120194
loose,0.02,12,0.005,bear,2680,z_oi,0.12645229691497742,0.24818269290429856,1.4264812438272763
loose,0.02,12,0.005,bear,2680,z_oi_silent,0.059650813745270155,-0.4082439753829183,1.1825296756366948
loose,0.02,12,0.005,bear,2680,z_cb_premium,-0.05399065974533719,-0.9710933603756935,1.0066580383865023
loose,0.02,12,0.005,bear,2680,z_dom_stables,-0.04896847589214626,-0.22360679771148928,0.6322964374498332
loose,0.02,12,0.005,bear,2680,z_top_lsr_count,0.08671607033927292,0.21395020028789838,1.5128218824979829
loose,0.02,12,0.005,bear,2680,z_top_lsr_sum,0.05472078618946144,0.08093166907394056,1.372988199470876
loose,0.02,12,0.005,bear,2680,z_taker_ratio,0.022722693262885157,-0.17354976583685883,1.0048685885163993
