side,indicator,permutation_importance,importance_normalized,train_acc,test_acc,n_pos_events
bull,z_lsr,0.0005585173902005636,558517.3902005636,0.7741268632357742,0.657019548108657,3375
bull,z_fund,0.0020817466362020864,2081746.6362020862,0.7741268632357742,0.657019548108657,3375
bull,z_oi,-0.0023356181772023143,-2335618.177202314,0.7741268632357742,0.657019548108657,3375
bull,z_oi_silent,-0.002157908098502137,-2157908.0985021368,0.7741268632357742,0.657019548108657,3375
bull,z_cb_premium,0.0008885503935008865,888550.3935008864,0.7741268632357742,0.657019548108657,3375
bull,z_dom_stables,5.077430820006334e-05,50774.30820006334,0.7741268632357742,0.657019548108657,3375
bull,z_top_lsr_count,0.00020309723280020897,203097.23280020896,0.7741268632357742,0.657019548108657,3375
bull,z_top_lsr_sum,-0.0008631632394008548,-863163.2394008548,0.7741268632357742,0.657019548108657,3375
bull,z_taker_ratio,-0.00022848438690019622,-228484.3869001962,0.7741268632357742,0.657019548108657,3375
bull,brigalS,-0.0011424219345011366,-1142421.9345011367,0.7741268632357742,0.657019548108657,3375
bull,oilsr,-0.0012693577050012506,-1269357.7050012504,0.7741268632357742,0.657019548108657,3375
bull,cross_institutional_lead,0.006067529829906104,6067529.829906104,0.7741268632357742,0.657019548108657,3375
bull,cross_leverage_heat,-0.038943894389438925,-38943894.38943892,0.7741268632357742,0.657019548108657,3375
bull,cross_risk_off,-0.015054582381315029,-15054582.381315028,0.7741268632357742,0.657019548108657,3375
bull,cross_real_money,-0.058339680121858285,-58339680.121858284,0.7741268632357742,0.657019548108657,3375
bear,z_lsr,-0.0031226199543030963,-3122619.954303096,0.8044826460668045,0.7274689007362275,3251
bear,z_fund,5.0774308200107754e-05,50774.30820010775,0.8044826460668045,0.7274689007362275,3251
bear,z_oi,-0.003478040111703451,-3478040.111703451,0.8044826460668045,0.7274689007362275,3251
bear,z_oi_silent,-0.000634678852500592,-634678.852500592,0.8044826460668045,0.7274689007362275,3251
bear,z_cb_premium,0.0010916476263011176,1091647.6263011175,0.8044826460668045,0.7274689007362275,3251
bear,z_dom_stables,0.0007870017771008042,787001.7771008041,0.8044826460668045,0.7274689007362275,3251
bear,z_top_lsr_count,-0.005712109672505683,-5712109.672505682,0.8044826460668045,0.7274689007362275,3251
bear,z_top_lsr_sum,0.00015232292460019004,152322.92460019002,0.8044826460668045,0.7274689007362275,3251
bear,z_taker_ratio,0.001142421934501181,1142421.9345011811,0.8044826460668045,0.7274689007362275,3251
bear,brigalS,-0.002284843869002251,-2284843.869002251,0.8044826460668045,0.7274689007362275,3251
bear,oilsr,-0.003427265803503432,-3427265.803503432,0.8044826460668045,0.7274689007362275,3251
bear,cross_institutional_lead,-0.01317593297791313,-13175932.97791313,0.8044826460668045,0.7274689007362275,3251
bear,cross_leverage_heat,-0.04727088093424725,-47270880.93424725,0.8044826460668045,0.7274689007362275,3251
bear,cross_risk_off,-0.02833206397562831,-28332063.975628305,0.8044826460668045,0.7274689007362275,3251
bear,cross_real_money,-0.06346788525006342,-63467885.25006341,0.8044826460668045,0.7274689007362275,3251
