symbol,timeframe,horizon_h,indicator,pearson_corr,n
BTCUSDT,4h,12,z_taker_ratio,-0.011091202399015334,6566
BTCUSDT,4h,12,brigalS,-0.19533820987491196,6566
BTCUSDT,4h,12,oilsr,0.16114243894922323,6566
BTCUSDT,4h,12,cross_institutional_lead,0.013412576211571945,6566
BTCUSDT,4h,12,cross_leverage_heat,-0.010532491949347921,6326
BTCUSDT,4h,12,cross_risk_off,-0.022108083631026145,6566
BTCUSDT,4h,12,cross_real_money,0.010532165948950439,6326
BTCUSDT,4h,24,z_lsr,-0.13643019236359683,6563
BTCUSDT,4h,24,z_fund,0.011520946807396891,2578
BTCUSDT,4h,24,z_oi,0.05046000340514699,6563
BTCUSDT,4h,24,z_oi_silent,0.034176681658256436,6563
BTCUSDT,4h,24,z_cb_premium,0.05520654450849828,6563
BTCUSDT,4h,24,z_dom_stables,0.06051716787105677,1094
BTCUSDT,4h,24,z_top_lsr_count,-0.1631301742051459,6563
BTCUSDT,4h,24,z_top_lsr_sum,-0.06343595886475156,6563
BTCUSDT,4h,24,z_taker_ratio,-0.01170998313885023,6563
BTCUSDT,4h,24,brigalS,-0.13633992548329452,6563
BTCUSDT,4h,24,oilsr,0.12558019017078192,6563
BTCUSDT,4h,24,cross_institutional_lead,0.016364412515064552,6563
BTCUSDT,4h,24,cross_leverage_heat,-0.015413951576278274,6323
BTCUSDT,4h,24,cross_risk_off,-0.03015830184741482,6563
BTCUSDT,4h,24,cross_real_money,0.015413578475814415,6323
BTCUSDT,4h,48,z_lsr,-0.10819570144638649,6557
BTCUSDT,4h,48,z_fund,0.029197971347008588,2575
BTCUSDT,4h,48,z_oi,0.03738551634269124,6557
BTCUSDT,4h,48,z_oi_silent,0.02035348613412126,6557
BTCUSDT,4h,48,z_cb_premium,0.045388384215454255,6557
BTCUSDT,4h,48,z_dom_stables,0.08593771011094772,1093
BTCUSDT,4h,48,z_top_lsr_count,-0.11789910589220494,6557
BTCUSDT,4h,48,z_top_lsr_sum,-0.06337430591813885,6557
BTCUSDT,4h,48,z_taker_ratio,-0.013116876360147089,6557
BTCUSDT,4h,48,brigalS,-0.1082239553926839,6557
BTCUSDT,4h,48,oilsr,0.09787966549861489,6557
BTCUSDT,4h,48,cross_institutional_lead,0.0221979188630724,6557
BTCUSDT,4h,48,cross_leverage_heat,-0.024037069959148588,6317
BTCUSDT,4h,48,cross_risk_off,-0.04388506066785928,6557
BTCUSDT,4h,48,cross_real_money,0.024036590166407214,6317
BTCUSDT,1D,24,z_lsr,-0.25995012381316734,1095
BTCUSDT,1D,24,z_fund,-0.011052065591965884,922
BTCUSDT,1D,24,z_oi,0.03810805253771105,1095
BTCUSDT,1D,24,z_oi_silent,0.040454193551870424,1095
BTCUSDT,1D,24,z_cb_premium,0.03788941444214852,1095
BTCUSDT,1D,24,z_dom_stables,0.06032438812390075,1094
BTCUSDT,1D,24,z_top_lsr_count,-0.25039993190964965,1095
BTCUSDT,1D,24,z_top_lsr_sum,0.025865632446123922,1095
BTCUSDT,1D,24,z_taker_ratio,0.021248421279176286,1095
BTCUSDT,1D,24,brigalS,-0.26003476447920915,1095
BTCUSDT,1D,24,oilsr,0.19928373119444437,1095
BTCUSDT,1D,24,cross_institutional_lead,0.020329849980511936,1095
BTCUSDT,1D,24,cross_leverage_heat,-0.016587346387256594,1055
BTCUSDT,1D,24,cross_risk_off,-0.03175291278593522,1095
BTCUSDT,1D,24,cross_real_money,0.016586852496533695,1055
BTCUSDT,1D,72,z_lsr,-0.17012384263706168,1093
BTCUSDT,1D,72,z_fund,0.04112243099552537,920
BTCUSDT,1D,72,z_oi,0.022257834025345667,1093
BTCUSDT,1D,72,z_oi_silent,0.013660581687758614,1093
BTCUSDT,1D,72,z_cb_premium,0.03599781623855644,1093
BTCUSDT,1D,72,z_dom_stables,0.046234873841402256,1092
BTCUSDT,1D,72,z_top_lsr_count,-0.14534718141369513,1093
BTCUSDT,1D,72,z_top_lsr_sum,0.03362132615147505,1093
BTCUSDT,1D,72,z_taker_ratio,-0.06049022218782054,1093
BTCUSDT,1D,72,brigalS,-0.17023243831340099,1093
BTCUSDT,1D,72,oilsr,0.12877480280513215,1093
BTCUSDT,1D,72,cross_institutional_lead,0.02869922752685537,1093
BTCUSDT,1D,72,cross_leverage_heat,-0.03017078437762948,1053
BTCUSDT,1D,72,cross_risk_off,-0.05546097815854245,1093
BTCUSDT,1D,72,cross_real_money,0.03017015765711942,1053
BTCUSDT,1D,168,z_lsr,-0.11359658295001583,1089
BTCUSDT,1D,168,z_fund,0.05143178975118343,916
BTCUSDT,1D,168,z_oi,0.014977718095209475,1089
BTCUSDT,1D,168,z_oi_silent,0.03129271709936623,1089
BTCUSDT,1D,168,z_cb_premium,0.031105836807830235,1089
BTCUSDT,1D,168,z_dom_stables,0.08703133135084712,1088
BTCUSDT,1D,168,z_top_lsr_count,-0.08484459717108993,1089
BTCUSDT,1D,168,z_top_lsr_sum,-0.01074846565821381,1089
BTCUSDT,1D,168,z_taker_ratio,-0.04734441093052293,1089
BTCUSDT,1D,168,brigalS,-0.11373686119937394,1089
BTCUSDT,1D,168,oilsr,0.08617876220044246,1089
BTCUSDT,1D,168,cross_institutional_lead,0.041697179667941904,1089
BTCUSDT,1D,168,cross_leverage_heat,-0.035997605268629725,1049
BTCUSDT,1D,168,cross_risk_off,-0.09586682621727936,1089
BTCUSDT,1D,168,cross_real_money,0.03599689951707403,1049
