tf,anchor_off_s,horizon_s,thr,n,hit,pnl,pnl_per_trade,median_vwap
15m,330,300,0.07,2643,0.3541,-11452.1757,-4.333,0.324
15m,270,120,0.2,1979,0.2213,-11601.4831,-5.8623,0.18
15m,270,300,0.15,1813,0.2956,-11639.682,-6.4201,0.2659
15m,270,300,0.12,1922,0.3137,-11916.8585,-6.2002,0.2795
15m,270,300,0.1,1992,0.3238,-12008.4099,-6.0283,0.2844
15m,360,120,0.08,2763,0.3272,-12212.6937,-4.4201,0.2765
15m,240,120,0.09,2520,0.25,-12555.5023,-4.9823,0.1802
15m,240,600,0.07,2228,0.3514,-12843.6419,-5.7647,0.32
15m,270,120,0.15,2159,0.2371,-12891.2283,-5.9709,0.1937
15m,240,300,0.08,2453,0.2752,-13014.5244,-5.3056,0.2018
15m,270,120,0.12,2279,0.2523,-13032.1311,-5.7184,0.2022
15m,330,120,0.08,2796,0.3029,-13049.6246,-4.6672,0.2452
15m,360,120,0.07,2900,0.3279,-13223.1013,-4.5597,0.2716
15m,270,120,0.1,2365,0.2605,-13440.8191,-5.6832,0.2094
15m,270,600,0.07,2136,0.4153,-13675.8314,-6.4025,0.4997
15m,330,120,0.07,2942,0.2991,-14186.3016,-4.822,0.2396
15m,270,120,0.09,2478,0.2587,-15276.1204,-6.1647,0.2
15m,270,300,0.09,2161,0.3105,-15373.5807,-7.1141,0.2664
15m,240,120,0.08,2709,0.241,-15535.517,-5.7348,0.1691
15m,240,300,0.07,2666,0.2629,-16953.4115,-6.3591,0.18
15m,270,120,0.08,2650,0.2509,-17991.3767,-6.7892,0.1847
15m,240,120,0.07,2866,0.2345,-18256.0506,-6.3699,0.1577
15m,270,300,0.08,2403,0.2909,-18596.1216,-7.7387,0.24
15m,270,120,0.07,2800,0.2504,-19111.0817,-6.8254,0.1789
15m,270,300,0.07,2603,0.2828,-21087.7801,-8.1013,0.22
