sleeve_id,signal,hour_bucket,same_n,same_hit,same_pnl,same_ppt,same_perm_p,same_ci_lo,same_ci_hi,inv_n,inv_hit,inv_pnl,inv_ppt,inv_perm_p,inv_ci_lo,inv_ci_hi,n_weeks,same_weeks_pos,inv_weeks_pos,same_pnl_by_week,inv_pnl_by_week
poly_updown_btc_5m_momo_v2_HOLD,UP,12-17,88,0.6136363636363636,477.43516636850904,5.425399617823967,0.02,0.41032046354653273,10.032719630507605,88,0.38636363636363635,-553.0358966261335,-6.284498825296972,0.9915,-11.238464829906372,-1.2653824703888976,2,2,0,"{19: 66.76389202179689, 20: 410.67127434671215}","{19: -91.54634250470583, 20: -461.48955412142766}"
poly_updown_btc_5m_momo_v2_HEDGE,UP,12-17,98,0.6020408163265306,466.43592832735953,4.7595502890546895,0.0235,0.1672896998427586,9.74427356326847,98,0.3979591836734694,-551.5562691534772,-5.628125195443644,0.9925,-10.176707946819743,-0.8718841040471513,2,2,0,"{19: 65.30310860638058, 20: 401.1328197209789}","{19: -92.06671113950138, 20: -459.4895580139758}"
poly_updown_sol_5m_momo_v2_HEDGE,UP,12-17,58,0.6724137931034483,442.39920033223774,7.62757241952134,0.009,1.7162998543988186,13.465392092473113,58,0.3275862068965517,-540.2679428869014,-9.314964532532784,0.9985,-15.10305257114002,-3.5212120276541845,2,2,0,"{19: 70.6947027938617, 20: 371.7044975383761}","{19: -85.18367879607992, 20: -455.0842640908216}"
poly_updown_btc_5m_sniper,DOWN,18-23,49,0.673469387755102,436.9426071475329,8.917196064235366,0.0055,1.7865435895578834,15.425983411322541,49,0.32653061224489793,-458.23660273868336,-9.351767402830273,0.9985,-15.26272011238218,-2.581048024418867,2,1,1,"{19: -100.92993924656406, 20: 537.872546394097}","{19: 88.6921503692873, 20: -546.9287531079706}"
poly_updown_eth_5m_sniper,DOWN,00-05,33,0.7272727272727273,382.3362112771623,11.585945796277645,0.0005,3.9246189865523693,19.164894681227914,33,0.2727272727272727,-403.95775949120116,-12.241144227006096,0.999,-19.30925336022095,-5.17278082699649,1,1,0,{20: 432.3362112771623},{20: -446.1371393642966}
poly_updown_sol_5m_sniper,DOWN,00-05,28,0.7857142857142857,376.70294139027425,13.45367647822408,0.0005,6.264764959567299,20.399909944567078,28,0.21428571428571427,-418.30043427935516,-14.939301224262683,0.999,-21.662398743591858,-6.669622764911758,2,2,0,"{19: 43.64072748998319, 20: 333.062213900291}","{19: -55.73271547671314, 20: -362.567718802642}"
poly_updown_sol_15m_sniper,UP,12-17,30,0.7666666666666667,350.89085107694154,11.696361702564719,0.0005,3.8109957796339375,18.218436876787024,30,0.23333333333333334,-417.8187968221936,-13.927293227406453,1.0,-20.303826878742726,-6.051730664664161,2,2,0,"{19: 149.93109444100077, 20: 200.95975663594083}","{19: -181.31937680347852, 20: -236.49942001871506}"
