label,thr_bp,n,hit_rate,pnl_at_0.5
EARLY-thr0bp,0,22101,0.4833717931315325,-23716.5
EARLY-thr5bp,5,12594,0.47006511037001747,-21810.0
EARLY-thr10bp,10,6924,0.46591565569035237,-13413.0
EARLY-thr20bp,20,2389,0.42904981163666805,-8987.5
EARLY-thr50bp,50,229,0.4759825327510917,-329.5
