sleeve_id,signal,hour_bucket,same_n,same_hit,same_pnl,same_ppt,same_perm_p,same_ci_lo,same_ci_hi,inv_n,inv_hit,inv_pnl,inv_ppt,inv_perm_p,inv_ci_lo,inv_ci_hi,n_weeks,same_weeks_pos,inv_weeks_pos,same_pnl_by_week,inv_pnl_by_week
poly_updown_btc_15m_sniper,DOWN,06-11,26,0.46153846153846156,-57.061105950676264,-2.1946579211798563,0.727,-11.66549300020404,7.382875737258101,26,0.5384615384615384,10.067787934646418,0.38722261287101606,0.4225,-8.757292141655665,9.398579808775633,1,0,1,{20: -53.78752354039027},{20: 9.567788907783452}
poly_updown_btc_15m_sniper,DOWN,12-17,38,0.3684210526315789,-258.4164550199134,-6.800433026839827,0.966,-14.575851399096319,0.9436849589610499,38,0.631578947368421,188.26237464358633,4.954273016936482,0.1005,-2.4461310282906563,12.349408063385598,2,0,2,"{19: -80.99086085118029, 20: -177.42559416873314}","{19: 46.01111399789362, 20: 142.2512606456927}"
poly_updown_btc_15m_sniper,UP,12-17,43,0.627906976744186,263.9810273643248,6.139093659635461,0.05,-0.9185202810930446,13.133107155382579,43,0.37209302325581395,-303.92610326356515,-7.068048913106167,0.966,-13.892714161889725,-0.4651827477672227,2,2,0,"{19: 16.31149757753074, 20: 247.66952978679404}","{19: -29.436947040801435, 20: -274.4891562227637}"
poly_updown_btc_15m_volume_INV_NIGHT,DOWN,00-05,87,0.6091954022988506,417.6568039359644,4.800652918804189,0.033,-0.24412511604807735,9.82624115646966,87,0.39080459770114945,-521.9633216419127,-5.999578409677157,0.9895,-10.64737816032435,-0.9263802603816645,2,1,0,"{19: -16.147022165797054, 20: 433.8038261017614}","{19: -20.06180900656875, 20: -501.9015126353439}"
poly_updown_btc_15m_volume_INV_NIGHT,DOWN,06-11,50,0.4,-264.6061769969857,-5.292123539939714,0.9455,-12.138891959480134,1.5711218165796268,50,0.6,214.1157808762431,4.282315617524862,0.102,-2.561424364038702,11.054760176306296,2,0,2,"{19: -100.59999916675142, 20: -164.00617783023426}","{19: 86.89256241904718, 20: 127.22321845719591}"
poly_updown_btc_15m_volume_INV_NIGHT,UP,00-05,99,0.5555555555555556,176.07671411527684,1.7785526678310792,0.2385,-3.031178189682453,6.568092463993344,99,0.4444444444444444,-294.8513393502719,-2.9782963570734537,0.8895,-7.807856513358027,1.9827906639439383,2,1,0,"{19: -11.358271401417525, 20: 187.43498551669435}","{19: -35.26023977383082, 20: -259.59109957644114}"
poly_updown_btc_15m_volume_INV_NIGHT,UP,06-11,53,0.2641509433962264,-648.8728964382558,-12.242884838457657,0.9995,-17.740126747206492,-6.663218377773863,53,0.7358490566037735,593.1536607372955,11.191578504477272,0.0,5.446966956705126,16.891450982634012,2,0,2,"{19: -158.42626270851662, 20: -490.4466337297391}","{19: 137.7401268454522, 20: 455.41353389184314}"
poly_updown_btc_5m_momo_HEDGE,DOWN,00-05,49,0.5306122448979592,73.42183599462011,1.498404816216737,0.338,-5.546956536971102,8.627382913834213,49,0.46938775510204084,-129.52351649950373,-2.6433370714184434,0.7695,-9.398111562253353,4.257734924068327,2,1,1,"{19: -30.944033703490305, 20: 104.36586969811042}","{19: 13.449235387294845, 20: -142.97275188679856}"
poly_updown_btc_5m_momo_HEDGE,DOWN,12-17,47,0.46808510638297873,-71.49466391334013,-1.5211630619859602,0.645,-8.121375445688251,5.77537983170599,47,0.5319148936170213,24.803131122351417,0.5277261940925834,0.425,-6.506420817088616,7.232483508181152,2,1,1,"{19: -149.76476244344468, 20: 78.27009853010453}","{19: 128.89174595147216, 20: -104.08861482912073}"
poly_updown_btc_5m_momo_HEDGE,DOWN,18-23,36,0.1388888888888889,-653.4574056168942,-18.151594600469284,1.0,-23.671440021537247,-12.459736501038716,36,0.8611111111111112,578.0521526919032,16.057004241441756,0.0,10.353065742135259,21.191121035901997,2,0,2,"{19: -178.45740561689416, 20: -475.0}","{19: 155.83927811756905, 20: 422.21287457433414}"
poly_updown_btc_5m_momo_HEDGE,UP,00-05,31,0.3548387096774194,-237.5108825304659,-7.6616413719505125,0.971,-15.592631559176342,0.4317800771831103,31,0.6451612903225806,217.5301534642178,7.0171017246521865,0.0675,-1.1679241467396515,14.996691555410317,2,0,2,"{19: -29.769227312866633, 20: -207.74165521759926}","{19: 24.854076323259964, 20: 192.67607714095783}"
poly_updown_btc_5m_momo_HEDGE,UP,06-11,33,0.5151515151515151,-0.20201775613216455,-0.006121750185823168,0.491,-8.69223720855225,8.633497185601044,33,0.48484848484848486,-30.833212273704092,-0.9343397658698209,0.597,-9.834555755216632,6.704130477169643,1,0,1,{20: -68.15081949281335},{20: 44.166787726295894}
poly_updown_btc_5m_momo_HEDGE,UP,12-17,56,0.48214285714285715,-76.21551264211911,-1.3609912971806983,0.66,-7.491512704864568,4.969665440036223,56,0.5178571428571429,35.557312927180725,0.6349520165567987,0.436,-5.663452740846476,7.004084514450942,2,0,1,"{19: -56.76696390268231, 20: -19.448548739436774}","{19: 43.398538172466075, 20: -7.841225245285347}"
poly_updown_btc_5m_momo_HEDGE,UP,18-23,45,0.6,196.6141479471133,4.3692032877136295,0.1185,-2.424595666155573,11.099903065691919,45,0.4,-245.3231890557841,-5.451626423461869,0.9255,-12.176345639884843,1.3100816508622468,2,2,0,"{19: 24.99271086547719, 20: 171.62143708163612}","{19: -35.920991187166464, 20: -209.40219786861766}"
poly_updown_btc_5m_momo_HOLD,DOWN,00-05,50,0.52,48.42183599462012,0.9684367198924023,0.3885,-6.000589226569352,7.8983165418619485,50,0.48,-105.98429991492004,-2.119685998298401,0.7535,-8.781664882078648,4.421722560561135,2,1,1,"{19: -55.944033703490305, 20: 104.36586969811042}","{19: 36.98845197187852, 20: -142.97275188679856}"
poly_updown_btc_5m_momo_HOLD,DOWN,12-17,46,0.4782608695652174,-46.49466391334016,-1.0107535633334819,0.587,-8.512636103313495,6.548332463659249,46,0.5217391304347826,1.2639145377677465,0.02747640299495101,0.4985,-6.9999978913041305,6.611026776754928,2,1,1,"{19: -124.76476244344467, 20: 78.27009853010453}","{19: 105.35252936688849, 20: -104.08861482912073}"
poly_updown_btc_5m_momo_HOLD,DOWN,18-23,36,0.1388888888888889,-653.4574056168942,-18.151594600469284,1.0,-23.65168842820601,-11.69487969176193,36,0.8611111111111112,578.0521526919032,16.057004241441756,0.0,10.427997175797177,21.13383498278493,2,0,2,"{19: -178.45740561689416, 20: -475.0}","{19: 155.83927811756905, 20: 422.21287457433414}"
poly_updown_btc_5m_momo_HOLD,UP,00-05,32,0.375,-214.89549618689924,-6.715484255840601,0.941,-14.555264542313008,2.2297070535472425,32,0.625,192.53015346421776,6.016567295756805,0.1015,-2.0810288704070543,13.935851040179616,2,0,1,"{19: -7.153840969299953, 20: -207.74165521759926}","{19: -0.1459236767400398, 20: 192.67607714095783}"
poly_updown_btc_5m_momo_HOLD,UP,06-11,33,0.5151515151515151,-0.20201775613216455,-0.006121750185823168,0.4875,-8.725992756539174,8.60198869316867,33,0.48484848484848486,-30.833212273704092,-0.9343397658698209,0.6005,-9.841675597834111,7.061992422417562,1,0,1,{20: -68.15081949281335},{20: 44.166787726295894}
