threshold,n_fires,hit_rate,pnl_flat_0.5
0,10217.0,0.5002498874424978,-2430.5
50,3570.0,0.5187674789915967,2424.0
100,2014.0,0.5149003475670308,981.5
200,958.0,0.5261054279749479,998.0
500,255.0,0.5294203921568627,307.5
1000,92.0,0.5435217391304348,175.0
