slug,ticker,ws_s,fire_us,slot_end_us,fire <= slot_end-180s (margin),bn_ret,cb_ret,outcome
btc-updown-5m-1777344300,BTC,1777344000,1777344120000000,1777344600000000,True,0.0,0.000208,Down
btc-updown-5m-1777771200,BTC,1777770900,1777771020000000,1777771500000000,True,-0.000143,-0.000186,Down
btc-updown-5m-1778879100,BTC,1778878800,1778878920000000,1778879400000000,True,0.00018,0.000308,Up
