asset,tf,setup,cutoff,spread_filter,n_fires,n_eval,fire_rate,hit_rate,pnl_total
BTC,5m,1_5m_ws120,0.55,False,1329,2000,0.6645,0.5237020316027088,1227.0
BTC,5m,1_5m_ws120,0.55,True,1289,1938,0.6651186790505675,0.5221101629169899,1088.5
BTC,5m,1_5m_ws120,0.6,False,832,2000,0.416,0.5048076923076923,-10.0
BTC,5m,1_5m_ws120,0.6,True,806,1938,0.41589267285861714,0.5037220843672456,-53.0
BTC,5m,1_5m_ws120,0.65,False,450,2000,0.225,0.5022222222222222,-63.0
BTC,5m,1_5m_ws120,0.65,True,435,1938,0.22445820433436534,0.496551724137931,-183.0
BTC,5m,1_5m_ws120,0.7,False,201,2000,0.1005,0.48756218905472637,-174.0
BTC,5m,1_5m_ws120,0.7,True,192,1938,0.09907120743034056,0.4791666666666667,-246.0
ETH,5m,1_5m_ws120,0.55,False,1566,2000,0.783,0.5108556832694764,450.0
ETH,5m,1_5m_ws120,0.55,True,1263,1594,0.7923462986198243,0.5098970704671417,303.0
ETH,5m,1_5m_ws120,0.6,False,1128,2000,0.564,0.5141843971631206,510.0
ETH,5m,1_5m_ws120,0.6,True,920,1594,0.5771643663739021,0.5141304347826087,413.5
ETH,5m,1_5m_ws120,0.65,False,819,2000,0.4095,0.5103785103785103,216.0
ETH,5m,1_5m_ws120,0.65,True,686,1594,0.43036386449184444,0.5116618075801749,224.5
ETH,5m,1_5m_ws120,0.7,False,508,2000,0.254,0.5059055118110236,21.5
ETH,5m,1_5m_ws120,0.7,True,434,1594,0.2722710163111669,0.5069124423963134,40.0
SOL,5m,1_5m_ws120,0.55,False,1338,2000,0.669,0.4947683109118087,-681.0
SOL,5m,1_5m_ws120,0.55,True,1070,1363,0.7850330154071901,0.4981308411214953,-366.5
SOL,5m,1_5m_ws120,0.6,False,876,2000,0.438,0.502283105022831,-120.0
SOL,5m,1_5m_ws120,0.6,True,714,1363,0.5238444607483492,0.5056022408963585,19.5
SOL,5m,1_5m_ws120,0.65,False,596,2000,0.298,0.5100671140939598,148.0
SOL,5m,1_5m_ws120,0.65,True,510,1363,0.37417461482024944,0.5058823529411764,21.0
SOL,5m,1_5m_ws120,0.7,False,353,2000,0.1765,0.5240793201133145,332.5
SOL,5m,1_5m_ws120,0.7,True,319,1363,0.23404255319148937,0.5203761755485894,242.0
BTC,5m,2_5m_late,0.55,False,1760,2000,0.88,0.44375,-5340.5
BTC,5m,2_5m_late,0.55,True,1412,1627,0.8678549477566072,0.35410764872521244,-10550.0
BTC,5m,2_5m_late,0.6,False,1528,2000,0.764,0.4463350785340314,-4441.0
BTC,5m,2_5m_late,0.6,True,1197,1627,0.7357098955132145,0.341687552213868,-9679.5
BTC,5m,2_5m_late,0.65,False,1301,2000,0.6505,0.4465795541890853,-3765.5
BTC,5m,2_5m_late,0.65,True,993,1627,0.6103257529194838,0.32124874118831825,-9034.5
BTC,5m,2_5m_late,0.7,False,1112,2000,0.556,0.4613309352517986,-2406.5
BTC,5m,2_5m_late,0.7,True,818,1627,0.5027658266748617,0.31662591687041564,-7629.5
ETH,5m,2_5m_late,0.55,False,1747,2000,0.8735,0.453921007441328,-4421.5
ETH,5m,2_5m_late,0.55,True,1295,1515,0.8547854785478548,0.3698841698841699,-8664.5
ETH,5m,2_5m_late,0.6,False,1490,2000,0.745,0.448993288590604,-4134.5
ETH,5m,2_5m_late,0.6,True,1075,1515,0.7095709570957096,0.34604651162790695,-8461.0
ETH,5m,2_5m_late,0.65,False,1253,2000,0.6265,0.45570630486831604,-3060.5
ETH,5m,2_5m_late,0.65,True,871,1515,0.574917491749175,0.33524684270952926,-7321.0
ETH,5m,2_5m_late,0.7,False,1011,2000,0.5055,0.4638971315529179,-2059.5
ETH,5m,2_5m_late,0.7,True,668,1515,0.4409240924092409,0.312874251497006,-6354.5
SOL,5m,2_5m_late,0.55,False,1790,2000,0.895,0.3525139664804469,-13515.5
SOL,5m,2_5m_late,0.55,True,1008,1112,0.9064748201438849,0.25992063492063494,-12231.0
SOL,5m,2_5m_late,0.6,False,1625,2000,0.8125,0.34092307692307694,-13202.0
SOL,5m,2_5m_late,0.6,True,918,1112,0.8255395683453237,0.23965141612200436,-12060.0
SOL,5m,2_5m_late,0.65,False,1469,2000,0.7345,0.33083730428863173,-12668.0
SOL,5m,2_5m_late,0.65,True,833,1112,0.7491007194244604,0.21608643457382953,-11915.0
SOL,5m,2_5m_late,0.7,False,1291,2000,0.6455,0.32997676219984506,-11188.0
SOL,5m,2_5m_late,0.7,True,724,1112,0.6510791366906474,0.18922651933701656,-11318.5
BTC,15m,3_15m_late60,0.55,False,1801,2000,0.9005,0.6407551360355358,12098.0
BTC,15m,3_15m_late60,0.55,True,1065,1248,0.8533653846153846,0.4384976525821596,-3508.5
BTC,15m,3_15m_late60,0.6,False,1621,2000,0.8105,0.6637877853177051,12737.0
BTC,15m,3_15m_late60,0.6,True,900,1248,0.7211538461538461,0.44222222222222224,-2799.0
BTC,15m,3_15m_late60,0.65,False,1468,2000,0.734,0.6900544959128065,13443.5
BTC,15m,3_15m_late60,0.65,True,750,1248,0.6009615384615384,0.448,-2118.0
BTC,15m,3_15m_late60,0.7,False,1323,2000,0.6615,0.7210884353741497,14148.0
BTC,15m,3_15m_late60,0.7,True,619,1248,0.49599358974358976,0.4507269789983845,-1664.5
ETH,15m,3_15m_late60,0.55,False,1820,2000,0.91,0.6203296703296703,10385.5
ETH,15m,3_15m_late60,0.55,True,1097,1249,0.8783026421136909,0.45396536007292615,-2774.0
ETH,15m,3_15m_late60,0.6,False,1640,2000,0.82,0.6390243902439025,10876.0
ETH,15m,3_15m_late60,0.6,True,938,1249,0.7510008006405124,0.4573560767590618,-2214.5
ETH,15m,3_15m_late60,0.65,False,1493,2000,0.7465,0.6617548559946417,11581.0
ETH,15m,3_15m_late60,0.65,True,811,1249,0.6493194555644516,0.468557336621455,-1465.0
ETH,15m,3_15m_late60,0.7,False,1341,2000,0.6705,0.6830723340790454,11817.0
ETH,15m,3_15m_late60,0.7,True,686,1249,0.5492393915132106,0.46355685131195334,-1409.0
SOL,15m,3_15m_late60,0.55,False,1813,2000,0.9065,0.5206839492553779,1403.0
SOL,15m,3_15m_late60,0.55,True,1127,1260,0.8944444444444445,0.4179236912156167,-4860.5
SOL,15m,3_15m_late60,0.6,False,1658,2000,0.829,0.5265379975874548,1763.5
SOL,15m,3_15m_late60,0.6,True,1012,1260,0.8031746031746032,0.4140316205533597,-4559.5
SOL,15m,3_15m_late60,0.65,False,1492,2000,0.746,0.5348525469168901,2201.0
SOL,15m,3_15m_late60,0.65,True,891,1260,0.7071428571428572,0.4074074074074074,-4306.5
SOL,15m,3_15m_late60,0.7,False,1337,2000,0.6685,0.537771129394166,2165.5
SOL,15m,3_15m_late60,0.7,True,765,1260,0.6071428571428571,0.39215686274509803,-4275.0
BTC,15m,4_15m_late180,0.55,False,1686,2000,0.843,0.46144721233689207,-3639.0
BTC,15m,4_15m_late180,0.55,True,1354,1651,0.8201090248334343,0.3700147710487445,-9050.5
BTC,15m,4_15m_late180,0.6,False,1386,2000,0.693,0.45815295815295815,-3217.5
BTC,15m,4_15m_late180,0.6,True,1068,1651,0.6468806783767413,0.3445692883895131,-8484.0
BTC,15m,4_15m_late180,0.65,False,1157,2000,0.5785,0.47796024200518583,-1551.5
